# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3571 3.5702  5.1978  10.663  15.556  12.689  11.208  10.597  10.245  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0527 3.5950  5.1177  9.902   13.961  11.571  10.273  9.772   9.482   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8564 3.6068  5.0656  9.411   13.207  10.944  9.726   9.265   9.000   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.7040 3.6161  5.0297  9.030   12.683  10.474  9.312   8.878   8.631   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5782 3.6237  5.0009  8.715   12.254  10.087  8.970   8.558   8.326   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4403 3.6301  4.9468  8.371   11.803  9.677   8.604   8.213   7.992   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3139 3.6386  4.9054  8.055   11.345  9.276   8.259   7.893   7.688   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1680 3.6496  4.8495  7.690   10.790  8.799   7.856   7.524   7.339   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -1.0029 3.6653  4.7885  7.277   10.091  8.238   7.393   7.101   6.943   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5767228007    0.5767  -0.9052 3.6769  4.7576  7.033   9.638   7.889   7.112   6.848   6.709   0.4787  0.0000  0.0 1   -13.275 2.9392256737
    10.00   0.6000000238    0.5998  -0.8262 3.6860  4.7324  6.835   9.280   7.623   6.893   6.647   6.521   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6024275422    0.6022  -0.8169 3.6874  4.7301  6.812   9.234   7.590   6.866   6.623   6.499   0.4787  0.0000  0.0 1   -13.053 2.9592201710
    10.00   0.6345535517    0.6343  -0.6950 3.7046  4.6996  6.508   8.641   7.167   6.525   6.313   6.214   0.4787  0.0000  0.0 1   -12.786 2.9821178913
    10.00   0.6625948548    0.6623  -0.5893 3.7195  4.6725  6.243   8.149   6.820   6.240   6.054   5.974   0.4787  0.0000  0.0 1   -12.564 3.0003840923
    10.00   0.6876963973    0.6873  -0.4944 3.7329  4.6473  6.006   7.729   6.518   5.993   5.828   5.764   0.4787  0.0000  0.0 1   -12.373 3.0155088902
    10.00   0.6999999881    0.6996  -0.4478 3.7394  4.6344  5.890   7.530   6.374   5.874   5.719   5.663   0.4787  0.0000  0.0 1   -12.282 3.0225379467
    10.00   0.7205590606    0.7201  -0.3668 3.7499  4.6079  5.687   7.196   6.126   5.667   5.529   5.485   0.4787  0.0000  0.0 1   -12.139 3.0337638855
    10.00   0.7397736311    0.7392  -0.2902 3.7590  4.5790  5.495   6.919   5.904   5.479   5.354   5.321   0.4787  0.0000  0.0 1   -12.001 3.0437080860
    10.00   0.7575984597    0.7569  -0.2175 3.7673  4.5500  5.314   6.661   5.693   5.301   5.188   5.164   0.4787  0.0000  0.0 1   -11.876 3.0524957180
    10.00   0.7744061351    0.7737  -0.1472 3.7749  4.5193  5.138   6.416   5.491   5.128   5.026   5.010   0.4787  0.0000  0.0 1   -11.764 3.0604221821
    10.00   0.7908608317    0.7900  -0.0758 3.7819  4.4851  4.960   6.199   5.293   4.954   4.864   4.855   0.4787  0.0000  0.0 1   -11.667 3.0678656101
    10.00   0.8000000119    0.7991  -0.0353 3.7856  4.4645  4.858   6.079   5.181   4.855   4.770   4.766   0.4787  0.0000  0.0 1   -11.620 3.0718705654
    10.00   0.8009266853    0.8000  -0.0312 3.7860  4.4623  4.848   6.067   5.170   4.845   4.761   4.757   0.4787  0.0000  0.0 1   -11.616 3.0722715855
    10.00   0.8195847869    0.8185  0.0593  3.7932  4.4104  4.622   5.805   4.922   4.623   4.550   4.554   0.4787  0.0000  0.0 1   -11.544 3.0801455975
    10.00   0.8303683400    0.8291  0.1139  3.7969  4.3762  4.485   5.651   4.774   4.489   4.421   4.430   0.4787  0.0000  0.0 1   -11.519 3.0845313072
    10.00   0.8417598009    0.8404  0.1757  3.8007  4.3355  4.331   5.482   4.608   4.336   4.275   4.287   0.4787  0.0000  0.0 1   -11.508 3.0890390873
    10.00   0.8521564007    0.8506  0.2350  3.8038  4.2940  4.182   5.328   4.450   4.189   4.133   4.149   0.4787  0.0000  0.0 1   -11.513 3.0930457115
    10.00   0.8553246260    0.8537  0.2536  3.8046  4.2802  4.136   5.280   4.401   4.143   4.088   4.105   0.4787  0.0000  0.0 1   -11.517 3.0942466259
    10.00   0.8561101556    0.8545  0.2583  3.8048  4.2766  4.124   5.269   4.389   4.132   4.077   4.094   0.4787  0.0000  0.0 1   -11.519 3.0945429802
    10.00   0.8610119224    0.8593  0.2874  3.8056  4.2533  4.051   5.195   4.313   4.059   4.006   4.024   0.4787  0.0000  0.0 1   -11.529 3.0963799953
    10.00   0.8652956486    0.8635  0.3140  3.8062  4.2312  3.985   5.129   4.244   3.992   3.940   3.959   0.4787  0.0000  0.0 1   -11.541 3.0979678631
    10.00   0.8808145523    0.8787  0.4242  3.8054  4.1251  3.709   4.865   3.966   3.715   3.662   3.680   0.4787  0.0000  0.1 1   -11.606 3.1035878658
    10.00   0.8881369829    0.8858  0.4878  3.8001  4.0438  3.551   4.725   3.818   3.552   3.492   3.504   0.4787  0.0000  0.1 1   -11.647 3.1061697006
    10.00   0.8932430148    0.8907  0.5383  3.7920  3.9635  3.424   4.642   3.713   3.421   3.349   3.352   0.4787  0.0000  0.1 1   -11.680 3.1079442501
    10.00   0.8965227008    0.8938  0.5739  3.7825  3.8914  3.335   4.602   3.650   3.328   3.241   3.234   0.4787  0.0000  0.1 1   -11.702 3.1090734005
    10.00   0.8988624811    0.8960  0.5943  3.7695  3.8201  3.284   4.633   3.641   3.273   3.167   3.144   0.4787  0.0000  0.1 1   -11.719 3.1098735332
    10.00   0.8999999762    0.8971  0.6019  3.7618  3.7824  3.265   4.676   3.650   3.253   3.135   3.104   0.4787  0.0000  0.1 1   -11.727 3.1102609634
    10.00   0.9005092382    0.8976  0.6051  3.7587  3.7666  3.257   4.693   3.653   3.245   3.122   3.087   0.4787  0.0000  0.1 1   -11.731 3.1104342937
    10.00   0.9023683071    0.8993  0.6250  3.7458  3.6962  3.207   4.760   3.653   3.197   3.053   3.003   0.4787  0.0000  0.1 1   -11.745 3.1110646725
    10.00   0.9037725329    0.9006  0.6582  3.7373  3.6295  3.125   4.773   3.608   3.118   2.961   2.901   0.4787  0.0000  0.1 1   -11.755 3.1115391254
    10.00   0.9046950340    0.9015  0.6874  3.7322  3.5805  3.052   4.756   3.558   3.048   2.883   2.817   0.4787  0.0000  0.1 1   -11.762 3.1118500233
    10.00   0.9060553908    0.9027  0.7404  3.7264  3.5049  2.919   4.687   3.451   2.919   2.744   2.671   0.4787  0.0000  0.2 1   -11.772 3.1123073101
    10.00   0.9071505666    0.9037  0.7961  3.7226  3.4344  2.780   4.599   3.331   2.784   2.603   2.525   0.4787  0.0000  0.2 1   -11.781 3.1126742363
    10.00   0.9081181884    0.9045  0.8549  3.7199  3.3649  2.633   4.493   3.199   2.640   2.455   2.373   0.4787  0.0000  0.2 1   -11.788 3.1129977703
    10.00   0.9090335369    0.9053  0.9180  3.7177  3.2934  2.475   4.368   3.053   2.486   2.297   2.212   0.4787  0.0000  0.2 1   -11.795 3.1133034229
    10.00   0.9098057151    0.9059  0.9800  3.7158  3.2244  2.320   4.241   2.907   2.333   2.141   2.054   0.4787  0.0000  0.2 1   -11.800 3.1135604382
    10.00   0.9105247259    0.9064  1.0428  3.7141  3.1548  2.163   4.110   2.760   2.178   1.983   1.894   0.4787  0.0000  0.3 1   -11.805 3.1137995720
    10.00   0.9111405015    0.9069  1.1042  3.7123  3.0867  2.010   3.982   2.616   2.027   1.830   1.738   0.4787  0.0000  0.3 1   -11.809 3.1140038967
