# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3495 3.5727  5.2002  10.644  15.451  12.633  11.163  10.568  10.225  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0474 3.5966  5.1190  9.889   13.890  11.532  10.248  9.755   9.470   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8515 3.6083  5.0668  9.399   13.160  10.914  9.707   9.252   8.990   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6997 3.6175  5.0308  9.019   12.637  10.445  9.295   8.866   8.622   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5739 3.6250  5.0021  8.705   12.205  10.058  8.954   8.546   8.316   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4351 3.6318  4.9482  8.358   11.745  9.643   8.585   8.198   7.980   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3076 3.6404  4.9066  8.039   11.279  9.237   8.236   7.875   7.673   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1602 3.6519  4.8506  7.671   10.711  8.754   7.829   7.502   7.320   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9929 3.6683  4.7905  7.252   9.993   8.182   7.358   7.073   6.919   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5755490065    0.5755  -0.8979 3.6800  4.7618  7.015   9.547   7.846   7.087   6.828   6.693   0.4787  0.0000  0.0 1   -13.286 2.9382736683
    10.00   0.6000000238    0.5998  -0.8135 3.6901  4.7360  6.804   9.159   7.560   6.852   6.613   6.492   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6310124993    0.6308  -0.6946 3.7070  4.7063  6.507   8.586   7.153   6.523   6.314   6.217   0.4787  0.0000  0.0 1   -12.815 2.9796993732
    10.00   0.6588450074    0.6585  -0.5887 3.7219  4.6791  6.242   8.094   6.806   6.238   6.054   5.977   0.4787  0.0000  0.0 1   -12.593 2.9980287552
    10.00   0.6837577224    0.6834  -0.4936 3.7353  4.6535  6.004   7.681   6.507   5.993   5.831   5.769   0.4787  0.0000  0.0 1   -12.403 3.0132069588
    10.00   0.6999999881    0.6996  -0.4312 3.7440  4.6359  5.848   7.417   6.314   5.834   5.685   5.634   0.4787  0.0000  0.0 1   -12.282 3.0225379467
    10.00   0.7167912126    0.7163  -0.3644 3.7525  4.6136  5.681   7.152   6.113   5.666   5.531   5.489   0.4787  0.0000  0.0 1   -12.165 3.0317533016
    10.00   0.7360108495    0.7354  -0.2870 3.7616  4.5838  5.487   6.876   5.889   5.477   5.355   5.323   0.4787  0.0000  0.0 1   -12.028 3.0418004990
    10.00   0.7538428307    0.7532  -0.2134 3.7699  4.5541  5.304   6.616   5.677   5.296   5.187   5.164   0.4787  0.0000  0.0 1   -11.902 3.0506777763
    10.00   0.7706593871    0.7699  -0.1422 3.7776  4.5228  5.125   6.379   5.475   5.122   5.024   5.010   0.4787  0.0000  0.0 1   -11.789 3.0586843491
    10.00   0.7871246934    0.7863  -0.0697 3.7847  4.4879  4.944   6.161   5.274   4.946   4.858   4.852   0.4787  0.0000  0.0 1   -11.688 3.0662021637
    10.00   0.8000000119    0.7990  -0.0107 3.7900  4.4571  4.797   5.987   5.111   4.802   4.722   4.722   0.4787  0.0000  0.0 1   -11.621 3.0718705654
    10.00   0.8160066009    0.8149  0.0682  3.7962  4.4116  4.599   5.760   4.895   4.608   4.538   4.545   0.4787  0.0000  0.0 1   -11.555 3.0786643028
    10.00   0.8268496990    0.8256  0.1242  3.7999  4.3762  4.459   5.604   4.743   4.470   4.406   4.417   0.4787  0.0000  0.0 1   -11.526 3.0831131935
    10.00   0.8383055925    0.8369  0.1880  3.8038  4.3341  4.300   5.437   4.573   4.313   4.255   4.271   0.4787  0.0000  0.0 1   -11.509 3.0876855850
