# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.8850546479    0.8818  0.7076  3.7447  3.6004  3.001   4.521   3.455   3.005   2.858   2.804   0.4787  0.0000  0.1 1   -11.623 3.1050882339
    10.00   0.8860930204    0.8827  0.7549  3.7384  3.5286  2.883   4.469   3.364   2.890   2.733   2.671   0.4787  0.0000  0.1 1   -11.629 3.1054532528
    10.00   0.8869429231    0.8835  0.8058  3.7346  3.4626  2.755   4.384   3.253   2.764   2.601   2.534   0.4787  0.0000  0.2 1   -11.633 3.1057515144
    10.00   0.8878505826    0.8843  0.8695  3.7314  3.3866  2.596   4.260   3.106   2.606   2.438   2.368   0.4787  0.0000  0.2 1   -11.638 3.1060695648
    10.00   0.8886083364    0.8849  0.9313  3.7290  3.3155  2.442   4.132   2.962   2.453   2.280   2.207   0.4787  0.0000  0.2 1   -11.642 3.1063342094
    10.00   0.8892748356    0.8854  0.9928  3.7269  3.2460  2.288   4.001   2.817   2.300   2.124   2.049   0.4787  0.0000  0.2 1   -11.645 3.1065669060
    10.00   0.8899231553    0.8858  1.0577  3.7249  3.1732  2.126   3.862   2.663   2.139   1.960   1.882   0.4787  0.0000  0.3 1   -11.648 3.1067926884
    10.00   0.8904762268    0.8862  1.1236  3.7230  3.0999  1.961   3.725   2.507   1.976   1.794   1.714   0.4787  0.0000  0.3 1   -11.650 3.1069853306
    10.00   0.8909462094    0.8865  1.1833  3.7213  3.0335  1.812   3.600   2.367   1.829   1.644   1.561   0.4787  0.0000  0.3 1   -11.652 3.1071486473
    10.00   0.8913797140    0.8866  1.2465  3.7193  2.9626  1.654   3.472   2.219   1.673   1.485   1.400   0.4787  0.0000  0.4 1   -11.654 3.1072990894
    10.00   0.8917464018    0.8867  1.3048  3.7175  2.8968  1.508   3.356   2.083   1.529   1.338   1.250   0.4787  0.0000  0.4 1   -11.654 3.1074261665
    10.00   0.8920887113    0.8868  1.3647  3.7155  2.8293  1.358   3.236   1.943   1.382   1.187   1.096   0.4787  0.0000  0.5 1   -11.655 3.1075448990
    10.00   0.8924006224    0.8868  1.4264  3.7135  2.7593  1.204   3.115   1.801   1.230   1.031   0.938   0.4787  0.0000  0.5 1   -11.655 3.1076529026
    10.00   0.8926761150    0.8867  1.4892  3.7113  2.6877  1.047   2.992   1.656   1.075   0.873   0.777   0.4787  0.0000  0.6 1   -11.655 3.1077482700
    10.00   0.8929171562    0.8865  1.5501  3.7089  2.6173  0.895   2.875   1.516   0.926   0.719   0.620   0.4787  0.0000  0.7 1   -11.654 3.1078317165
    10.00   0.8931318521    0.8863  1.6096  3.7067  2.5488  0.746   2.760   1.380   0.779   0.569   0.467   0.4787  0.0000  0.8 1   -11.653 3.1079058647
    10.00   0.8933222294    0.8859  1.6679  3.7047  2.4824  0.600   2.645   1.246   0.636   0.422   0.317   0.4787  0.0000  0.9 1   -11.651 3.1079716682
    10.00   0.8934984803    0.8855  1.7277  3.7022  2.4122  0.451   2.538   1.112   0.489   0.271   0.162   0.4787  0.0000  1.0 1   -11.649 3.1080324650
    10.00   0.8936625123    0.8851  1.7888  3.6996  2.3406  0.298   2.429   0.975   0.340   0.117   0.004   0.4787  0.0000  1.1 1   -11.647 3.1080892086
    10.00   0.8938245773    0.8844  1.8453  3.6974  2.2748  0.157   2.334   0.850   0.204   -0.024  -0.140  0.4787  0.0000  1.3 1   -11.643 3.1081449986
    10.00   0.8939380050    0.8839  1.8731  3.6963  2.2423  0.087   2.286   0.788   0.136   -0.094  -0.211  0.4787  0.0000  1.3 1   -11.641 3.1081843376
    10.00   0.8940508962    0.8833  1.8229  3.6992  2.3039  0.213   2.355   0.893   0.255   0.031   -0.082  0.4787  0.0000  1.2 1   -11.637 3.1082231998
    10.00   0.8941785097    0.8827  1.8971  3.6957  2.2157  0.027   2.239   0.732   0.078   -0.154  -0.271  0.4787  0.0000  1.4 1   -11.634 3.1082673073
    10.00   0.8943061829    0.8818  1.9679  3.6925  2.1314  -0.150  2.127   0.579   -0.092  -0.330  -0.453  0.4787  0.0000  1.6 1   -11.630 3.1083111763
    10.00   0.8944097161    0.8809  2.0293  3.6896  2.0580  -0.303  2.033   0.447   -0.239  -0.482  -0.609  0.4787  0.0000  1.8 1   -11.626 3.1083469391
    10.00   0.8945088387    0.8798  2.0937  3.6864  1.9804  -0.464  1.937   0.309   -0.393  -0.643  -0.774  0.4787  0.0000  2.1 1   -11.622 3.1083810329
    10.00   0.8945925236    0.8786  2.1552  3.6835  1.9067  -0.618  1.848   0.178   -0.541  -0.796  -0.932  0.4787  0.0000  2.4 1   -11.617 3.1084098816
    10.00   0.8946674466    0.8772  2.2178  3.6803  1.8307  -0.775  1.763   0.048   -0.690  -0.952  -1.093  0.4787  0.0000  2.7 1   -11.612 3.1084356308
    10.00   0.8947335482    0.8756  2.2807  3.6769  1.7532  -0.932  1.683   -0.082  -0.839  -1.109  -1.255  0.4787  0.0000  3.1 1   -11.606 3.1084585190
    10.00   0.8947886229    0.8740  2.3369  3.6741  1.6848  -1.072  1.609   -0.197  -0.972  -1.248  -1.398  0.4787  0.0000  3.5 1   -11.602 3.1084773540
    10.00   0.8948436975    0.8719  2.4000  3.6703  1.6055  -1.230  1.544   -0.320  -1.116  -1.400  -1.557  0.4787  0.0000  4.0 1   -11.596 3.1084964275
    10.00   0.8948900104    0.8697  2.4595  3.6668  1.5313  -1.379  1.480   -0.436  -1.252  -1.544  -1.706  0.4787  0.0000  4.6 1   -11.591 3.1085124016
    10.00   0.8949297071    0.8673  2.5187  3.6635  1.4574  -1.527  1.422   -0.551  -1.388  -1.688  -1.856  0.4787  0.0000  5.2 1   -11.587 3.1085259914
    10.00   0.8949694037    0.8643  2.5812  3.6602  1.3803  -1.683  1.358   -0.673  -1.532  -1.840  -2.014  0.4787  0.0000  5.9 1   -11.583 3.1085395813
