# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3467 3.5736  5.2012  10.637  15.411  12.612  11.146  10.558  10.217  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0455 3.5973  5.1196  9.884   13.862  11.517  10.239  9.749   9.465   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8497 3.6089  5.0672  9.394   13.142  10.902  9.701   9.247   8.987   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6980 3.6180  5.0312  9.015   12.620  10.434  9.289   8.861   8.618   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5724 3.6255  5.0025  8.701   12.187  10.047  8.948   8.542   8.313   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4332 3.6324  4.9488  8.353   11.723  9.630   8.578   8.192   7.976   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3053 3.6411  4.9070  8.033   11.254  9.222   8.228   7.869   7.668   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1573 3.6527  4.8511  7.663   10.682  8.737   7.819   7.493   7.313   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9892 3.6695  4.7913  7.243   9.956   8.161   7.345   7.062   6.910   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5751256347    0.5751  -0.8952 3.6811  4.7633  7.008   9.513   7.830   7.078   6.821   6.687   0.4787  0.0000  0.0 1   -13.289 2.9379293919
    10.00   0.6000000238    0.5998  -0.8086 3.6917  4.7374  6.792   9.113   7.536   6.837   6.600   6.482   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6296707392    0.6294  -0.6945 3.7078  4.7089  6.506   8.565   7.148   6.522   6.314   6.218   0.4787  0.0000  0.0 1   -12.826 2.9787759781
    10.00   0.6574238539    0.6571  -0.5885 3.7228  4.6815  6.241   8.074   6.801   6.237   6.055   5.978   0.4787  0.0000  0.0 1   -12.604 2.9971292019
    10.00   0.6822648048    0.6819  -0.4933 3.7362  4.6559  6.003   7.664   6.503   5.993   5.832   5.771   0.4787  0.0000  0.0 1   -12.414 3.0123276711
    10.00   0.6999999881    0.6996  -0.4248 3.7457  4.6364  5.832   7.375   6.292   5.819   5.673   5.623   0.4787  0.0000  0.0 1   -12.282 3.0225379467
    10.00   0.7153484225    0.7149  -0.3636 3.7535  4.6158  5.679   7.136   6.109   5.666   5.532   5.491   0.4787  0.0000  0.0 1   -12.176 3.0309779644
    10.00   0.7345704436    0.7340  -0.2859 3.7625  4.5856  5.485   6.860   5.884   5.476   5.355   5.324   0.4787  0.0000  0.0 1   -12.039 3.0410652161
    10.00   0.7524055839    0.7518  -0.2120 3.7709  4.5557  5.300   6.600   5.671   5.295   5.186   5.165   0.4787  0.0000  0.0 1   -11.912 3.0499773026
    10.00   0.7692258954    0.7685  -0.1404 3.7786  4.5242  5.121   6.366   5.469   5.120   5.023   5.010   0.4787  0.0000  0.0 1   -11.798 3.0580151081
    10.00   0.7856956720    0.7848  -0.0675 3.7857  4.4890  4.939   6.147   5.267   4.943   4.857   4.852   0.4787  0.0000  0.0 1   -11.696 3.0655617714
    10.00   0.8000000119    0.7990  -0.0011 3.7916  4.4540  4.773   5.952   5.084   4.781   4.704   4.705   0.4787  0.0000  0.0 1   -11.621 3.0718705654
    10.00   0.8146303892    0.8135  0.0715  3.7973  4.4121  4.591   5.744   4.885   4.603   4.534   4.542   0.4787  0.0000  0.0 1   -11.560 3.0780909061
    10.00   0.8254966736    0.8242  0.1280  3.8011  4.3763  4.450   5.589   4.732   4.463   4.401   4.413   0.4787  0.0000  0.0 1   -11.529 3.0825645924
    10.00   0.8369776607    0.8356  0.1925  3.8050  4.3336  4.289   5.421   4.560   4.304   4.248   4.264   0.4787  0.0000  0.0 1   -11.510 3.0871620178
    10.00   0.8474578261    0.8459  0.2547  3.8083  4.2899  4.133   5.261   4.394   4.150   4.099   4.120   0.4787  0.0000  0.0 1   -11.509 3.0912475586
    10.00   0.8506518602    0.8490  0.2744  3.8092  4.2752  4.084   5.211   4.342   4.101   4.052   4.073   0.4787  0.0000  0.0 1   -11.511 3.0924720764
    10.00   0.8514438272    0.8498  0.2793  3.8093  4.2712  4.072   5.198   4.329   4.088   4.040   4.061   0.4787  0.0000  0.0 1   -11.512 3.0927741528
    10.00   0.8560084701    0.8543  0.3080  3.8101  4.2481  4.000   5.126   4.254   4.016   3.970   3.992   0.4787  0.0000  0.0 1   -11.518 3.0945045948
    10.00   0.8599878550    0.8582  0.3342  3.8107  4.2260  3.935   5.062   4.186   3.951   3.905   3.928   0.4787  0.0000  0.0 1   -11.526 3.0959980488
    10.00   0.8743332624    0.8721  0.4423  3.8096  4.1207  3.664   4.803   3.914   3.678   3.632   3.654   0.4787  0.0000  0.1 1   -11.574 3.1012654305
    10.00   0.8813689351    0.8789  0.5076  3.8040  4.0363  3.501   4.660   3.762   3.511   3.456   3.472   0.4787  0.0000  0.1 1   -11.607 3.1037847996
    10.00   0.8862651587    0.8836  0.5606  3.7954  3.9513  3.368   4.564   3.650   3.373   3.306   3.312   0.4787  0.0000  0.1 1   -11.634 3.1055138111
    10.00   0.8894058466    0.8866  0.5987  3.7848  3.8721  3.273   4.521   3.585   3.273   3.189   3.183   0.4787  0.0000  0.1 1   -11.653 3.1066126823
    10.00   0.8916444778    0.8887  0.6211  3.7707  3.7943  3.217   4.545   3.572   3.212   3.107   3.085   0.4787  0.0000  0.1 1   -11.666 3.1073908806
    10.00   0.8935436606    0.8905  0.6382  3.7558  3.7188  3.175   4.617   3.582   3.168   3.040   3.001   0.4787  0.0000  0.1 1   -11.679 3.1080482006
    10.00   0.8949701786    0.8918  0.6615  3.7448  3.6519  3.116   4.661   3.568   3.112   2.966   2.914   0.4787  0.0000  0.1 1   -11.688 3.1085398197
    10.00   0.8960732222    0.8928  0.6985  3.7379  3.5877  3.024   4.644   3.506   3.023   2.866   2.805   0.4787  0.0000  0.1 1   -11.695 3.1089191437
