# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3850 3.5614  5.1905  10.733  16.153  12.889  11.326  10.692  10.334  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.1017 3.5807  5.1097  10.024  14.583  11.883  10.472  9.927   9.613   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8644 3.6028  5.0576  9.431   13.202  10.965  9.754   9.289   9.019   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6968 3.6187  5.0326  9.012   12.483  10.379  9.279   8.856   8.613   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5445 3.6317  4.9993  8.631   11.863  9.867   8.852   8.463   8.242   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4126 3.6432  4.9715  8.301   11.325  9.426   8.482   8.123   7.923   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2576 3.6565  4.9209  7.914   10.695  8.918   8.053   7.727   7.549   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1011 3.6717  4.8709  7.523   10.026  8.400   7.619   7.329   7.176   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9236 3.6928  4.8190  7.079   9.218   7.810   7.132   6.885   6.762   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7335 3.7186  4.7701  6.604   8.353   7.192   6.627   6.428   6.339   0.4787  0.0000  0.0 1   -13.074 2.9573988914
    10.00   0.6094477773    0.6092  -0.6964 3.7234  4.7589  6.511   8.191   7.075   6.531   6.340   6.257   0.4787  0.0000  0.0 1   -12.993 2.9644122124
    10.00   0.6367899776    0.6365  -0.5884 3.7373  4.7255  6.241   7.762   6.748   6.261   6.093   6.026   0.4787  0.0000  0.0 1   -12.768 2.9836318493
    10.00   0.6613465548    0.6610  -0.4911 3.7495  4.6934  5.998   7.383   6.457   6.019   5.871   5.818   0.4787  0.0000  0.0 1   -12.574 2.9996027946
    10.00   0.6838245988    0.6834  -0.4009 3.7606  4.6617  5.772   7.071   6.198   5.800   5.669   5.628   0.4787  0.0000  0.0 1   -12.403 3.0132462978
    10.00   0.6999999881    0.6995  -0.3349 3.7683  4.6370  5.607   6.847   6.009   5.640   5.521   5.489   0.4787  0.0000  0.0 1   -12.283 3.0225379467
    10.00   0.7119945288    0.7114  -0.2840 3.7742  4.6169  5.480   6.676   5.864   5.516   5.406   5.381   0.4787  0.0000  0.0 1   -12.200 3.0291638374
    10.00   0.7300385833    0.7294  -0.2052 3.7830  4.5842  5.283   6.439   5.645   5.325   5.229   5.214   0.4787  0.0000  0.0 1   -12.072 3.0387332439
    10.00   0.7471057177    0.7464  -0.1281 3.7912  4.5498  5.090   6.213   5.431   5.139   5.054   5.048   0.4787  0.0000  0.0 1   -11.950 3.0473721027
    10.00   0.7639614344    0.7631  -0.0481 3.7991  4.5110  4.890   5.982   5.211   4.944   4.872   4.875   0.4787  0.0000  0.0 1   -11.834 3.0555362701
    10.00   0.7825741768    0.7815  0.0472  3.8077  4.4604  4.652   5.729   4.951   4.710   4.651   4.664   0.4787  0.0000  0.0 1   -11.716 3.0641551018
    10.00   0.7939890623    0.7928  0.1091  3.8127  4.4249  4.497   5.567   4.782   4.557   4.507   4.526   0.4787  0.0000  0.0 1   -11.652 3.0692470074
    10.00   0.8000000119    0.7987  0.1429  3.8153  4.4046  4.413   5.480   4.690   4.473   4.427   4.449   0.4787  0.0000  0.0 1   -11.622 3.0718705654
    10.00   0.8136278987    0.8122  0.2263  3.8216  4.3538  4.204   5.264   4.463   4.266   4.231   4.260   0.4787  0.0000  0.0 1   -11.565 3.0776720047
    10.00   0.8306519985    0.8289  0.3460  3.8298  4.2758  3.905   4.965   4.139   3.968   3.947   3.986   0.4787  0.0000  0.0 1   -11.519 3.0846450329
    10.00   0.8347801566    0.8329  0.3779  3.8316  4.2532  3.825   4.887   4.053   3.888   3.871   3.912   0.4787  0.0000  0.0 1   -11.513 3.0862922668
    10.00   0.8384223580    0.8365  0.4075  3.8328  4.2301  3.751   4.814   3.974   3.814   3.799   3.842   0.4787  0.0000  0.0 1   -11.510 3.0877315998
    10.00   0.8390126824    0.8370  0.4125  3.8330  4.2262  3.739   4.802   3.961   3.802   3.787   3.830   0.4787  0.0000  0.0 1   -11.509 3.0879635811
    10.00   0.8415398002    0.8395  0.4354  3.8333  4.2058  3.682   4.747   3.902   3.744   3.730   3.773   0.4787  0.0000  0.0 1   -11.508 3.0889532566
    10.00   0.8531218767    0.8507  0.5480  3.8327  4.0966  3.400   4.477   3.614   3.458   3.445   3.488   0.4787  0.0000  0.1 1   -11.513 3.0934126377
    10.00   0.8589919209    0.8563  0.6261  3.8233  3.9838  3.205   4.299   3.436   3.256   3.229   3.261   0.4787  0.0000  0.1 1   -11.522 3.0956256390
    10.00   0.8629534841    0.8600  0.6935  3.8080  3.8569  3.036   4.166   3.303   3.079   3.029   3.043   0.4787  0.0000  0.1 1   -11.531 3.0971016884
    10.00   0.8656615615    0.8625  0.7479  3.7839  3.7074  2.900   4.106   3.231   2.936   2.847   2.834   0.4787  0.0000  0.1 1   -11.538 3.0981028080
    10.00   0.8673405051    0.8640  0.7804  3.7623  3.5895  2.819   4.131   3.217   2.852   2.729   2.690   0.4787  0.0000  0.1 1   -11.543 3.0987200737
    10.00   0.8683997989    0.8650  0.8226  3.7508  3.5017  2.713   4.093   3.151   2.746   2.605   2.553   0.4787  0.0000  0.2 1   -11.546 3.0991084576
    10.00   0.8692122698    0.8657  0.8705  3.7440  3.4267  2.594   4.036   3.057   2.627   2.475   2.415   0.4787  0.0000  0.2 1   -11.549 3.0994055271
    10.00   0.8699548841    0.8663  0.9313  3.7395  3.3484  2.442   3.927   2.922   2.477   2.317   2.251   0.4787  0.0000  0.2 1   -11.551 3.0996766090
    10.00   0.8705489039    0.8667  0.9883  3.7367  3.2805  2.299   3.812   2.790   2.335   2.171   2.102   0.4787  0.0000  0.2 1   -11.552 3.0998930931
    10.00   0.8710948825    0.8671  1.0463  3.7346  3.2140  2.154   3.688   2.653   2.190   2.023   1.951   0.4787  0.0000  0.2 1   -11.554 3.1000919342
    10.00   0.8716035485    0.8674  1.1050  3.7328  3.1484  2.007   3.559   2.512   2.044   1.874   1.800   0.4787  0.0000  0.3 1   -11.555 3.1002769470
    10.00   0.8720783591    0.8677  1.1659  3.7311  3.0807  1.855   3.423   2.366   1.892   1.719   1.643   0.4787  0.0000  0.3 1   -11.556 3.1004493237
    10.00   0.8724898100    0.8679  1.2242  3.7295  3.0161  1.710   3.293   2.227   1.747   1.572   1.494   0.4787  0.0000  0.3 1   -11.557 3.1005985737
    10.00   0.8728973866    0.8680  1.2855  3.7278  2.9483  1.556   3.158   2.079   1.594   1.416   1.336   0.4787  0.0000  0.4 1   -11.558 3.1007461548
    10.00   0.8732574582    0.8681  1.3469  3.7261  2.8800  1.403   3.024   1.932   1.441   1.260   1.178   0.4787  0.0000  0.4 1   -11.558 3.1008765697
    10.00   0.8735701442    0.8681  1.4079  3.7243  2.8118  1.250   2.893   1.787   1.289   1.105   1.020   0.4787  0.0000  0.5 1   -11.559 3.1009898186
    10.00   0.8738477826    0.8680  1.4671  3.7225  2.7456  1.102   2.772   1.647   1.142   0.955   0.868   0.4787  0.0000  0.6 1   -11.559 3.1010901928
    10.00   0.8741025329    0.8679  1.5268  3.7208  2.6787  0.953   2.649   1.507   0.995   0.804   0.715   0.4787  0.0000  0.6 1   -11.558 3.1011822224
    10.00   0.8743362427    0.8676  1.5860  3.7189  2.6119  0.805   2.528   1.368   0.848   0.655   0.563   0.4787  0.0000  0.7 1   -11.558 3.1012666225
    10.00   0.8745263219    0.8674  1.6397  3.7172  2.5512  0.671   2.419   1.243   0.715   0.519   0.424   0.4787  0.0000  0.8 1   -11.557 3.1013352871
    10.00   0.8746988773    0.8670  1.6952  3.7153  2.4881  0.532   2.307   1.114   0.578   0.378   0.281   0.4787  0.0000  0.9 1   -11.556 3.1013975143
    10.00   0.8748452067    0.8667  1.7459  3.7136  2.4304  0.405   2.207   0.996   0.452   0.249   0.150   0.4787  0.0000  1.0 1   -11.555 3.1014502048
    10.00   0.8749845624    0.8662  1.7992  3.7118  2.3695  0.272   2.103   0.873   0.320   0.114   0.013   0.4787  0.0000  1.1 1   -11.554 3.1015005112
    10.00   0.8750994802    0.8657  1.8482  3.7100  2.3133  0.150   2.008   0.760   0.199   -0.010  -0.114  0.4787  0.0000  1.2 1   -11.553 3.1015419960
    10.00   0.8752056956    0.8652  1.8968  3.7083  2.2574  0.028   1.914   0.648   0.079   -0.134  -0.240  0.4787  0.0000  1.3 1   -11.552 3.1015801430
    10.00   0.8752996922    0.8646  1.9421  3.7065  2.2049  -0.085  1.827   0.545   -0.032  -0.249  -0.357  0.4787  0.0000  1.4 1   -11.551 3.1016139984
    10.00   0.8753867149    0.8639  1.9875  3.7049  2.1525  -0.199  1.740   0.441   -0.144  -0.364  -0.475  0.4787  0.0000  1.5 1   -11.549 3.1016454697
    10.00   0.8754633069    0.8632  2.0243  3.7035  2.1099  -0.291  1.669   0.357   -0.235  -0.457  -0.570  0.4787  0.0000  1.7 1   -11.548 3.1016728878
    10.00   0.8755572438    0.8622  2.0604  3.7023  2.0682  -0.381  1.598   0.274   -0.324  -0.549  -0.663  0.4787  0.0000  1.8 1   -11.546 3.1017067432
    10.00   0.8755642176    0.8622  2.0625  3.7022  2.0658  -0.386  1.594   0.270   -0.329  -0.554  -0.669  0.4787  0.0000  1.8 1   -11.546 3.1017093658
    10.00   0.8756400347    0.8614  2.0407  3.7034  2.0923  -0.332  1.631   0.317   -0.276  -0.499  -0.611  0.4787  0.0000  1.7 1   -11.543 3.1017365456
    10.00   0.8757388592    0.8602  2.1091  3.7006  2.0121  -0.503  1.502   0.162   -0.444  -0.672  -0.789  0.4787  0.0000  2.0 1   -11.541 3.1017720699
    10.00   0.8758263588    0.8589  2.1768  3.6979  1.9327  -0.672  1.391   0.013   -0.609  -0.843  -0.964  0.4787  0.0000  2.3 1   -11.540 3.1018035412
    10.00   0.8759054542    0.8573  2.2438  3.6952  1.8541  -0.839  1.285   -0.133  -0.771  -1.011  -1.136  0.4787  0.0000  2.6 1   -11.538 3.1018321514
    10.00   0.8759732246    0.8556  2.3077  3.6925  1.7787  -0.999  1.185   -0.272  -0.926  -1.172  -1.301  0.4787  0.0000  2.9 1   -11.538 3.1018564701
    10.00   0.8760381937    0.8535  2.3771  3.6896  1.6966  -1.173  1.079   -0.422  -1.094  -1.346  -1.480  0.4787  0.0000  3.4 1   -11.537 3.1018798351
