# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3238 3.5811  5.2082  10.580  15.116  12.445  11.033  10.482  10.164  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0266 3.6030  5.1238  9.836   13.649  11.391  10.162  9.694   9.424   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8300 3.6145  5.0698  9.345   12.965  10.784  9.630   9.193   8.944   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6805 3.6232  5.0345  8.971   12.445  10.323  9.225   8.813   8.579   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5553 3.6307  5.0063  8.658   12.005  9.936   8.885   8.494   8.274   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4219 3.6381  4.9604  8.325   11.544  9.529   8.527   8.157   7.950   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2852 3.6474  4.9122  7.983   11.040  9.094   8.154   7.811   7.620   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1344 3.6597  4.8563  7.606   10.440  8.603   7.738   7.427   7.258   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9609 3.6784  4.7989  7.172   9.669   8.008   7.250   6.984   6.845   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7734 3.7032  4.7482  6.704   8.780   7.369   6.730   6.511   6.407   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6210045815    0.6208  -0.6915 3.7147  4.7272  6.499   8.403   7.104   6.512   6.313   6.224   0.4787  0.0000  0.0 1   -12.897 2.9727253914
    10.00   0.6488421559    0.6485  -0.5836 3.7297  4.6982  6.229   7.923   6.760   6.230   6.055   5.985   0.4787  0.0000  0.0 1   -12.672 2.9916167259
    10.00   0.6738362908    0.6735  -0.4864 3.7430  4.6708  5.986   7.520   6.462   5.985   5.832   5.776   0.4787  0.0000  0.0 1   -12.478 3.0072927475
    10.00   0.6967177987    0.6963  -0.3968 3.7549  4.6433  5.762   7.169   6.193   5.763   5.628   5.585   0.4787  0.0000  0.0 1   -12.307 3.0206863880
    10.00   0.7114985585    0.7110  -0.3383 3.7624  4.6238  5.616   6.958   6.023   5.620   5.496   5.463   0.4787  0.0000  0.0 1   -12.203 3.0288941860
    10.00   0.7143941522    0.7139  -0.3264 3.7638  4.6194  5.586   6.916   5.988   5.591   5.470   5.437   0.4787  0.0000  0.0 1   -12.183 3.0304634571
    10.00   0.7326039076    0.7320  -0.2504 3.7723  4.5882  5.396   6.654   5.771   5.406   5.297   5.274   0.4787  0.0000  0.0 1   -12.053 3.0400567055
    10.00   0.7495364547    0.7489  -0.1778 3.7804  4.5576  5.214   6.424   5.567   5.230   5.133   5.119   0.4787  0.0000  0.0 1   -11.933 3.0485713482
    10.00   0.7658610940    0.7651  -0.1053 3.7879  4.5246  5.033   6.206   5.365   5.054   4.969   4.963   0.4787  0.0000  0.0 1   -11.821 3.0564346313
    10.00   0.7826563716    0.7817  -0.0270 3.7954  4.4855  4.837   5.976   5.149   4.863   4.789   4.792   0.4787  0.0000  0.0 1   -11.715 3.0641922951
    10.00   0.8018651605    0.8008  0.0693  3.8035  4.4323  4.597   5.709   4.886   4.627   4.566   4.578   0.4787  0.0000  0.0 1   -11.612 3.0726766586
    10.00   0.8114986420    0.8103  0.1195  3.8074  4.4027  4.471   5.577   4.749   4.503   4.448   4.465   0.4787  0.0000  0.0 1   -11.572 3.0767786503
    10.00   0.8213793039    0.8200  0.1747  3.8113  4.3682  4.333   5.433   4.600   4.367   4.319   4.339   0.4787  0.0000  0.0 1   -11.539 3.0808837414
    10.00   0.8316743374    0.8302  0.2372  3.8156  4.3283  4.177   5.270   4.432   4.212   4.171   4.197   0.4787  0.0000  0.0 1   -11.517 3.0850546360
    10.00   0.8419178724    0.8402  0.3036  3.8195  4.2829  4.011   5.100   4.253   4.047   4.013   4.043   0.4787  0.0000  0.0 1   -11.508 3.0891008377
    10.00   0.8456653357    0.8439  0.3294  3.8206  4.2633  3.946   5.035   4.185   3.983   3.950   3.982   0.4787  0.0000  0.0 1   -11.508 3.0905561447
    10.00   0.8457854986    0.8440  0.3303  3.8206  4.2626  3.944   5.033   4.183   3.981   3.948   3.980   0.4787  0.0000  0.0 1   -11.508 3.0906023979
