# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3289 3.5795  5.2070  10.592  15.179  12.481  11.056  10.498  10.176  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0331 3.6012  5.1229  9.853   13.702  11.428  10.185  9.711   9.438   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8382 3.6125  5.0700  9.366   13.028  10.828  9.658   9.216   8.962   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6878 3.6212  5.0338  8.990   12.506  10.365  9.251   8.833   8.595   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5624 3.6287  5.0053  8.676   12.067  9.977   8.911   8.514   8.290   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4264 3.6362  4.9571  8.336   11.599  9.562   8.545   8.170   7.960   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2905 3.6455  4.9099  7.996   11.097  9.129   8.174   7.826   7.632   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1390 3.6580  4.8538  7.617   10.495  8.632   7.755   7.441   7.268   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9655 3.6766  4.7961  7.184   9.723   8.033   7.266   6.996   6.855   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7778 3.7015  4.7458  6.715   8.827   7.390   6.742   6.521   6.415   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6214584112    0.6212  -0.6935 3.7135  4.7248  6.504   8.436   7.115   6.517   6.316   6.226   0.4787  0.0000  0.0 1   -12.893 2.9730460644
    10.00   0.6484801769    0.6482  -0.5877 3.7285  4.6973  6.239   7.958   6.774   6.239   6.063   5.991   0.4787  0.0000  0.0 1   -12.675 2.9913811684
    10.00   0.6727126837    0.6723  -0.4925 3.7418  4.6712  6.001   7.559   6.481   5.998   5.843   5.787   0.4787  0.0000  0.0 1   -12.486 3.0066120625
    10.00   0.6948738694    0.6944  -0.4046 3.7537  4.6449  5.781   7.207   6.215   5.779   5.642   5.599   0.4787  0.0000  0.0 1   -12.320 3.0196387768
    10.00   0.7000000477    0.6995  -0.3840 3.7564  4.6382  5.730   7.132   6.155   5.728   5.596   5.556   0.4787  0.0000  0.0 1   -12.282 3.0225381851
    10.00   0.7116693854    0.7112  -0.3362 3.7621  4.6207  5.611   6.963   6.017   5.612   5.488   5.455   0.4787  0.0000  0.0 1   -12.202 3.0289869308
    10.00   0.7299222350    0.7293  -0.2601 3.7706  4.5896  5.420   6.699   5.799   5.426   5.315   5.291   0.4787  0.0000  0.0 1   -12.072 3.0386731625
    10.00   0.7468973398    0.7462  -0.1875 3.7787  4.5591  5.239   6.462   5.593   5.249   5.151   5.136   0.4787  0.0000  0.0 1   -11.951 3.0472688675
    10.00   0.7632652521    0.7625  -0.1151 3.7862  4.5261  5.058   6.244   5.392   5.074   4.987   4.980   0.4787  0.0000  0.0 1   -11.838 3.0552060604
    10.00   0.7801073194    0.7792  -0.0369 3.7936  4.4869  4.862   6.013   5.176   4.884   4.808   4.809   0.4787  0.0000  0.0 1   -11.730 3.0630357265
    10.00   0.7993723154    0.7983  0.0590  3.8016  4.4335  4.622   5.743   4.914   4.648   4.585   4.595   0.4787  0.0000  0.0 1   -11.624 3.0715985298
    10.00   0.8000000119    0.7989  0.0623  3.8019  4.4317  4.614   5.734   4.905   4.640   4.577   4.588   0.4787  0.0000  0.0 1   -11.621 3.0718705654
    10.00   0.8081942797    0.8070  0.1045  3.8053  4.4077  4.509   5.622   4.790   4.537   4.479   4.494   0.4787  0.0000  0.0 1   -11.585 3.0753829479
    10.00   0.8191163540    0.8178  0.1648  3.8095  4.3699  4.358   5.464   4.627   4.388   4.337   4.356   0.4787  0.0000  0.0 1   -11.546 3.0799524784
    10.00   0.8294776678    0.8280  0.2267  3.8136  4.3299  4.203   5.304   4.460   4.234   4.191   4.215   0.4787  0.0000  0.0 1   -11.521 3.0841734409
    10.00   0.8397881985    0.8381  0.2924  3.8174  4.2847  4.039   5.135   4.285   4.071   4.034   4.063   0.4787  0.0000  0.0 1   -11.509 3.0882680416
    10.00   0.8435604572    0.8418  0.3178  3.8185  4.2654  3.975   5.071   4.217   4.008   3.973   4.002   0.4787  0.0000  0.0 1   -11.508 3.0897402763
    10.00   0.8436851501    0.8419  0.3187  3.8185  4.2647  3.973   5.069   4.215   4.006   3.970   4.000   0.4787  0.0000  0.0 1   -11.508 3.0897886753
    10.00   0.8483898044    0.8465  0.3532  3.8193  4.2358  3.887   4.983   4.125   3.919   3.886   3.917   0.4787  0.0000  0.0 1   -11.509 3.0916056633
    10.00   0.8516159654    0.8497  0.3782  3.8196  4.2134  3.825   4.922   4.061   3.856   3.823   3.855   0.4787  0.0000  0.0 1   -11.512 3.0928397179
    10.00   0.8626813293    0.8605  0.4697  3.8193  4.1261  3.596   4.703   3.828   3.625   3.593   3.624   0.4787  0.0000  0.1 1   -11.532 3.0970005989
    10.00   0.8705095053    0.8680  0.5518  3.8112  4.0156  3.391   4.524   3.639   3.414   3.370   3.392   0.4787  0.0000  0.1 1   -11.557 3.0998787880
    10.00   0.8753490448    0.8726  0.6141  3.7987  3.9054  3.235   4.407   3.512   3.251   3.187   3.195   0.4787  0.0000  0.1 1   -11.576 3.1016318798
    10.00   0.8785639405    0.8756  0.6600  3.7806  3.7888  3.120   4.373   3.447   3.128   3.038   3.025   0.4787  0.0000  0.1 1   -11.590 3.1027853489
    10.00   0.8808805346    0.8778  0.6915  3.7600  3.6761  3.041   4.427   3.437   3.046   2.923   2.887   0.4787  0.0000  0.1 1   -11.601 3.1036112309
    10.00   0.8827164173    0.8795  0.7363  3.7445  3.5697  2.929   4.444   3.384   2.936   2.788   2.733   0.4787  0.0000  0.1 1   -11.610 3.1042625904
    10.00   0.8843393326    0.8809  0.8205  3.7354  3.4500  2.719   4.330   3.212   2.730   2.567   2.501   0.4787  0.0000  0.2 1   -11.618 3.1048359871
    10.00   0.8853904009    0.8818  0.9006  3.7319  3.3562  2.518   4.169   3.026   2.530   2.362   2.292   0.4787  0.0000  0.2 1   -11.623 3.1052062511
    10.00   0.8860837221    0.8823  0.9600  3.7299  3.2892  2.370   4.042   2.886   2.383   2.211   2.139   0.4787  0.0000  0.2 1   -11.626 3.1054501534
    10.00   0.8866850138    0.8828  1.0188  3.7281  3.2236  2.223   3.915   2.746   2.236   2.062   1.988   0.4787  0.0000  0.2 1   -11.629 3.1056611538
    10.00   0.8871780038    0.8831  1.0703  3.7265  3.1657  2.094   3.804   2.624   2.108   1.932   1.855   0.4787  0.0000  0.3 1   -11.631 3.1058340073
    10.00   0.8876454830    0.8834  1.1258  3.7249  3.1040  1.955   3.682   2.491   1.970   1.791   1.713   0.4787  0.0000  0.3 1   -11.633 3.1059975624
    10.00   0.8880814910    0.8836  1.1823  3.7233  3.0412  1.814   3.564   2.358   1.831   1.649   1.569   0.4787  0.0000  0.3 1   -11.635 3.1061501503
    10.00   0.8884599209    0.8838  1.2356  3.7217  2.9816  1.681   3.455   2.233   1.700   1.515   1.432   0.4787  0.0000  0.4 1   -11.636 3.1062824726
    10.00   0.8888154626    0.8839  1.2906  3.7200  2.9198  1.544   3.345   2.105   1.564   1.377   1.292   0.4787  0.0000  0.4 1   -11.637 3.1064066887
    10.00   0.8891407847    0.8840  1.3465  3.7182  2.8568  1.404   3.233   1.974   1.426   1.235   1.148   0.4787  0.0000  0.5 1   -11.637 3.1065201759
    10.00   0.8894016743    0.8840  1.3962  3.7166  2.8006  1.279   3.134   1.858   1.303   1.110   1.020   0.4787  0.0000  0.5 1   -11.637 3.1066110134
    10.00   0.8896490932    0.8839  1.4469  3.7148  2.7425  1.153   3.036   1.741   1.178   0.982   0.890   0.4787  0.0000  0.6 1   -11.637 3.1066973209
    10.00   0.8898795247    0.8838  1.4998  3.7129  2.6823  1.021   2.932   1.619   1.048   0.849   0.754   0.4787  0.0000  0.6 1   -11.637 3.1067776680
    10.00   0.8900914192    0.8837  1.5533  3.7109  2.6206  0.887   2.829   1.497   0.917   0.714   0.616   0.4787  0.0000  0.7 1   -11.636 3.1068513393
    10.00   0.8902790546    0.8835  1.6050  3.7090  2.5611  0.757   2.729   1.378   0.790   0.583   0.483   0.4787  0.0000  0.8 1   -11.635 3.1069166660
    10.00   0.8904346824    0.8832  1.6517  3.7073  2.5073  0.641   2.638   1.271   0.675   0.465   0.363   0.4787  0.0000  0.8 1   -11.634 3.1069707870
    10.00   0.8905846477    0.8829  1.7004  3.7054  2.4511  0.519   2.547   1.160   0.555   0.342   0.237   0.4787  0.0000  0.9 1   -11.633 3.1070230007
    10.00   0.8907204866    0.8826  1.7476  3.7036  2.3965  0.401   2.459   1.053   0.439   0.223   0.115   0.4787  0.0000  1.0 1   -11.631 3.1070702076
    10.00   0.8908360600    0.8822  1.7908  3.7017  2.3458  0.293   2.381   0.956   0.333   0.113   0.004   0.4787  0.0000  1.1 1   -11.630 3.1071102619
    10.00   0.8909489512    0.8818  1.8327  3.7000  2.2967  0.188   2.304   0.862   0.230   0.007   -0.105  0.4787  0.0000  1.2 1   -11.628 3.1071496010
    10.00   0.8910478950    0.8813  1.8654  3.6987  2.2586  0.106   2.249   0.789   0.151   -0.074  -0.188  0.4787  0.0000  1.3 1   -11.625 3.1071839333
    10.00   0.8911436796    0.8808  1.8897  3.6978  2.2304  0.046   2.207   0.735   0.093   -0.135  -0.250  0.4787  0.0000  1.4 1   -11.623 3.1072170734
    10.00   0.8912613392    0.8802  1.8549  3.6999  2.2732  0.133   2.254   0.808   0.175   -0.049  -0.161  0.4787  0.0000  1.3 1   -11.619 3.1072580814
    10.00   0.8913856149    0.8796  1.9182  3.6970  2.1981  -0.026  2.153   0.670   0.023   -0.206  -0.323  0.4787  0.0000  1.4 1   -11.616 3.1073012352
    10.00   0.8915017247    0.8788  1.9802  3.6942  2.1244  -0.180  2.055   0.535   -0.125  -0.361  -0.481  0.4787  0.0000  1.6 1   -11.613 3.1073415279
    10.00   0.8916117549    0.8778  2.0456  3.6911  2.0461  -0.344  1.954   0.394   -0.282  -0.523  -0.649  0.4787  0.0000  1.9 1   -11.609 3.1073796749
    10.00   0.8917078972    0.8766  2.1082  3.6881  1.9712  -0.501  1.860   0.260   -0.432  -0.679  -0.809  0.4787  0.0000  2.1 1   -11.605 3.1074128151
    10.00   0.8918006420    0.8752  2.1770  3.6848  1.8883  -0.673  1.763   0.115   -0.597  -0.851  -0.986  0.4787  0.0000  2.5 1   -11.600 3.1074450016
    10.00   0.8918794990    0.8737  2.2424  3.6814  1.8088  -0.836  1.674   -0.022  -0.753  -1.014  -1.153  0.4787  0.0000  2.8 1   -11.595 3.1074724197
    10.00   0.8919553161    0.8717  2.3138  3.6776  1.7210  -1.015  1.581   -0.169  -0.923  -1.192  -1.337  0.4787  0.0000  3.3 1   -11.590 3.1074986458
    10.00   0.8920161724    0.8697  2.3791  3.6740  1.6403  -1.178  1.501   -0.301  -1.076  -1.354  -1.504  0.4787  0.0000  3.8 1   -11.585 3.1075198650
    10.00   0.8920759559    0.8670  2.4509  3.6700  1.5511  -1.357  1.422   -0.443  -1.241  -1.528  -1.685  0.4787  0.0000  4.4 1   -11.580 3.1075406075
    10.00   0.8921208382    0.8645  2.5133  3.6663  1.4725  -1.513  1.362   -0.562  -1.383  -1.679  -1.842  0.4787  0.0000  5.0 1   -11.577 3.1075561047
    10.00   0.8921688199    0.8610  2.5876  3.6621  1.3796  -1.699  1.293   -0.705  -1.554  -1.859  -2.030  0.4787  0.0000  5.9 1   -11.574 3.1075725555
    10.00   0.8922099471    0.8570  2.6607  3.6578  1.2874  -1.882  1.232   -0.843  -1.720  -2.036  -2.215  0.4787  0.0000  6.9 1   -11.573 3.1075868607
    10.00   0.8922457099    0.8523  2.7312  3.6532  1.1963  -2.058  1.184   -0.971  -1.879  -2.207  -2.393  0.4787  0.0000  8.1 1   -11.577 3.1075992584
    10.00   0.8922786713    0.8466  2.8036  3.6487  1.1029  -2.239  1.137   -1.101  -2.040  -2.380  -2.575  0.4787  0.0000  10.0    1   -11.586 3.1076107025
    10.00   0.8923096061    0.8395  2.8854  3.6434  0.9962  -2.443  1.099   -1.239  -2.217  -2.572  -2.777  0.4787  0.0000  12.0    1   -11.607 3.1076214314
    10.00   0.8923368454    0.8308  2.9602  3.6386  0.8977  -2.631  1.077   -1.361  -2.377  -2.747  -2.962  0.4787  0.0000  14.2    1   -11.640 3.1076309681
    10.00   0.8923617005    0.8201  3.0417  3.6322  0.7848  -2.834  1.090   -1.479  -2.545  -2.935  -3.163  0.4787  0.0000  17.3    1   -11.700 3.1076395512
    10.00   0.8923834562    0.8067  3.1217  3.6269  0.6766  -3.034  1.082   -1.604  -2.715  -3.122  -3.361  0.4787  0.0000  20.9    1   -11.464 3.1076469421
    10.00   0.8924031854    0.7901  3.2031  3.6218  0.5658  -3.238  1.080   -1.726  -2.884  -3.309  -3.560  0.4787  0.0000  25.4    1   -10.721 3.1076538563
    10.00   0.8924201727    0.7701  3.2774  3.6169  0.4608  -3.423  1.100   -1.825  -3.033  -3.477  -3.740  0.4787  0.0000  30.5    1   -10.054 3.1076598167
    10.00   0.8924201727    0.7741  1.6968  3.7384  2.5297  0.528   2.167   0.986   0.528   0.373   0.311   0.4787  0.0000  0.8 1   -11.765 3.1076598167
    10.00   0.8924970627    0.7742  1.7080  3.7370  2.5130  0.500   2.153   0.965   0.500   0.344   0.280   0.4787  0.0000  0.8 1   -11.764 3.1076862812
    10.00   0.8925943375    0.7743  1.7148  3.7364  2.5038  0.483   2.142   0.951   0.484   0.326   0.261   0.4787  0.0000  0.9 1   -11.764 3.1077198982
    10.00   0.8926591873    0.7744  1.7181  3.7362  2.4997  0.475   2.136   0.944   0.476   0.317   0.253   0.4787  0.0000  0.9 1   -11.763 3.1077425480
    10.00   0.8927096725    0.7745  1.7188  3.7364  2.4998  0.473   2.133   0.941   0.474   0.316   0.251   0.4787  0.0000  0.9 1   -11.763 3.1077599525
    10.00   0.8928549886    0.7747  1.7195  3.7372  2.5026  0.471   2.123   0.935   0.471   0.315   0.252   0.4787  0.0000  0.9 1   -11.762 3.1078102589
    10.00   0.8930072188    0.7748  1.7182  3.7386  2.5095  0.475   2.113   0.932   0.474   0.320   0.258   0.4787  0.0000  0.8 1   -11.760 3.1078627110
    10.00   0.8931666613    0.7750  1.7170  3.7399  2.5160  0.478   2.104   0.928   0.476   0.324   0.264   0.4787  0.0000  0.8 1   -11.759 3.1079180241
    10.00   0.8933310509    0.7752  1.7166  3.7409  2.5207  0.479   2.095   0.924   0.476   0.326   0.267   0.4787  0.0000  0.8 1   -11.758 3.1079747677
    10.00   0.8935014606    0.7755  1.7171  3.7418  2.5234  0.477   2.086   0.919   0.474   0.326   0.268   0.4787  0.0000  0.8 1   -11.756 3.1080336571
    10.00   0.8936733603    0.7757  1.7188  3.7422  2.5238  0.473   2.078   0.912   0.470   0.322   0.265   0.4787  0.0000  0.8 1   -11.755 3.1080930233
