# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3404 3.5757  5.2032  10.621  15.324  12.565  11.112  10.535  10.202  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0411 3.5987  5.1207  9.873   13.800  11.484  10.219  9.735   9.455   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8456 3.6102  5.0682  9.384   13.103  10.876  9.686   9.236   8.978   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6944 3.6191  5.0321  9.006   12.580  10.410  9.276   8.851   8.610   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5688 3.6266  5.0035  8.692   12.145  10.022  8.935   8.532   8.305   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4290 3.6337  4.9499  8.342   11.675  9.601   8.562   8.180   7.966   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3001 3.6427  4.9080  8.020   11.199  9.189   8.209   7.854   7.655   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1509 3.6545  4.8520  7.647   10.616  8.700   7.796   7.475   7.297   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9808 3.6720  4.7930  7.222   9.874   8.115   7.316   7.039   6.891   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5742189884    0.5742  -0.8890 3.6836  4.7666  6.993   9.438   7.794   7.057   6.804   6.673   0.4787  0.0000  0.0 1   -13.298 2.9371907711
    10.00   0.6000000238    0.5998  -0.7978 3.6951  4.7403  6.765   9.011   7.483   6.803   6.572   6.458   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6266719699    0.6264  -0.6945 3.7098  4.7146  6.506   8.521   7.137   6.521   6.316   6.221   0.4787  0.0000  0.0 1   -12.850 2.9766995907
    10.00   0.6542472243    0.6539  -0.5883 3.7248  4.6871  6.241   8.030   6.790   6.237   6.057   5.982   0.4787  0.0000  0.0 1   -12.629 2.9951050282
    10.00   0.6789273620    0.6786  -0.4929 3.7382  4.6612  6.002   7.626   6.495   5.994   5.835   5.776   0.4787  0.0000  0.0 1   -12.439 3.0103483200
