# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.2848 3.5931  5.2174  10.482  14.576  12.157  10.857  10.358  10.069  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -1.9762 3.6173  5.1303  9.711   13.225  11.100  9.983   9.556   9.311   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.7675 3.6300  5.0693  9.189   12.474  10.449  9.416   9.023   8.800   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6244 3.6387  5.0402  8.831   11.964  10.007  9.028   8.657   8.449   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5005 3.6462  5.0134  8.521   11.522  9.624   8.691   8.340   8.146   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.3876 3.6530  4.9855  8.239   11.119  9.280   8.387   8.054   7.871   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2445 3.6619  4.9293  7.881   10.596  8.845   8.005   7.693   7.525   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.0990 3.6734  4.8755  7.517   10.021  8.383   7.609   7.325   7.175   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9258 3.6926  4.8204  7.084   9.256   7.817   7.136   6.891   6.769   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7394 3.7163  4.7665  6.619   8.426   7.217   6.641   6.439   6.348   0.4787  0.0000  0.0 1   -13.074 2.9573988914
    10.00   0.6122124791    0.6120  -0.6914 3.7226  4.7525  6.499   8.214   7.065   6.515   6.324   6.241   0.4787  0.0000  0.0 1   -12.970 2.9664270878
    10.00   0.6396376491    0.6393  -0.5833 3.7367  4.7199  6.228   7.775   6.736   6.243   6.075   6.009   0.4787  0.0000  0.0 1   -12.745 2.9855449200
    10.00   0.6642607450    0.6639  -0.4860 3.7491  4.6887  5.985   7.390   6.443   6.000   5.853   5.800   0.4787  0.0000  0.0 1   -12.551 3.0014221668
    10.00   0.6868021488    0.6864  -0.3956 3.7603  4.6575  5.759   7.073   6.182   5.781   5.650   5.611   0.4787  0.0000  0.0 1   -12.380 3.0149884224
    10.00   0.6999999881    0.6995  -0.3422 3.7666  4.6374  5.626   6.890   6.030   5.651   5.530   5.498   0.4787  0.0000  0.0 1   -12.283 3.0225379467
    10.00   0.7167015076    0.7161  -0.2714 3.7747  4.6092  5.448   6.650   5.827   5.479   5.371   5.347   0.4787  0.0000  0.0 1   -12.167 3.0317051411
    10.00   0.7347602844    0.7341  -0.1925 3.7834  4.5760  5.251   6.414   5.608   5.288   5.193   5.179   0.4787  0.0000  0.0 1   -12.038 3.0411622524
    10.00   0.7518219352    0.7511  -0.1153 3.7915  4.5408  5.058   6.187   5.395   5.101   5.018   5.013   0.4787  0.0000  0.0 1   -11.917 3.0496921539
    10.00   0.7686609030    0.7678  -0.0351 3.7992  4.5010  4.858   5.955   5.174   4.906   4.835   4.839   0.4787  0.0000  0.0 1   -11.803 3.0577504635
    10.00   0.7871205211    0.7860  0.0597  3.8074  4.4494  4.621   5.704   4.915   4.673   4.615   4.628   0.4787  0.0000  0.0 1   -11.689 3.0662002563
    10.00   0.7983466387    0.7971  0.1207  3.8122  4.4136  4.468   5.545   4.750   4.522   4.472   4.491   0.4787  0.0000  0.0 1   -11.630 3.0711529255
    10.00   0.8000000119    0.7988  0.1301  3.8128  4.4077  4.445   5.521   4.724   4.499   4.450   4.470   0.4787  0.0000  0.0 1   -11.622 3.0718705654
    10.00   0.8064936399    0.8052  0.1670  3.8156  4.3854  4.353   5.425   4.624   4.407   4.363   4.386   0.4787  0.0000  0.0 1   -11.592 3.0746600628
    10.00   0.8190156221    0.8175  0.2457  3.8213  4.3360  4.156   5.222   4.410   4.212   4.177   4.207   0.4787  0.0000  0.0 1   -11.547 3.0799109936
    10.00   0.8318620324    0.8301  0.3359  3.8271  4.2757  3.930   4.994   4.167   3.987   3.963   3.999   0.4787  0.0000  0.0 1   -11.517 3.0851297379
    10.00   0.8355056047    0.8337  0.3632  3.8285  4.2559  3.862   4.928   4.094   3.919   3.897   3.936   0.4787  0.0000  0.0 1   -11.512 3.0865797997
    10.00   0.8387688994    0.8369  0.3887  3.8294  4.2356  3.798   4.865   4.026   3.855   3.835   3.874   0.4787  0.0000  0.0 1   -11.509 3.0878677368
    10.00   0.8396816254    0.8377  0.3960  3.8296  4.2297  3.780   4.848   4.007   3.837   3.817   3.857   0.4787  0.0000  0.0 1   -11.509 3.0882260799
    10.00   0.8429377675    0.8409  0.4228  3.8304  4.2075  3.713   4.783   3.937   3.769   3.751   3.792   0.4787  0.0000  0.0 1   -11.508 3.0894982815
    10.00   0.8541669250    0.8518  0.5316  3.8292  4.0995  3.441   4.522   3.660   3.493   3.475   3.514   0.4787  0.0000  0.1 1   -11.514 3.0938088894
    10.00   0.8597216010    0.8571  0.6009  3.8220  4.0042  3.268   4.366   3.501   3.315   3.286   3.317   0.4787  0.0000  0.1 1   -11.524 3.0958983898
    10.00   0.8636337519    0.8608  0.6628  3.8097  3.8949  3.113   4.241   3.373   3.153   3.105   3.122   0.4787  0.0000  0.1 1   -11.533 3.0973536968
    10.00   0.8658808470    0.8629  0.7057  3.7952  3.7949  3.006   4.175   3.302   3.039   2.969   2.970   0.4787  0.0000  0.1 1   -11.539 3.0981833935
    10.00   0.8675645590    0.8644  0.7371  3.7783  3.6968  2.927   4.159   3.272   2.956   2.859   2.841   0.4787  0.0000  0.1 1   -11.544 3.0988023281
    10.00   0.8689585924    0.8657  0.7616  3.7612  3.6046  2.866   4.196   3.266   2.893   2.769   2.730   0.4787  0.0000  0.1 1   -11.549 3.0993127823
    10.00   0.8691788912    0.8659  0.7657  3.7584  3.5895  2.856   4.202   3.265   2.883   2.754   2.712   0.4787  0.0000  0.1 1   -11.549 3.0993933678
    10.00   0.8703887463    0.8670  0.8136  3.7465  3.4946  2.736   4.167   3.188   2.764   2.617   2.560   0.4787  0.0000  0.2 1   -11.553 3.0998349190
    10.00   0.8713203073    0.8677  0.8757  3.7405  3.4087  2.581   4.071   3.056   2.610   2.453   2.389   0.4787  0.0000  0.2 1   -11.556 3.1001739502
    10.00   0.8720291257    0.8683  0.9375  3.7372  3.3340  2.426   3.951   2.915   2.456   2.294   2.226   0.4787  0.0000  0.2 1   -11.558 3.1004314423
    10.00   0.8726627827    0.8688  1.0003  3.7346  3.2610  2.269   3.820   2.767   2.300   2.133   2.062   0.4787  0.0000  0.2 1   -11.560 3.1006612778
    10.00   0.8732378483    0.8692  1.0619  3.7327  3.1921  2.115   3.685   2.620   2.146   1.977   1.904   0.4787  0.0000  0.3 1   -11.562 3.1008696556
    10.00   0.8737545013    0.8695  1.1234  3.7310  3.1239  1.961   3.549   2.473   1.993   1.821   1.746   0.4787  0.0000  0.3 1   -11.563 3.1010563374
    10.00   0.8742491007    0.8698  1.1909  3.7292  3.0493  1.793   3.398   2.311   1.825   1.650   1.573   0.4787  0.0000  0.3 1   -11.565 3.1012351513
    10.00   0.8746998310    0.8700  1.2553  3.7275  2.9780  1.632   3.255   2.156   1.665   1.487   1.407   0.4787  0.0000  0.4 1   -11.565 3.1013977528
    10.00   0.8750653267    0.8701  1.3140  3.7258  2.9128  1.485   3.127   2.015   1.518   1.337   1.256   0.4787  0.0000  0.4 1   -11.566 3.1015295982
