# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.5246 3.5172  5.1534  11.081  18.320  13.922  12.099  11.167  10.688  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.2718 3.5295  5.0749  10.450  17.108  13.073  11.324  10.505  10.064  0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.9928 3.5651  5.0351  9.752   14.977  11.838  10.311  9.701   9.353   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.7889 3.5908  5.0133  9.242   13.409  10.939  9.629   9.124   8.830   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.6052 3.6112  4.9782  8.783   12.372  10.218  9.076   8.634   8.378   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4478 3.6295  4.9519  8.390   11.623  9.634   8.618   8.223   7.998   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2761 3.6490  4.9092  7.960   10.836  9.019   8.120   7.775   7.584   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1041 3.6693  4.8644  7.530   10.034  8.423   7.634   7.335   7.177   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9204 3.6930  4.8170  7.071   9.165   7.800   7.126   6.877   6.753   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7252 3.7220  4.7752  6.583   8.252   7.156   6.609   6.414   6.327   0.4787  0.0000  0.0 1   -13.074 2.9573988914
    10.00   0.6078406572    0.6076  -0.6944 3.7259  4.7655  6.506   8.123   7.060   6.530   6.342   6.260   0.4787  0.0000  0.0 1   -13.007 2.9632332325
    10.00   0.6352171898    0.6349  -0.5861 3.7394  4.7305  6.235   7.706   6.737   6.262   6.096   6.030   0.4787  0.0000  0.0 1   -12.781 2.9825682640
    10.00   0.6598083377    0.6595  -0.4883 3.7514  4.6970  5.991   7.338   6.448   6.021   5.874   5.821   0.4787  0.0000  0.0 1   -12.586 2.9986362457
    10.00   0.6823211312    0.6819  -0.3975 3.7622  4.6641  5.764   7.031   6.189   5.800   5.671   5.630   0.4787  0.0000  0.0 1   -12.414 3.0123608112
    10.00   0.6999999881    0.6995  -0.3248 3.7707  4.6364  5.582   6.789   5.982   5.624   5.508   5.477   0.4787  0.0000  0.0 1   -12.283 3.0225379467
    10.00   0.7106440663    0.7101  -0.2794 3.7760  4.6187  5.468   6.640   5.853   5.514   5.406   5.381   0.4787  0.0000  0.0 1   -12.209 3.0284285545
    10.00   0.7288235426    0.7282  -0.1994 3.7850  4.5855  5.268   6.405   5.631   5.320   5.226   5.211   0.4787  0.0000  0.0 1   -12.081 3.0381033421
    10.00   0.7460225821    0.7453  -0.1209 3.7934  4.5508  5.072   6.176   5.414   5.130   5.048   5.043   0.4787  0.0000  0.0 1   -11.958 3.0468351841
    10.00   0.7630121708    0.7621  -0.0393 3.8015  4.5114  4.868   5.945   5.189   4.931   4.862   4.866   0.4787  0.0000  0.0 1   -11.840 3.0550856590
    10.00   0.7817768455    0.7807  0.0583  3.8105  4.4602  4.624   5.689   4.922   4.691   4.636   4.651   0.4787  0.0000  0.0 1   -11.721 3.0637938976
    10.00   0.7932869196    0.7921  0.1220  3.8157  4.4237  4.465   5.524   4.749   4.533   4.487   4.508   0.4787  0.0000  0.0 1   -11.656 3.0689377785
