# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3118 3.5848  5.2110  10.549  14.960  12.358  10.977  10.444  10.136  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0111 3.6074  5.1259  9.798   13.520  11.302  10.107  9.651   9.390   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8105 3.6193  5.0696  9.296   12.814  10.680  9.563   9.140   8.900   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6631 3.6280  5.0362  8.928   12.295  10.224  9.164   8.765   8.539   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5383 3.6355  5.0085  8.616   11.855  9.838   8.825   8.447   8.235   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4112 3.6427  4.9681  8.298   11.412  9.449   8.483   8.125   7.926   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2726 3.6519  4.9175  7.952   10.902  9.013   8.106   7.774   7.591   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1234 3.6640  4.8623  7.578   10.308  8.532   7.698   7.396   7.232   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9500 3.6828  4.8056  7.145   9.539   7.947   7.215   6.955   6.821   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7630 3.7072  4.7539  6.677   8.667   7.322   6.702   6.488   6.388   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6189685464    0.6187  -0.6894 3.7172  4.7339  6.493   8.334   7.085   6.508   6.311   6.224   0.4787  0.0000  0.0 1   -12.914 2.9712815285
    10.00   0.6477032304    0.6474  -0.5785 3.7322  4.7024  6.216   7.857   6.738   6.222   6.049   5.980   0.4787  0.0000  0.0 1   -12.681 2.9908745289
