# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.7630 3.4417  5.0899  11.677  21.867  16.065  14.072  12.212  11.308  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.5619 3.4420  5.0149  11.175  21.238  15.530  13.548  11.709  10.810  0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -2.2126 3.5004  4.9961  10.301  18.107  13.397  11.505  10.448  9.915   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.9467 3.5431  4.9803  9.637   15.772  12.045  10.380  9.657   9.255   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.7089 3.5763  4.9420  9.042   13.799  10.964  9.511   8.951   8.625   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.5081 3.6061  4.9185  8.540   12.197  10.008  8.846   8.393   8.128   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3077 3.6361  4.8892  8.039   11.097  9.207   8.244   7.864   7.649   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1091 3.6653  4.8532  7.543   10.054  8.463   7.659   7.347   7.180   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9151 3.6935  4.8136  7.058   9.084   7.785   7.118   6.865   6.739   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.6000000238    0.5998  -0.7110 3.7277  4.7838  6.547   8.108   7.100   6.582   6.393   6.311   0.4787  0.0000  0.0 1   -13.074 2.9573988914
    10.00   0.6050353050    0.6048  -0.6911 3.7301  4.7770  6.498   8.034   7.041   6.533   6.348   6.269   0.4787  0.0000  0.0 1   -13.031 2.9611616135
