# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3436 3.5746  5.2022  10.629  15.366  12.589  11.129  10.547  10.209  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0434 3.5979  5.1201  9.878   13.832  11.501  10.229  9.742   9.461   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8477 3.6095  5.0677  9.389   13.123  10.890  9.693   9.242   8.983   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6963 3.6186  5.0316  9.011   12.601  10.422  9.283   8.857   8.614   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5707 3.6261  5.0030  8.697   12.166  10.035  8.942   8.537   8.309   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4312 3.6330  4.9493  8.348   11.700  9.616   8.570   8.186   7.971   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3028 3.6419  4.9075  8.027   11.228  9.206   8.218   7.861   7.662   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1542 3.6536  4.8515  7.655   10.650  8.719   7.808   7.484   7.305   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9851 3.6707  4.7921  7.233   9.916   8.138   7.331   7.051   6.901   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5746831298    0.5747  -0.8922 3.6823  4.7649  7.000   9.477   7.813   7.068   6.812   6.680   0.4787  0.0000  0.0 1   -13.293 2.9375691414
    10.00   0.6000000238    0.5998  -0.8034 3.6933  4.7388  6.779   9.064   7.511   6.821   6.586   6.470   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6282290220    0.6280  -0.6945 3.7088  4.7116  6.506   8.544   7.142   6.521   6.315   6.220   0.4787  0.0000  0.0 1   -12.837 2.9777801037
    10.00   0.6558967233    0.6556  -0.5884 3.7238  4.6842  6.241   8.053   6.796   6.237   6.056   5.980   0.4787  0.0000  0.0 1   -12.616 2.9961585999
    10.00   0.6806604862    0.6803  -0.4931 3.7372  4.6585  6.003   7.645   6.499   5.994   5.834   5.774   0.4787  0.0000  0.0 1   -12.426 3.0113785267
    10.00   0.6999999881    0.6996  -0.4180 3.7475  4.6369  5.815   7.330   6.268   5.803   5.659   5.611   0.4787  0.0000  0.0 1   -12.282 3.0225379467
    10.00   0.7137886286    0.7133  -0.3628 3.7545  4.6182  5.677   7.120   6.104   5.667   5.533   5.493   0.4787  0.0000  0.0 1   -12.187 3.0301363468
    10.00   0.7330135107    0.7325  -0.2848 3.7635  4.5876  5.482   6.844   5.879   5.475   5.356   5.325   0.4787  0.0000  0.0 1   -12.050 3.0402672291
    10.00   0.7508522868    0.7502  -0.2106 3.7719  4.5575  5.296   6.583   5.665   5.294   5.186   5.165   0.4787  0.0000  0.0 1   -11.923 3.0492174625
    10.00   0.7676770091    0.7669  -0.1385 3.7796  4.5257  5.116   6.352   5.462   5.118   5.023   5.010   0.4787  0.0000  0.0 1   -11.808 3.0572891235
    10.00   0.7841518521    0.7833  -0.0652 3.7868  4.4902  4.933   6.133   5.259   4.940   4.855   4.851   0.4787  0.0000  0.0 1   -11.705 3.0648674965
    10.00   0.8000000119    0.7990  0.0092  3.7933  4.4506  4.747   5.915   5.054   4.758   4.683   4.686   0.4787  0.0000  0.0 1   -11.621 3.0718705654
    10.00   0.8131387234    0.8120  0.0749  3.7985  4.4127  4.583   5.727   4.875   4.597   4.530   4.539   0.4787  0.0000  0.0 1   -11.565 3.0774672031
    10.00   0.8240303993    0.8228  0.1320  3.8023  4.3764  4.440   5.574   4.721   4.456   4.395   4.408   0.4787  0.0000  0.0 1   -11.532 3.0819680691
    10.00   0.8355388641    0.8341  0.1972  3.8063  4.3331  4.277   5.404   4.546   4.295   4.241   4.258   0.4787  0.0000  0.0 1   -11.512 3.0865931511
    10.00   0.8460446596    0.8444  0.2603  3.8096  4.2887  4.119   5.242   4.378   4.138   4.090   4.111   0.4787  0.0000  0.0 1   -11.508 3.0907025337
    10.00   0.8492465615    0.8476  0.2803  3.8105  4.2737  4.069   5.191   4.325   4.088   4.042   4.064   0.4787  0.0000  0.0 1   -11.510 3.0919344425
    10.00   0.8500404954    0.8484  0.2853  3.8106  4.2697  4.057   5.178   4.312   4.076   4.029   4.052   0.4787  0.0000  0.0 1   -11.510 3.0922384262
    10.00   0.8545074463    0.8527  0.3140  3.8114  4.2466  3.985   5.107   4.237   4.004   3.959   3.983   0.4787  0.0000  0.0 1   -11.516 3.0939376354
    10.00   0.8583987355    0.8566  0.3400  3.8119  4.2245  3.920   5.042   4.170   3.939   3.895   3.919   0.4787  0.0000  0.0 1   -11.523 3.0954034328
    10.00   0.8724051118    0.8702  0.4475  3.8108  4.1194  3.651   4.786   3.899   3.668   3.623   3.646   0.4787  0.0000  0.1 1   -11.565 3.1005678177
    10.00   0.8793594241    0.8769  0.5133  3.8051  4.0341  3.487   4.641   3.746   3.499   3.446   3.462   0.4787  0.0000  0.1 1   -11.596 3.1030695438
    10.00   0.8841959238    0.8816  0.5671  3.7964  3.9477  3.352   4.541   3.632   3.359   3.293   3.300   0.4787  0.0000  0.1 1   -11.622 3.1047854424
    10.00   0.8872970939    0.8845  0.6059  3.7854  3.8665  3.255   4.498   3.565   3.257   3.174   3.169   0.4787  0.0000  0.1 1   -11.639 3.1058757305
