# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3547 3.5709  5.1985  10.657  15.524  12.671  11.193  10.588  10.239  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0510 3.5955  5.1181  9.898   13.939  11.559  10.265  9.767   9.478   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8548 3.6073  5.0660  9.407   13.192  10.935  9.720   9.261   8.997   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.7026 3.6166  5.0301  9.027   12.669  10.465  9.306   8.874   8.628   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5768 3.6241  5.0012  8.712   12.239  10.078  8.965   8.555   8.323   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4386 3.6306  4.9473  8.367   11.785  9.667   8.598   8.208   7.988   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.3119 3.6392  4.9057  8.050   11.324  9.264   8.252   7.888   7.683   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1656 3.6503  4.8498  7.684   10.765  8.784   7.847   7.517   7.333   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9998 3.6663  4.7891  7.269   10.060  8.220   7.382   7.092   6.936   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5763459206    0.5763  -0.9029 3.6778  4.7590  7.027   9.609   7.875   7.104   6.842   6.704   0.4787  0.0000  0.0 1   -13.279 2.9389202595
    10.00   0.6000000238    0.5998  -0.8222 3.6873  4.7335  6.825   9.242   7.603   6.880   6.636   6.512   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6013923287    0.6012  -0.8169 3.6881  4.7322  6.812   9.216   7.584   6.865   6.622   6.499   0.4787  0.0000  0.0 1   -13.061 2.9584450722
    10.00   0.6334443688    0.6332  -0.6949 3.7053  4.7017  6.507   8.623   7.162   6.524   6.313   6.214   0.4787  0.0000  0.0 1   -12.795 2.9813630581
    10.00   0.6614204049    0.6611  -0.5891 3.7203  4.6746  6.243   8.132   6.815   6.239   6.054   5.975   0.4787  0.0000  0.0 1   -12.573 2.9996492863
    10.00   0.6864628792    0.6861  -0.4941 3.7337  4.6493  6.005   7.714   6.515   5.993   5.828   5.766   0.4787  0.0000  0.0 1   -12.382 3.0147907734
    10.00   0.6999999881    0.6996  -0.4426 3.7409  4.6349  5.877   7.495   6.355   5.861   5.708   5.654   0.4787  0.0000  0.0 1   -12.282 3.0225379467
    10.00   0.7193849683    0.7189  -0.3660 3.7507  4.6097  5.685   7.182   6.122   5.667   5.530   5.486   0.4787  0.0000  0.0 1   -12.147 3.0331394672
    10.00   0.7386009693    0.7380  -0.2891 3.7598  4.5805  5.493   6.905   5.899   5.478   5.354   5.321   0.4787  0.0000  0.0 1   -12.010 3.0431156158
    10.00   0.7564278245    0.7558  -0.2162 3.7682  4.5513  5.310   6.646   5.688   5.299   5.188   5.164   0.4787  0.0000  0.0 1   -11.884 3.0519309044
    10.00   0.7732381225    0.7725  -0.1455 3.7757  4.5204  5.134   6.404   5.486   5.126   5.025   5.010   0.4787  0.0000  0.0 1   -11.772 3.0598821640
    10.00   0.7896959782    0.7888  -0.0739 3.7828  4.4860  4.955   6.187   5.287   4.952   4.862   4.854   0.4787  0.0000  0.0 1   -11.674 3.0673487186
    10.00   0.8000000119    0.7991  -0.0279 3.7870  4.4625  4.840   6.051   5.160   4.839   4.756   4.753   0.4787  0.0000  0.0 1   -11.620 3.0718705654
    10.00   0.8184722066    0.8173  0.0622  3.7941  4.4108  4.615   5.791   4.914   4.618   4.546   4.551   0.4787  0.0000  0.0 1   -11.547 3.0796864033
    10.00   0.8292741776    0.8280  0.1172  3.7978  4.3762  4.477   5.636   4.764   4.483   4.416   4.426   0.4787  0.0000  0.0 1   -11.521 3.0840916634
    10.00   0.8406855464    0.8393  0.1796  3.8017  4.3350  4.321   5.467   4.597   4.329   4.268   4.282   0.4787  0.0000  0.0 1   -11.508 3.0886194706
    10.00   0.8511006832    0.8495  0.2396  3.8049  4.2931  4.171   5.312   4.437   4.180   4.125   4.142   0.4787  0.0000  0.0 1   -11.512 3.0926432610
    10.00   0.8542745709    0.8527  0.2584  3.8057  4.2790  4.124   5.264   4.387   4.133   4.080   4.098   0.4787  0.0000  0.0 1   -11.516 3.0938496590
    10.00   0.8550615907    0.8534  0.2631  3.8058  4.2753  4.112   5.252   4.375   4.122   4.068   4.087   0.4787  0.0000  0.0 1   -11.517 3.0941472054
    10.00   0.8598859310    0.8582  0.2922  3.8067  4.2521  4.040   5.179   4.299   4.049   3.997   4.017   0.4787  0.0000  0.0 1   -11.526 3.0959599018
    10.00   0.8640998006    0.8623  0.3187  3.8072  4.2300  3.973   5.114   4.230   3.983   3.932   3.952   0.4787  0.0000  0.0 1   -11.537 3.0975260735
    10.00   0.8793488145    0.8772  0.4284  3.8063  4.1241  3.699   4.850   3.954   3.706   3.655   3.674   0.4787  0.0000  0.1 1   -11.598 3.1030657291
    10.00   0.8866046667    0.8842  0.4923  3.8010  4.0421  3.539   4.710   3.805   3.543   3.484   3.497   0.4787  0.0000  0.1 1   -11.637 3.1056330204
    10.00   0.8916619420    0.8891  0.5434  3.7928  3.9608  3.411   4.624   3.699   3.410   3.339   3.343   0.4787  0.0000  0.1 1   -11.669 3.1073970795
    10.00   0.8949094415    0.8922  0.5796  3.7830  3.8870  3.321   4.584   3.635   3.315   3.229   3.222   0.4787  0.0000  0.1 1   -11.690 3.1085190773
    10.00   0.8972257376    0.8944  0.6004  3.7698  3.8142  3.269   4.613   3.625   3.259   3.153   3.131   0.4787  0.0000  0.1 1   -11.706 3.1093142033
    10.00   0.8991917968    0.8962  0.6158  3.7559  3.7441  3.231   4.685   3.637   3.219   3.092   3.053   0.4787  0.0000  0.1 1   -11.720 3.1099858284
    10.00   0.8999999762    0.8970  0.6255  3.7498  3.7104  3.206   4.709   3.635   3.195   3.058   3.012   0.4787  0.0000  0.1 1   -11.726 3.1102609634
    10.00   0.9006015658    0.8975  0.6323  3.7456  3.6870  3.189   4.740   3.637   3.180   3.036   2.986   0.4787  0.0000  0.1 1   -11.730 3.1104655266
    10.00   0.9019910097    0.8988  0.6679  3.7372  3.6186  3.100   4.744   3.584   3.095   2.938   2.877   0.4787  0.0000  0.1 1   -11.741 3.1109368801
    10.00   0.9029037952    0.8996  0.6993  3.7324  3.5684  3.022   4.720   3.528   3.020   2.855   2.788   0.4787  0.0000  0.1 1   -11.747 3.1112458706
    10.00   0.9042255282    0.9008  0.7537  3.7269  3.4925  2.886   4.644   3.416   2.887   2.713   2.640   0.4787  0.0000  0.2 1   -11.757 3.1116919518
    10.00   0.9052897096    0.9018  0.8099  3.7232  3.4221  2.745   4.551   3.293   2.749   2.569   2.492   0.4787  0.0000  0.2 1   -11.765 3.1120500565
    10.00   0.9062300920    0.9026  0.8690  3.7205  3.3527  2.598   4.443   3.160   2.605   2.421   2.340   0.4787  0.0000  0.2 1   -11.772 3.1123659611
    10.00   0.9071197510    0.9033  0.9319  3.7184  3.2814  2.440   4.318   3.014   2.451   2.263   2.179   0.4787  0.0000  0.2 1   -11.778 3.1126639843
    10.00   0.9078703523    0.9039  0.9940  3.7165  3.2123  2.285   4.190   2.868   2.298   2.107   2.021   0.4787  0.0000  0.3 1   -11.783 3.1129150391
    10.00   0.9085693359    0.9044  1.0566  3.7148  3.1429  2.128   4.060   2.721   2.144   1.950   1.861   0.4787  0.0000  0.3 1   -11.788 3.1131484509
    10.00   0.9091679454    0.9048  1.1178  3.7130  3.0749  1.975   3.932   2.577   1.993   1.797   1.705   0.4787  0.0000  0.3 1   -11.791 3.1133480072
    10.00   0.9097254872    0.9052  1.1805  3.7111  3.0046  1.819   3.805   2.431   1.840   1.639   1.545   0.4787  0.0000  0.4 1   -11.794 3.1135337353
    10.00   0.9102383256    0.9054  1.2449  3.7091  2.9322  1.658   3.676   2.281   1.681   1.477   1.380   0.4787  0.0000  0.4 1   -11.796 3.1137044430
    10.00   0.9106919169    0.9056  1.3097  3.7071  2.8595  1.496   3.547   2.131   1.521   1.314   1.215   0.4787  0.0000  0.5 1   -11.798 3.1138551235
    10.00   0.9110834002    0.9057  1.3737  3.7050  2.7874  1.336   3.419   1.982   1.364   1.153   1.051   0.4787  0.0000  0.5 1   -11.799 3.1139850616
    10.00   0.9114416242    0.9056  1.4392  3.7026  2.7120  1.172   3.295   1.833   1.203   0.988   0.882   0.4787  0.0000  0.6 1   -11.799 3.1141037941
    10.00   0.9117729664    0.9056  1.5068  3.7003  2.6352  1.003   3.162   1.677   1.037   0.818   0.709   0.4787  0.0000  0.7 1   -11.799 3.1142137051
    10.00   0.9120664597    0.9054  1.5742  3.6977  2.5576  0.834   3.040   1.526   0.874   0.650   0.538   0.4787  0.0000  0.8 1   -11.797 3.1143109798
    10.00   0.9123290181    0.9051  1.6418  3.6948  2.4781  0.666   2.928   1.378   0.712   0.483   0.366   0.4787  0.0000  0.9 1   -11.795 3.1143977642
    10.00   0.9125625491    0.9047  1.7078  3.6923  2.4017  0.501   2.815   1.231   0.553   0.319   0.198   0.4787  0.0000  1.0 1   -11.793 3.1144750118
    10.00   0.9128380418    0.9040  1.7785  3.6894  2.3193  0.324   2.697   1.075   0.383   0.143   0.018   0.4787  0.0000  1.2 1   -11.787 3.1145660877
    10.00   0.9129180908    0.9038  1.7897  3.6890  2.3065  0.296   2.676   1.050   0.355   0.115   -0.010  0.4787  0.0000  1.2 1   -11.786 3.1145925522
    10.00   0.9130914211    0.9033  1.7375  3.6920  2.3704  0.426   2.748   1.159   0.479   0.244   0.123   0.4787  0.0000  1.1 1   -11.781 3.1146497726
    10.00   0.9132226110    0.9030  1.7946  3.6895  2.3029  0.283   2.657   1.034   0.342   0.102   -0.023  0.4787  0.0000  1.2 1   -11.779 3.1146931648
    10.00   0.9133844376    0.9023  1.8625  3.6862  2.2218  0.114   2.553   0.888   0.180   -0.066  -0.196  0.4787  0.0000  1.4 1   -11.774 3.1147465706
    10.00   0.9135236740    0.9016  1.9238  3.6835  2.1492  -0.039  2.456   0.756   0.033   -0.218  -0.352  0.4787  0.0000  1.6 1   -11.769 3.1147925854
    10.00   0.9136613607    0.9007  1.9914  3.6801  2.0675  -0.208  2.357   0.613   -0.128  -0.386  -0.525  0.4787  0.0000  1.8 1   -11.763 3.1148378849
    10.00   0.9137787819    0.8996  2.0563  3.6769  1.9893  -0.371  2.262   0.475   -0.283  -0.547  -0.690  0.4787  0.0000  2.1 1   -11.756 3.1148767471
    10.00   0.9138802290    0.8985  2.1201  3.6738  1.9126  -0.530  2.174   0.341   -0.434  -0.704  -0.852  0.4787  0.0000  2.4 1   -11.748 3.1149101257
    10.00   0.9139644504    0.8972  2.1802  3.6704  1.8385  -0.680  2.103   0.222   -0.572  -0.850  -1.003  0.4787  0.0000  2.7 1   -11.741 3.1149380207
