# File generated by CMD 2.3 (http://stev.oapd.inaf.it/cmd) on Thu Jul 26 19:13:28 CEST 2012
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# but applying the corrections from Case A in Girardi et al. (2010, ApJ 724, 1030) 
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00019		Age = 	1.000e+09 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	9.00	1.3305038214	1.3297	0.9080	3.9789	4.5152	2.500	2.724	2.753	2.713	2.707	2.701	2.702	2.701	2.701	0.4787	0.0000	0.0	1	-14.474	3.2074127197
	9.00	1.3741303682	1.3732	0.9869	3.9936	4.5093	2.303	2.537	2.596	2.578	2.582	2.587	2.608	2.614	2.618	0.4787	0.0000	0.0	1	-14.526	3.2135977745
	9.00	1.3999999762	1.3990	1.0341	4.0023	4.5047	2.185	2.425	2.504	2.498	2.508	2.519	2.550	2.560	2.566	0.4787	0.0000	0.0	1	-14.553	3.2170591354
	9.00	1.4093145132	1.4083	1.0504	4.0052	4.5031	2.144	2.388	2.474	2.472	2.483	2.496	2.530	2.542	2.548	0.4787	0.0000	0.0	1	-14.561	3.2182703018
	9.00	1.4474494457	1.4463	1.1186	4.0170	4.4937	1.973	2.230	2.347	2.361	2.376	2.397	2.444	2.459	2.469	0.4787	0.0000	0.0	1	-14.595	3.2230446339
	9.00	1.4793127775	1.4781	1.1759	4.0263	4.4828	1.830	2.097	2.239	2.264	2.284	2.309	2.366	2.385	2.397	0.4787	0.0000	0.0	1	-14.620	3.2268199921
	9.00	1.5000000000	1.4987	1.2129	4.0316	4.4730	1.738	2.012	2.170	2.200	2.222	2.249	2.312	2.332	2.345	0.4787	0.0000	0.0	1	-14.636	3.2291738987
	9.00	1.5038473606	1.5025	1.2201	4.0325	4.4709	1.720	1.995	2.156	2.187	2.209	2.237	2.301	2.321	2.335	0.4787	0.0000	0.0	1	-14.639	3.2296037674
	9.00	1.5072921515	1.5059	1.2264	4.0333	4.4686	1.704	1.980	2.143	2.176	2.198	2.226	2.290	2.311	2.325	0.4787	0.0000	0.0	1	-14.641	3.2299861908
	9.00	1.5395963192	1.5381	1.2847	4.0390	4.4422	1.558	1.841	2.022	2.060	2.085	2.116	2.185	2.208	2.223	0.4787	0.0000	0.0	1	-14.663	3.2334799767
	9.00	1.5716363192	1.5700	1.3416	4.0420	4.4064	1.416	1.701	1.892	1.935	1.961	1.993	2.065	2.089	2.104	0.4787	0.0000	0.0	1	-14.684	3.2367842197
	9.00	1.6000000238	1.5982	1.3907	4.0424	4.3664	1.293	1.576	1.770	1.815	1.840	1.872	1.945	1.969	1.984	0.4787	0.0000	0.0	1	-14.702	3.2395837307
	9.00	1.6059376001	1.6042	1.4010	4.0423	4.3574	1.267	1.550	1.743	1.788	1.814	1.846	1.918	1.942	1.958	0.4787	0.0000	0.0	1	-14.705	3.2401549816
	9.00	1.6323142052	1.6308	1.4474	4.0397	4.3077	1.151	1.426	1.614	1.659	1.684	1.714	1.784	1.807	1.822	0.4787	0.0000	0.0	1	-14.721	3.2426331043
	9.00	1.6555355787	1.6543	1.4885	4.0350	4.2540	1.049	1.312	1.489	1.532	1.555	1.583	1.648	1.669	1.684	0.4787	0.0000	0.0	1	-14.735	3.2447373867
	9.00	1.6758272648	1.6749	1.5256	4.0293	4.1995	0.956	1.207	1.368	1.409	1.430	1.456	1.515	1.534	1.548	0.4787	0.0000	0.1	1	-14.747	3.2465193272
	9.00	1.6849828959	1.6842	1.5433	4.0266	4.1734	0.912	1.157	1.311	1.351	1.371	1.396	1.452	1.470	1.483	0.4787	0.0000	0.1	1	-14.752	3.2473065853
	9.00	1.6935386658	1.6929	1.5613	4.0250	4.1512	0.867	1.108	1.258	1.298	1.318	1.341	1.396	1.414	1.426	0.4787	0.0000	0.1	1	-14.757	3.2480332851
	9.00	1.6964094639	1.6958	1.5678	4.0250	4.1456	0.850	1.091	1.242	1.282	1.301	1.325	1.380	1.398	1.410	0.4787	0.0000	0.1	1	-14.758	3.2482750416
	9.00	1.7027543783	1.7022	1.5863	4.0289	4.1443	0.804	1.051	1.213	1.256	1.277	1.303	1.361	1.380	1.394	0.4787	0.0000	0.1	1	-14.762	3.2488059998
	9.00	1.7056075335	1.7051	1.6000	4.0357	4.1585	0.770	1.028	1.210	1.258	1.281	1.310	1.375	1.396	1.411	0.4787	0.0000	0.1	1	-14.764	3.2490434647
	9.00	1.7075787783	1.7072	1.6222	4.0496	4.1924	0.714	0.996	1.218	1.276	1.304	1.339	1.418	1.443	1.461	0.4787	0.0000	0.1	1	-14.765	3.2492067814
	9.00	1.7081584930	1.7078	1.6437	4.0609	4.2162	0.661	0.967	1.219	1.285	1.316	1.355	1.445	1.473	1.494	0.4787	0.0000	0.1	1	-14.765	3.2492547035
	9.00	1.7084894180	1.7081	1.6710	4.0714	4.2313	0.593	0.921	1.202	1.275	1.309	1.352	1.452	1.483	1.506	0.4787	0.0000	0.0	1	-14.765	3.2492821217
	9.00	1.7085617781	1.7082	1.6664	4.0694	4.2278	0.604	0.928	1.204	1.275	1.308	1.351	1.449	1.480	1.502	0.4787	0.0000	0.0	1	-14.765	3.2492880821
	9.00	1.7088001966	1.7084	1.6642	4.0527	4.1630	0.609	0.895	1.127	1.189	1.217	1.253	1.335	1.361	1.380	0.4787	0.0000	0.1	1	-14.765	3.2493076324
	9.00	1.7093507051	1.7090	1.6948	4.0344	4.0593	0.533	0.782	0.964	1.015	1.038	1.065	1.129	1.150	1.165	0.4787	0.0000	0.1	1	-14.766	3.2493531704
	9.00	1.7104016542	1.7100	1.7114	4.0147	3.9643	0.492	0.707	0.835	0.873	0.888	0.907	0.949	0.964	0.974	0.4787	0.0000	0.1	1	-14.766	3.2494399548
	9.00	1.7117141485	1.7114	1.7218	3.9945	3.8734	0.466	0.655	0.728	0.749	0.755	0.763	0.782	0.789	0.794	0.4787	0.0000	0.1	1	-14.767	3.2495479584
