#recno|Group|HIP|[Fe/H]|Teff|logg|HRV|ULSR|VLSR|WLSR|Rm|e|Zmax|tau9|E_tau9|e_tau9|Pr|e_Pr|[FeI/H]|[C/H]|[O/H]|[Na/H]|[Mg/H]|[Al/H]|[Si/H]|[Ca/H]|[Sc/H]|[Ti/H]|[V/H]|[Cr/H]|[Mn/H]|[Co/H]|[Ni/H]|[Cu/H]|[Zn/H]|[Y/H]|[Ba/H]|[Ce/H]|[Nd/H]|[Eu/H]|_RA|_DE
# | | |Sun|K|[cm/s2]|km/s|km/s|km/s|km/s|kpc| |kpc|Gyr|Gyr|Gyr|%|%|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|deg|deg
#--------|----------------|------|-----|----|-----|------|------|----|----|------|-----|------|-----|----|----|--|--|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-------|-------|-------|---------|---------
      63|Thick disc      | 84781|-0.29|5259| 3.86| -93.9| -91.0| -60|  49|  7.17| 0.35|  0.54|12.10| 2.8| 2.3|85| 7|-0.29| 0.22| 0.48| 0.01| 0.25| 0.23| 0.15| 0.11| 0.19| 0.18| 0.12|     |-0.23| 0.09| 0.03| 0.13| 0.14| 0.10|-0.01|   0.22|   0.18|   0.45|259.94332|+06.55374
      64|Thick disc      | 84803|-0.52|5524| 3.87| -90.5| -47.0| -79| -51|  6.36| 0.39|  0.49| 8.40| 3.9| 2.6|91|13|-0.52| 0.35| 0.66| 0.19| 0.31| 0.38| 0.23| 0.24| 0.05| 0.14|-0.02| 0.02|-0.19| 0.11| 0.05| 0.04| 0.03|-0.08|-0.32|   0.09|   0.14|   0.25|260.00057|-08.02315
      65|Thick disc      | 84862|-0.41|5605| 4.49| -79.3|  35.0| -76| -57|  6.40| 0.35|  0.55|     |    |    |93| 1|-0.41| 0.40| 0.61| 0.07| 0.35| 0.28| 0.22| 0.16| 0.23| 0.18| 0.06|-0.03|-0.24| 0.12| 0.04| 0.02| 0.26| 0.10|-0.12|   0.06|   0.32|   0.45|260.16486|+32.46774
      66|Thick disc      | 85373|-0.82|5351| 4.66| -74.1| -57.0|-103|  75|  5.99| 0.49|  0.87|     |    |    |95| 2|-0.82|     | 0.42| 0.01| 0.18| 0.26| 0.34| 0.05| 0.30| 0.15| 0.19| 0.04|-0.30| 0.23| 0.08|-0.20| 0.10| 0.05|-0.31|       |   0.63|   0.71|261.67254|+31.05944
      67|Thick disc      | 85378|-0.51|5709| 4.22| -72.7| -55.0|-100|  73|  6.00| 0.48|  0.82|     |    |    |96| 0|-0.51| 0.27| 0.57| 0.12| 0.34| 0.35| 0.21| 0.23| 0.12| 0.23|-0.01|-0.04|-0.24| 0.09| 0.04|-0.02| 0.09|-0.01|-0.15|   0.08|   0.22|   0.36|261.67998|+31.07719
      68|Thick disc      | 85757|-0.70|5414| 3.81|   3.5|  24.0| -75|  71|  6.40| 0.34|  0.78| 9.90| 4.2| 2.9|98| 0|-0.70| 0.40| 0.72| 0.14| 0.36| 0.37| 0.29| 0.23| 0.08| 0.23| 0.11|-0.03|-0.29| 0.10| 0.03|-0.02| 0.10| 0.03|-0.17|  -0.10|   0.14|   0.09|262.85585|-02.53881
      69|Thick disc      | 86013|-0.70|5630| 4.58|-138.0|-156.0| -57|  87|  8.36| 0.51|  1.35|     |    |    |88| 6|-0.70| 0.49| 0.72| 0.07| 0.31| 0.16| 0.21| 0.14| 0.18| 0.14| 0.07|-0.11|-0.32| 0.08|-0.03|-0.13| 0.11| 0.02|-0.13|  -0.02|   0.30|   0.35|263.67942|+06.01432
      70|Thick disc      | 86830|-0.59|5305| 3.74| -82.6| 165.0|-100|  52|  7.33| 0.63|  0.60|11.50| 3.8| 2.9|88| 5|-0.59| 0.43| 0.69| 0.17| 0.35| 0.35| 0.30| 0.23| 0.07| 0.21| 0.14| 0.01|-0.22| 0.14| 0.05|     | 0.04|-0.09|-0.27|  -0.07|   0.10|   0.25|266.13697|+67.29512
      71|Thick disc      | 87089|-0.30|5142| 4.63| -96.3| -47.0|-120|  47|  5.58| 0.56|  0.44|     |    |    |96| 1|-0.30| 0.37| 0.47|-0.12|     | 0.06| 0.14| 0.10| 0.16| 0.26| 0.24|-0.03|-0.05| 0.12| 0.06| 0.06| 0.04| 0.05|-0.10|   0.32|   0.28|   0.46|266.92538|+04.93965
      72|Thick disc      | 87533|-0.21|5727| 3.97|-115.9| -68.0|-106| -33|  5.93| 0.52|  0.28| 5.80| 2.0| 1.5|93| 8|-0.21| 0.12| 0.22| 0.08| 0.15| 0.16| 0.04| 0.08|-0.06|     | 0.04|-0.01|-0.12|-0.04|-0.02|-0.04|-0.01|-0.13|-0.14|  -0.08|  -0.06|  -0.06|268.24436|-07.91952
      73|Thick disc      | 88039|-0.81|5680| 4.01| -18.5|   4.0|-108|  83|  5.73| 0.49|  0.99|12.20| 3.1| 2.5|94| 1|-0.81| 0.41| 0.66| 0.15| 0.43| 0.34| 0.30| 0.18| 0.12| 0.15| 0.20|-0.09|-0.35| 0.07| 0.04|-0.07| 0.22| 0.01|-0.14|   0.04|   0.09|   0.26|269.73248|-22.38433
      74|Thick disc      | 88166|-0.76|5305| 4.67| -12.7|  51.0| -97|  75|  6.06| 0.46|  0.85|     |    |    |96| 0|-0.76|     | 0.73| 0.13| 0.34| 0.28| 0.28| 0.14| 0.15| 0.21| 0.12|-0.01|-0.27| 0.11| 0.03|-0.05| 0.14| 0.09|-0.21|   0.26|   0.17|   0.52|270.10085|+14.71529
      75|Thick disc      | 90393|-0.72|5541| 3.97| -85.0| -56.0|-110|  91|  5.86| 0.52|  1.18|13.50| 2.3| 1.9|90| 3|-0.72|     | 0.11| 0.04| 0.26| 0.17| 0.07| 0.11| 0.30| 0.33| 0.34| 0.05|-0.15| 0.14| 0.05|-0.06| 0.04| 0.09|-0.24|   0.23|   0.61|       |276.65719|+46.08378
      76|Thick disc      | 94129|-0.27|5630| 4.35| -45.3|   5.0|-122|  41|  5.43| 0.56|  0.36|     |    |    |96| 0|-0.27| 0.23| 0.45| 0.04| 0.25| 0.24| 0.15| 0.03| 0.10| 0.14| 0.11|-0.01|-0.17| 0.10| 0.01| 0.03| 0.13|     | 0.06|  -0.04|   0.08|   0.30|287.41349|-21.46967
      77|Thick disc      | 96185|-0.56|    |     |      |      |    |    |      |     |      |     |    |    |  |  |-0.56| 0.30| 0.68| 0.15| 0.22| 0.31| 0.22| 0.19| 0.07| 0.16| 0.09|-0.09|-0.32| 0.10|     |-0.03| 0.04| 0.01|-0.34|  -0.06|   0.17|   0.20|293.36284|+33.20186
      78|Thick disc      | 96902|-0.29|5697| 4.05|-104.7|  -3.0|-109| -54|  5.67| 0.50|  0.52| 6.90| 2.4| 1.8|96| 2|-0.29| 0.20| 0.34| 0.12| 0.25| 0.25| 0.14| 0.14| 0.06| 0.17| 0.14|-0.02|-0.17| 0.09| 0.03| 0.09| 0.08|-0.15|-0.22|  -0.06|  -0.02|   0.14|295.46827|+23.37799
      79|Thick disc      | 97846|-0.18|5259| 3.81| -73.1| -82.0| -49|  55|  7.33| 0.33|  0.58|11.30| 3.2| 2.5|85| 4|-0.18| 0.38| 0.45| 0.04|     | 0.23| 0.14| 0.10| 0.11| 0.10| 0.07| 0.01| 0.02| 0.08| 0.04| 0.08| 0.19|-0.08|-0.02|   0.03|   0.19|   0.12|298.25642|+38.77338
      80|Thick disc      | 98020|-1.61|5170| 4.73|-192.2|-142.0|-108|  69|  6.77| 0.62|  0.87|     |    |    |84| 0|-1.61|     | 1.10| 0.25| 0.31|     | 0.44| 0.20| 0.22| 0.03| 0.39|-0.16|-0.48| 0.16|     |-0.66| 0.56|-0.01|-0.04|   0.65|   0.57|       |298.79033|+10.74094
      81|Thick disc      | 98532|-1.13|5518| 3.71| -14.0|  84.0|-123|  50|  5.78| 0.61|  0.49|11.10| 4.2| 3.1|94| 3|-1.13|     | 0.65| 0.01| 0.34| 0.33| 0.29| 0.25|-0.03| 0.15| 0.10|-0.03|-0.44| 0.03|     |-0.40| 0.07| 0.20| 0.04|   0.05|   0.23|   0.31|300.25102|-12.25565
      82|Thick disc      | 99224|-0.12|5580| 4.20|   0.4|  19.0| -87| -68|  6.11| 0.40|  0.72| 9.90| 3.0| 2.3|97| 1|-0.12| 0.18| 0.40| 0.05| 0.01| 0.16| 0.14|     |     |-0.01|     |-0.04|-0.16| 0.02|-0.02| 0.05| 0.07|-0.04|-0.12|       |   0.14|   0.08|302.14127|-15.72975
      83|Thick disc      |104659|-1.07|5730| 4.34| -45.3| 102.0|-111| -51|  6.16| 0.57|  0.51|13.20| 4.0| 3.1|94| 1|-1.07| 0.47| 0.75| 0.06| 0.35| 0.26| 0.25| 0.18| 0.06| 0.31| 0.11|-0.19|-0.56|-0.06|-0.05|-0.23| 0.11|-0.12|-0.18|       |       |   0.27|317.99597|+17.72775
      84|Thick disc      |106947|-0.35|5305| 4.63|-107.0| -55.0| -68|  76|  6.71| 0.34|  0.89|     |    |    |98| 0|-0.35| 0.43| 0.34|-0.01|     | 0.15| 0.15| 0.09| 0.21| 0.20| 0.20|-0.02|-0.05| 0.12| 0.05| 0.11| 0.13|     | 0.05|   0.28|   0.24|   0.47|324.90191|+23.26552
      85|Thick disc      |107294|-1.14|5929| 4.63| -95.0| 139.0|-101|  62|  6.85| 0.59|  0.72|     |    |    |90| 6|-1.14|     | 0.73| 0.23| 0.25| 0.26| 0.25| 0.22| 0.09| 0.27| 0.24|-0.03|-0.28| 0.25| 0.11|-0.50| 0.04| 0.22| 0.11|       |       |       |325.98801|+27.39000
      86|Thick disc      |108056| 0.14|5928| 4.39| -98.3|   5.0| -67| 118|  6.72| 0.28|  1.73|     |    |    |92| 6| 0.14| 0.20| 0.25|     | 0.09| 0.03| 0.07|-0.08| 0.08|-0.13|-0.01|-0.06|-0.14|-0.03|-0.01| 0.04| 0.04| 0.06| 0.15|  -0.05|       |  -0.12|328.39496|+35.84844
      87|Thick disc      |109384|-0.38|5126| 4.64| -64.8|  -5.0| -55| -59|  6.84| 0.24|  0.59|     |    |    |85| 7|-0.38| 0.50| 0.65| 0.02| 0.30| 0.17| 0.26| 0.10| 0.20| 0.12| 0.24|-0.04|-0.06| 0.16| 0.04| 0.04| 0.19| 0.13|-0.20|   0.29|   0.17|   0.34|332.40582|+71.31433
      88|Thick disc      |110291|-0.93|5729| 4.55|-104.4|  75.0| -87|  37|  6.31| 0.46|  0.33|     |    |    |84| 1|-0.93| 0.52| 0.82| 0.06| 0.36| 0.17| 0.21| 0.11| 0.15| 0.12| 0.11|-0.12|-0.41| 0.04|-0.04|-0.21| 0.09| 0.03|-0.03|       |   0.03|   0.40|335.09937|+46.41825
      89|Thick disc      |111517|-0.45|5471| 3.88| -11.6| -88.0| -95|-107|  6.45| 0.49|  1.59| 9.00| 3.7| 2.6|84|11|-0.45| 0.44| 0.49| 0.17| 0.31| 0.36| 0.23| 0.15| 0.07| 0.18| 0.10| 0.06|-0.13| 0.18| 0.09| 0.16| 0.16|-0.08|-0.22|  -0.11|  -0.02|   0.36|338.90903|+05.37338
      90|Thick disc      |112666|-0.42|5208| 4.62| -97.4| -31.0|-103| -70|  5.80| 0.48|  0.77|     |    |    |96| 1|-0.42| 0.25| 0.44| 0.07|     | 0.21| 0.21| 0.13| 0.14| 0.10| 0.17|-0.03|-0.14| 0.09|-0.01| 0.01| 0.07|-0.09|-0.13|   0.27|   0.16|   0.43|342.25226|+77.95301
      91|Thick disc      |112811|-0.70|5347| 4.64|  -4.0|  38.0| -84| -55|  6.21| 0.40|  0.53|     |    |    |95|11|-0.70|     | 0.65| 0.01| 0.30| 0.24| 0.25| 0.12| 0.15| 0.24| 0.21|-0.10|-0.37| 0.07|-0.02|-0.11|     | 0.07|-0.19|  -0.10|  -0.05|   0.28|342.69142|+01.86516
      92|Thick disc      |113514|-0.63|5720| 4.57|-119.8| -46.0|-128|  33|  5.51| 0.58|  0.24|     |    |    |95| 0|-0.63| 0.42| 0.66| 0.09| 0.29| 0.19| 0.21| 0.16| 0.19| 0.13| 0.03|-0.05|-0.24| 0.04|     | 0.08| 0.16| 0.08|-0.03|   0.07|   0.35|   0.43|344.83107|+12.19234
      93|Thick disc      |116421|-0.51|5617| 4.15|-112.0| -55.0|-108|  69|  5.85| 0.51|  0.76|11.70| 2.6| 2.1|95| 0|-0.51| 0.38| 0.60| 0.13| 0.31| 0.34| 0.26| 0.21| 0.22| 0.23| 0.13|-0.01|-0.24| 0.12| 0.03|     | 0.07| 0.03|-0.13|       |   0.19|   0.23|353.87039|+31.01717
      94|Thick disc      |117029|-0.77|5436| 3.86| -71.7| -61.0| -99|  89|  6.12| 0.47|  1.15|12.40| 2.2| 1.9|93| 0|-0.77| 0.46| 0.77| 0.14| 0.33| 0.38| 0.27| 0.17| 0.11| 0.20| 0.10|-0.02|-0.31| 0.13| 0.04|-0.03| 0.11|-0.04|-0.27|   0.05|   0.18|   0.25|355.86268|+58.08030
      95|Thin disc       |  2909|-0.28|5634| 4.15|  24.9|  38.0| -60| -21|  6.75| 0.29|  0.18| 8.90| 2.7| 2.1|88| 3|-0.28| 0.37| 0.40| 0.13| 0.19| 0.23| 0.15| 0.08| 0.04| 0.10| 0.04|-0.01|-0.15| 0.08| 0.03| 0.04|-0.01|-0.08|-0.12|   0.02|   0.12|   0.16|009.21365|-24.49662
      96|Thin disc       | 14086|-0.65|5075| 3.72|  42.6|  18.0| -78| -13|  6.27| 0.36|  0.10| 8.30| 4.3| 2.8|78| 2|-0.65| 0.34| 0.54| 0.09| 0.39| 0.29| 0.27| 0.19| 0.21| 0.27| 0.20| 0.01|-0.23| 0.14| 0.05| 0.07| 0.06| 0.09|-0.18|   0.06|   0.28|   0.39|045.40682|-28.09155
      97|Thin disc       | 14241|-0.49|5457| 4.61| -19.7|  14.0| -63|  33|  6.60| 0.29|  0.28|     |    |    |75| 2|-0.49| 0.33| 0.57| 0.10|     | 0.24| 0.23| 0.13| 0.27| 0.22| 0.11|-0.01|-0.19| 0.15| 0.04| 0.15| 0.16| 0.16|-0.06|   0.13|   0.22|   0.48|045.91233|-05.66630
      98|Thin disc       | 19696|-0.24|5554| 4.45|  -5.5|  -2.0| -49|  40|  6.95| 0.22|  0.34|     |    |    |77| 3|-0.24| 0.34| 0.44| 0.05| 0.12| 0.13| 0.14| 0.02| 0.10| 0.05| 0.01|-0.01|-0.14| 0.06|     | 0.10| 0.19| 0.08| 0.02|   0.07|   0.20|   0.25|063.29567|+16.76683
      99|Thin disc       | 26437| 0.10|5911| 4.40| -63.8|  23.0| -55| -38|  6.83| 0.26|  0.32|     |    |    |74| 3| 0.10| 0.02| 0.07|     | 0.07| 0.06| 0.01|     |-0.09|-0.03|-0.02|     |-0.05|-0.04|     |-0.02|-0.11|-0.05|-0.13|  -0.16|   0.02|  -0.08|084.38949|+74.68877
     100|Thin disc       | 39616|-0.41|5936| 4.43|   3.7| -53.0| -36| -35|  7.48| 0.23|  0.30|     |    |    |87| 2|-0.41| 0.15| 0.32| 0.10| 0.15| 0.06| 0.08| 0.02| 0.05| 0.01|-0.04|-0.05|-0.15|-0.02|-0.04|-0.06| 0.06| 0.05| 0.12|   0.21|   0.27|   0.12|121.43340|+68.38159
     101|Thin disc       | 40118|-0.47|5484| 4.58|  28.4| -36.0| -55| -32|  6.86| 0.27|  0.27|     |    |    |81| 2|-0.47| 0.41| 0.54| 0.08| 0.21| 0.22| 0.21| 0.10| 0.23| 0.15| 0.08|-0.05|-0.19| 0.10| 0.01| 0.10| 0.16|     |-0.06|   0.17|   0.32|   0.38|122.91102|+32.45713
     102|Thin disc       | 64924|-0.03|5515| 4.53|  -8.4| -13.0| -41| -24|  7.13| 0.19|  0.19|     |    |    |95| 0|-0.03| 0.18| 0.07|-0.06| 0.02|-0.01| 0.05|-0.02| 0.08|-0.06|     |-0.03|-0.06| 0.01|-0.05|     | 0.07|-0.08| 0.03|   0.17|   0.26|   0.15|199.60131|-18.31120
     103|Thin disc       | 73078|-0.11|5189| 3.76|  10.6| -26.0|  11|  21|  8.87| 0.09|  0.18|11.70| 3.4| 2.6|98| 0|-0.11| 0.30| 0.47| 0.04| 0.15| 1.30| 0.18|-0.03| 0.02|-0.13|-0.04|-0.04|-0.07| 0.04| 0.05| 0.02| 0.02|-0.09|-0.41|   0.13|   0.18|  -0.10|224.03338|+43.31780
     104|Thin disc       | 74933|-0.39|5712| 4.24|   9.3|   9.0| -44|  39|  7.06| 0.20|  0.33|     |    |    |82| 0|-0.39| 0.33| 0.52|     | 0.11| 0.19| 0.12| 0.05| 0.16|-0.02|-0.05|-0.08|-0.20|-0.02|-0.04|-0.03| 0.09| 0.02| 0.05|   0.04|   0.16|   0.24|229.67950|+25.77157
     105|Thin disc       | 81681|-0.38|5565| 4.52| -41.0|   1.0| -53| -38|  6.85| 0.24|  0.32|     |    |    |77| 3|-0.38| 0.31| 0.50| 0.04| 0.27| 0.23| 0.18| 0.10| 0.19| 0.16| 0.10|-0.05|-0.22| 0.09| 0.04| 0.10| 0.12| 0.05|-0.15|   0.10|   0.35|   0.30|250.28423|-02.85728
     106|Thin disc       | 84506| 0.09|5610| 4.05| -62.6| -10.0| -45| -38|  7.04| 0.21|  0.33| 5.70| 2.0| 1.5|82| 5| 0.09| 0.50| 0.43| 0.14| 0.04| 0.24| 0.20|-0.03| 0.09|-0.08|-0.01| 0.02|-0.07| 0.08| 0.06| 0.15| 0.05| 0.01|-0.08|   0.03|       |  -0.11|259.13824|+14.67401
     107|Thin disc       | 86568|-0.40|5214| 4.64| -51.3|  -5.0| -71|  28|  6.40| 0.32|  0.23|     |    |    |74| 2|-0.40| 0.35| 0.62| 0.03|     | 0.21| 0.24| 0.07| 0.19| 0.17| 0.22|-0.05|-0.16| 0.17| 0.04| 0.04| 0.13|-0.07|-0.07|   0.20|   0.18|   0.49|265.36233|+70.46440
     108|Halo            |  3026|-1.04|6060| 4.47| -50.2| 146.0|-231| -33|166.00| 0.99| 57.20|     |    |    |97| 2|-1.04|     | 0.47| 0.07| 0.19|     | 0.09| 0.11| 0.13| 0.20|     |-0.21|-0.52| 0.31|-0.01|     | 0.03| 0.06| 0.09|       |       |       |009.63311|-08.30928
     109|Halo            | 10449|-0.87|5566| 4.64|  27.9|-196.0|-196|  65|  6.46| 0.94|  0.77|     |    |    |75| 0|-0.87|     | 0.71|-0.04| 0.26| 0.18| 0.24| 0.18| 0.19| 0.12|-0.09|-0.01|-0.41| 0.13|-0.06|-0.20| 0.14| 0.07|-0.01|   0.29|       |   0.49|033.66791|-01.20142
     110|Halo            | 12294|-0.95|6069| 4.58|  54.6|-188.0|-149|  69|  6.97| 0.80|  0.81|     |    |    |99| 3|-0.95| 0.24| 0.22| 0.07| 0.14|     | 0.28| 0.14| 0.07| 0.15|     | 0.09|-0.35|     | 0.04|-0.37|     | 0.01|-0.12|       |   0.80|       |039.58959|+02.44566
     111|Halo            | 16072|-1.39|5608| 4.72| -13.3| -31.0|-279| -49|  4.88| 0.76|  0.46|     |    |    |99|13|-1.39|     | 1.20| 0.41| 0.45|     | 0.49| 0.28|     | 0.26| 0.33|-0.02|-0.28|     |-0.01|-0.32| 0.33| 0.36| 0.14|       |       |       |051.74905|+23.77665
     112|Halo            | 28671|-1.01|5357| 4.69|-190.7| 245.0|-234|  99|361.00| 0.99|  9.07|     |    |    |99| 0|-1.01|     | 0.79|-0.03| 0.14|     | 0.17| 0.16|-0.06| 0.16| 0.26| 0.02|-0.48| 0.01|-0.03|-0.42| 0.15| 0.10|-0.15|       |       |   0.42|090.81193|+19.36074
     113|Halo            | 52771|-1.98|5354| 4.77|  81.5| 163.0|-339| 102|  7.44| 0.63|  1.74|     |    |    |99| 0|-1.98|     | 1.10|     | 0.21|     |     | 0.10|     | 0.11|     |     |-0.47| 0.78|-0.06|     | 0.17|     |-0.27|       |       |       |161.84651|+28.39887
     114|Halo            | 55592|-0.94|5886| 4.60|  97.2| -95.0|-239|  13| 24.90| 0.99|  5.54|     |    |    |96| 2|-0.94| 0.39| 0.59| 0.08| 0.31| 0.21| 0.18| 0.15|-0.01| 0.15| 0.11|-0.11|-0.42|-0.02|-0.05|-0.34| 0.17| 0.09| 0.13|   0.12|       |   0.40|170.81763|+19.89379
     115|Halo            | 57450|-1.50|5315| 4.74|  64.0|-221.0|-270|  60|  7.48| 0.89|  0.77|     |    |    |99| 0|-1.50|     | 0.99| 0.18| 0.36|     | 0.34| 0.20| 0.23| 0.10| 0.26|-0.09|-0.40|     |-0.11|-0.36| 0.08|-0.04|-0.05|       |       |       |176.64647|+50.88186
     116|Halo            | 58229|-0.83|5740| 4.61| 167.9| -66.0|-201|  57| 27.50| 0.99|  3.01|     |    |    |73| 3|-0.83|     | 0.67| 0.06| 0.18| 0.13| 0.10| 0.07|-0.03| 0.10|     |-0.35|-0.40| 0.26|-0.05|-0.44| 0.02| 0.03|-0.13|       |       |       |179.15010|-21.41940
     117|Halo            | 62882|-0.98|5619| 3.83| 152.6| 280.0|-201|-103| 61.90| 0.99|  2.28|12.20| 3.6| 2.8|99| 0|-0.98| 0.20| 0.80|-0.02| 0.26| 0.12| 0.27| 0.19|-0.12| 0.08| 0.10|-0.07|-0.61|-0.15|-0.08|-0.55| 0.12| 0.08|-0.06|   0.07|   0.10|   0.12|193.31272|-18.52222
     118|Halo            | 73385|-1.46|5435| 3.86| 175.6|  51.0|-361|  61|  6.41| 0.38|  0.64|     |    |    |99| 0|-1.46|     | 1.00|     |     | 1.60| 0.49| 0.32|     | 0.33|     | 0.18|-0.39|     | 0.07|-0.46| 0.20| 0.20| 0.07|   0.27|       |   0.31|224.95735|-22.01272
     119|Halo            | 78640|-1.34|5665| 3.92|-152.3| 119.0|-261| -16|  5.25| 0.86|  0.12|14.90| 1.7| 1.6|99| 0|-1.34|     | 0.78|     | 0.29|     | 0.23| 0.26|-0.18| 0.26| 0.22|     |-0.34| 0.41|-0.03|     |-0.07|-0.07|-0.28|       |   0.14|   0.06|240.80541|+42.24629
     120|Halo            | 80837|-0.80|5724| 4.10| -47.3|  96.0|-258| -70|  4.88| 0.86|  0.64|13.30| 2.4| 2.0|99| 0|-0.80| 0.46| 0.72| 0.14| 0.36| 0.26| 0.24| 0.16| 0.17| 0.21| 0.12| 0.05|-0.27| 0.22| 0.04| 0.01| 0.15| 0.06|-0.13|  -0.05|   0.14|   0.29|247.61858|+04.17822
     121|Halo            | 86321|-0.87|5760| 4.59|-241.8| -75.0|-260| -45|  4.84| 0.86|  0.41|     |    |    |99| 0|-0.87| 0.30| 0.55| 0.02| 0.15| 0.07| 0.15| 0.13| 0.13| 0.12| 0.06|-0.07|-0.34| 0.20|-0.04|-0.43| 0.08| 0.07| 0.03|       |       |   0.36|264.56504|+18.55707
     122|Halo            | 86431|-0.54|5648| 4.48|  33.9| 215.0|-112|  91|  8.55| 0.74|  1.63|     |    |    |78| 5|-0.54| 0.39| 0.57| 0.05| 0.24| 0.19| 0.15| 0.07| 0.15| 0.08| 0.04|-0.08|-0.23| 0.05|-0.05|-0.03| 0.07|     |-0.07|   0.03|   0.33|   0.30|264.90364|+37.18375
     123|Halo            | 94449|-1.12|5545| 3.68| -65.4| 156.0|-310|  60|  6.61| 0.73|  0.69|10.10| 5.3| 3.5|99| 0|-1.12| 0.66| 0.95| 0.11| 0.46| 0.48| 0.36| 0.37|-0.06| 0.24| 0.08|-0.08|-0.36| 0.14|-0.01|-0.40| 0.03|-0.12|-0.27|   0.11|       |   0.10|288.33633|-00.59509
     124|Halo            |100568|-0.99|5566| 4.67|-170.7|-145.0|-240| -65|  8.76| 0.96|  1.48|     |    |    |99| 0|-0.99|     | 0.68| 0.01| 0.20|     | 0.14| 0.11|     | 0.08|     |-0.06|-0.51|-0.07|-0.12|-0.45|-0.06|-0.17|-0.23|   0.11|   0.14|   0.41|305.89936|-21.37062
     125|Halo            |109067|-0.79|5362| 4.69|-198.4| -24.0|-213|  36|182.00| 0.99|  9.61|     |    |    |73| 1|-0.79| 0.48| 0.68| 0.07| 0.28| 0.24| 0.24| 0.13| 0.21| 0.15| 0.11|-0.16|-0.40| 0.06|-0.05|-0.22| 0.10| 0.13|-0.10|   0.04|   0.01|       |331.41960|+12.37669
     126|Halo            |111549|-0.95|5704| 4.13|-296.0| 190.0|-261|  41|  6.39| 0.90|  0.33|14.20| 2.5| 2.1|99| 0|-0.95|     | 0.40|-0.42|     |     | 0.03| 0.17|-0.30| 0.12|     |-0.04|-0.34|-0.06|-0.07|-0.40|-0.03|-0.29|-0.24|       |  -0.01|   0.27|338.96928|+76.49237
     127|Halo            |115704|-1.78|5691| 4.65|-110.3|-167.0|-189| -49|  5.96| 0.90|  0.53|     |    |    |88| 0|-1.78|     | 0.67|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |       |       |       |351.63683|+60.62854
     128|Thin/thick disc |  5163|-0.74|5547| 4.63|  26.1| -21.0| -59| -38|  6.74| 0.27|  0.35|     |    |    |31|12|-0.74| 0.44| 0.68| 0.12| 0.27| 0.31| 0.23| 0.13| 0.18| 0.17| 0.06|     |-0.25| 0.10| 0.06| 0.07| 0.06| 0.03|-0.09|   0.25|       |   0.38|016.52147|+01.70641
     129|Thin/thick disc |  8720|-0.74|5079| 4.70|  -3.7|  90.0| -59| -42|  7.14| 0.38|  0.40|     |    |    |69|44|-0.74|     | 0.82| 0.08| 0.40| 0.28| 0.28| 0.13| 0.24| 0.16| 0.20|-0.03|-0.19| 0.25| 0.07|-0.01| 0.13| 0.02|-0.20|   0.17|   0.15|   0.45|028.04365|-02.80502
     130|Thin/thick disc | 10711|-0.69|5585| 4.57|  49.6| -82.0| -56| -43|  7.19| 0.35|  0.42|     |    |    |64|20|-0.69| 0.40| 0.71|     | 0.25| 0.23| 0.22| 0.09| 0.08| 0.11| 0.02|-0.11|-0.42| 0.11|-0.06|-0.13| 0.11| 0.02|-0.13|   0.13|       |   0.27|034.48455|+38.08180
     131|Thin/thick disc | 12381|-0.16|6151| 4.24|  45.9|  26.0| -62| -46|  6.65| 0.29|  0.45|     |    |    |58|14|-0.16| 0.08| 0.30| 0.02| 0.17| 0.12| 0.01| 0.04|-0.01|-0.02| 0.02|-0.06|-0.25|     |-0.09|-0.01|-0.07| 0.12|-0.02|  -0.27|       |   0.14|039.84897|-14.28929
     132|Thin/thick disc | 15126|-0.82|5305| 4.68|  88.1| 145.0| -52|  35|  8.15| 0.48|  0.36|     |    |    |80|12|-0.82|     | 0.64| 0.01| 0.28| 0.16| 0.25| 0.12| 0.14| 0.15| 0.06|-0.04|-0.40| 0.11|-0.03|-0.14| 0.13|-0.05|-0.07|       |       |   0.49|048.76983|+01.03755
     133|Thin/thick disc | 15394|-0.27|5211| 3.73|   4.9|  29.0| -52| -46|  6.92| 0.25|  0.43|10.60| 4.2| 3.1|58|15|-0.27| 0.09| 0.19| 0.04| 0.26| 0.17| 0.13| 0.04| 0.06|-0.02|-0.01|     |-0.09| 0.02| 0.01|-0.02| 0.12|-0.08|-0.15|   0.02|   0.09|   0.09|049.61307|+15.17735
     134|Thin/thick disc | 16738| 0.37|6000| 3.99|  60.0| -91.0| -62|  37|  7.07| 0.39|  0.34|     |    |    |62|20| 0.37|-0.01| 0.18| 0.31| 0.32| 0.14| 0.12|-0.08|-0.08|-0.17|-0.07|-0.01| 0.01| 0.03| 0.06| 0.22| 0.18|-0.08| 0.12|       |       |       |053.83031|+11.39676
