#recno|Group|HIP|[Fe/H]|Teff|logg|HRV|ULSR|VLSR|WLSR|Rm|e|Zmax|tau9|E_tau9|e_tau9|Pr|e_Pr|[FeI/H]|[C/H]|[O/H]|[Na/H]|[Mg/H]|[Al/H]|[Si/H]|[Ca/H]|[Sc/H]|[Ti/H]|[V/H]|[Cr/H]|[Mn/H]|[Co/H]|[Ni/H]|[Cu/H]|[Zn/H]|[Y/H]|[Ba/H]|[Ce/H]|[Nd/H]|[Eu/H]|_RA|_DE
# | | |Sun|K|[cm/s2]|km/s|km/s|km/s|km/s|kpc| |kpc|Gyr|Gyr|Gyr|%|%|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|deg|deg
#--------|----------------|------|-----|----|-----|------|------|----|----|------|-----|------|-----|----|----|--|--|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-------|-------|-------|---------|---------
      15|Thick disc      | 10652|-0.67|5499| 4.58| -20.5| -90.0| -86|  90|  6.61| 0.46|  1.21|     |    |    |93| 2|-0.67|     | 0.70| 0.07| 0.24| 0.25| 0.16| 0.13| 0.19| 0.13| 0.02|-0.01|-0.33| 0.06| 0.02|-0.02| 0.10|-0.07|-0.09|  -0.07|       |   0.39|034.27974|+21.56681
      16|Thick disc      | 12579|-0.80|5770| 4.60| -12.5|  -2.0| -54| -67|  6.84| 0.24|  0.70|     |    |    |94|13|-0.80| 0.42| 0.71| 0.08| 0.26| 0.16| 0.19| 0.16| 0.08| 0.13| 0.21|-0.08|-0.42| 0.17|-0.05|-0.09| 0.11| 0.05|-0.04|  -0.05|   0.20|   0.37|040.44059|+47.35036
      17|Thick disc      | 13366|-0.70|5669| 4.19|   7.0|  45.0| -99| -74|  5.97| 0.47|  0.83|11.80| 4.3| 3.2|96| 1|-0.70| 0.36| 0.64| 0.08| 0.37| 0.21| 0.23| 0.16| 0.18| 0.19| 0.03|-0.06|-0.30| 0.06|-0.01|-0.05| 0.14|-0.07|-0.15|  -0.10|   0.18|   0.29|042.99315|+11.36998
      18|Thick disc      | 15405|-0.73|5107| 3.56|  17.8|-137.0| -95| -40|  6.91| 0.57|  0.39|10.20| 8.3| 4.6|94| 1|-0.73| 0.34| 0.49| 0.04| 0.16| 0.16| 0.13| 0.10| 0.03| 0.05|-0.01|-0.05|-0.30| 0.07|-0.03| 0.04| 0.11|-0.13|-0.12|   0.16|   0.08|   0.24|049.66041|+72.27512
      19|Thick disc      | 17147|-0.87|5722| 4.50| 121.0|-100.0| -80| -38|  6.74| 0.46|  0.35|     |    |    |88| 2|-0.87| 0.32| 0.72| 0.10| 0.44| 0.22| 0.24| 0.21| 0.16| 0.21| 0.19|-0.03|-0.39| 0.11|-0.02|-0.08| 0.15| 0.22|     |   0.13|   0.25|   0.42|055.09194|-03.21698
      20|Thick disc      | 17666|-1.03|5000| 4.50|  76.0|-108.0| -99| -73|  6.04| 0.55|  0.78|     |    |    |93| 3|-1.03|     | 0.87| 0.06| 0.35| 0.33| 0.42| 0.21| 0.11| 0.25| 0.07|-0.03|-0.29| 0.22|-0.01|-0.13| 0.21| 0.31| 0.11|   0.25|   0.43|   0.57|056.75882|+41.42726
      21|Thick disc      | 22020|-0.35|5604| 4.27|  28.1| -71.0| -85| -53|  6.43| 0.43|  0.52|     |    |    |95|14|-0.35| 0.27| 0.51| 0.10| 0.24| 0.25| 0.19| 0.11| 0.12| 0.17| 0.06|-0.03|-0.23| 0.09|-0.01| 0.04| 0.11|-0.13|-0.06|   0.02|       |   0.21|071.01500|+52.98162
      22|Thick disc      | 22060|-0.63|5610| 4.61| 172.1|-184.0| -66|  52|  8.75| 0.59|  0.65|     |    |    |89| 7|-0.63| 0.52| 0.63| 0.19| 0.28| 0.25| 0.21| 0.11| 0.20| 0.19|-0.02|-0.07|-0.28| 0.02|     |     | 0.14| 0.10|-0.05|   0.23|  -0.02|   0.47|071.17526|+25.93600
      23|Thick disc      | 23080|-0.32|5334| 4.60|  38.5| -46.0| -67|  55|  6.65| 0.33|  0.54|     |    |    |88| 1|-0.32| 0.29| 0.32| 0.01| 0.24| 0.19| 0.19| 0.13| 0.25| 0.20| 0.19|-0.03|-0.13| 0.15| 0.04| 0.09| 0.11| 0.08|-0.06|   0.24|   0.16|   0.40|074.49739|+34.26802
      24|Thick disc      | 24030|-1.00|5738| 4.64| -15.7|  20.0| -88|  97|  6.18| 0.39|  1.22|     |    |    |95| 1|-1.00|     | 0.69| 0.12| 0.30| 0.19| 0.23| 0.11| 0.09| 0.19| 0.08|-0.05|-0.53| 0.02| 0.04|-0.33| 0.13| 0.21| 0.02|       |       |       |077.48733|+05.55743
      25|Thick disc      | 25860|-0.35|5543| 4.56|  48.1| -14.0| -74| -59|  6.38| 0.34|  0.59|     |    |    |94| 8|-0.35| 0.24| 0.52| 0.05| 0.29| 0.20| 0.21| 0.14| 0.28| 0.22| 0.14| 0.01|-0.20| 0.16| 0.04| 0.10| 0.17| 0.07|-0.08|   0.26|   0.22|   0.35|082.80741|+15.77345
      26|Thick disc      | 26452|-0.89|5749| 4.64| -37.7|   3.0| -96|  47|  5.93| 0.43|  0.44|     |    |    |94| 1|-0.89| 0.36| 0.73| 0.12| 0.33| 0.24| 0.25| 0.17| 0.17| 0.23| 0.16|-0.03|-0.38| 0.20|-0.01|-0.08| 0.13| 0.09|-0.20|       |   0.24|   0.41|084.41487|+68.73518
      27|Thick disc      | 26828|-0.34|6180| 4.12|  77.7| -63.0| -81|  40|  6.42| 0.42|  0.35| 3.20| 3.6| 1.7|80| 1|-0.34| 0.23| 0.64| 0.18| 0.23| 0.25| 0.15| 0.17| 0.01| 0.12| 0.16|-0.07|-0.28| 0.05|-0.04|-0.10| 0.02|-0.13|-0.12|       |       |   0.13|085.44480|+22.87035
      28|Thick disc      | 27128|-0.81|5802| 4.16| 180.7|-162.0| -68| -66|  8.11| 0.56|  0.91|12.30| 2.8| 2.3|91| 0|-0.81| 0.27| 0.66| 0.15| 0.33| 0.29| 0.17| 0.28| 0.05| 0.14| 0.10|-0.14|-0.39| 0.16|-0.02|-0.09| 0.11|-0.02|-0.12|  -0.01|       |   0.40|086.29027|-26.99179
      29|Thick disc      | 29269|-0.68|5484| 3.95| -32.0| -95.0| -85| -74|  6.64| 0.47|  0.89|12.20| 3.7| 2.8|95| 1|-0.68| 0.27| 0.62| 0.17| 0.36| 0.36| 0.20| 0.24|-0.02| 0.23| 0.11|     |-0.28| 0.05| 0.01|-0.03| 0.17|-0.14|-0.10|  -0.08|   0.07|   0.29|092.55325|+81.51284
      30|Thick disc      | 31188|-0.59|5789| 4.54|   3.3|  19.0| -26|  71|  7.68| 0.12|  0.77|     |    |    |92| 3|-0.59| 0.15| 0.30|-0.03| 0.12| 0.04| 0.03| 0.04|-0.01| 0.05| 0.01|-0.12|-0.15| 0.03|-0.06|-0.07|-0.02|-0.06|-0.07|  -0.01|   0.04|   0.17|098.15830|-06.48847
      31|Thick disc      | 34642|-0.44|5747| 4.14| -29.5| -13.0| -87| -55|  6.09| 0.40|  0.53| 8.97| 3.2| 2.4|95|12|-0.44| 0.18| 0.44| 0.04| 0.10| 0.21| 0.11| 0.04|-0.02| 0.06|-0.01|-0.04|-0.27| 0.02|-0.02|-0.10|-0.04|-0.16|     |  -0.23|   0.08|   0.15|107.62412|+53.25178
      32|Thick disc      | 35989|-0.19|5185| 4.60|   6.3| -37.0| -41| -65|  7.27| 0.21|  0.68|     |    |    |92|13|-0.19| 0.04| 0.21|-0.14|-0.03|-0.02| 0.04|-0.03| 0.03| 0.04| 0.14|-0.04|-0.11|-0.02|-0.03|-0.25|-0.02|-0.33|-0.21|   0.18|   0.01|   0.13|111.24699|+46.09961
