#recno|HD|Teff|logg|[Fe/H]|UVel|VVel|WVel|Rm|Zmax|ecc|logt9|Simbad|[C/Fe]|[N/Fe]|[O/Fe]|[O/Fe]n|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]|[S/Fe]|[K/Fe]|[Ca/Fe]|[Sc/Fe]|[Ti/Fe]|[V/Fe]|[Cr/Fe]|[Mn/Fe]|[Co/Fe]|[Ni/Fe]|[Cu/Fe]|[Zn/Fe]|[Sr/Fe]|[Yr/Fe]|[Ba/Fe]|[Zr/Fe]|[Ce/Fe]|[Nd/Fe]|[Eu/Fe]|_RA|_DE
# | |K|[cm/s2]|[Sun]|km/s|km/s|km/s|kpc|kpc| |[Gyr]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|deg|deg
#--------|------|----|-----|-----|------|-----|-----|-----|------|------|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|---------|---------
      13|  5494|6083| 4.00|-0.17| -34.2|  9.0| 24.7| 8.82| 0.210| 0.110| 0.56|Simbad| 0.22|     | 0.35|     | 0.16|-0.07| 0.05| 0.11|  0.16| 0.20| 0.02|-0.12|     | 0.06|-0.08|-0.02|     | 0.00|     |-0.03|     |     |     |-0.08|     |     |     |014.29079|+34.86407
      14|  5750|6228| 4.00|-0.39|  62.3|-23.0| -8.8| 7.89| 0.070| 0.220| 0.60|Simbad| 0.07|     | 0.20|     | 0.08| 0.01| 0.06| 0.08| -0.10|     | 0.07|-0.19| 0.06|     | 0.03|-0.27|     |-0.05|     |-0.05|     |-0.18|     |-0.06|-0.02|     |     |014.89933|+32.49220
      15|  6250|6127| 3.90|-0.15| -66.0| -6.4| -7.4| 8.46| 0.061| 0.210| 0.45|Simbad| 0.09| 0.15| 0.21|     | 0.00| 0.05| 0.03| 0.02|  0.03|     | 0.01|-0.04| 0.00|-0.05|-0.03|-0.13|-0.07|-0.05|-0.15| 0.01| 0.06| 0.03|-0.06| 0.03|-0.03|     | 0.07|016.06917|+54.20425
      16|  6312|5754| 4.33|-0.32|  25.0|-52.7|-32.8| 6.89| 0.274| 0.250|     |Simbad| 0.24|     | 0.28|     | 0.02| 0.00| 0.07| 0.04|  0.04| 0.05| 0.03| 0.07|-0.02|-0.07|-0.03|-0.12| 0.04|-0.02|-0.06| 0.00|-0.07|-0.02| 0.03|-0.07| 0.00| 0.05| 0.09|016.36037|+63.72129
      17|  6834|6290| 4.02|-0.69|   2.0| 23.4|-21.9| 9.31| 0.187| 0.090| 0.74|Simbad|     |     | 0.39|     |     |     | 0.08| 0.16|  0.16|     | 0.08| 0.01| 0.02|     |     |-0.21|     |-0.02|-0.15|-0.04|     |-0.12|     | 0.01|     |     |     |017.39693|+39.78105
      18|  6840|5851| 3.72|-0.43|  39.6|-41.7| 17.9| 7.21| 0.141| 0.230| 0.50|Simbad| 0.10|     | 0.33| 0.05| 0.15| 0.11| 0.16| 0.09|  0.04| 0.32| 0.06|-0.07| 0.07|-0.01| 0.02|-0.14| 0.02| 0.01|-0.06| 0.03| 0.04|-0.11|-0.10|-0.13|-0.11|-0.04|     |017.71144|+67.78009
      19|  7228|6059| 4.08|-0.12| -51.6| -1.0| -4.6| 8.54| 0.037| 0.160| 0.59|Simbad| 0.16|     | 0.25|     | 0.02| 0.01| 0.13| 0.05|  0.08| 0.25| 0.03|-0.10| 0.07| 0.00| 0.01|-0.12| 0.01|-0.01|-0.32| 0.05|-0.03|-0.04| 0.11| 0.02|-0.05|     |     |018.25960|+33.15494
      20|  8671|6196| 3.92|-0.16|  24.6| 11.4|-11.2| 8.86| 0.089| 0.080| 0.44|Simbad| 0.04| 0.04| 0.26|-0.01| 0.05| 0.03| 0.06| 0.01|  0.03| 0.46| 0.01|-0.01| 0.03| 0.01|-0.02|-0.16|-0.06|-0.04|-0.12| 0.04|     | 0.08| 0.13| 0.22|-0.04| 0.06| 0.03|021.57786|+43.45774
      21|  9091|5829| 4.26|-0.35| -49.2|-22.8| 28.5| 7.81| 0.241| 0.190| 0.85|Simbad| 0.13|     | 0.31| 0.05|-0.02| 0.10| 0.12| 0.03|  0.11| 0.20| 0.04| 0.04| 0.03|-0.04|-0.05|-0.17|-0.04|-0.04|-0.07| 0.06|-0.08|-0.08|-0.07|-0.11|-0.06| 0.06| 0.00|022.45272|+23.69044
      22|  9670|6032| 4.27|-0.28| -13.3|-58.2| 10.6| 6.72| 0.080| 0.270| 0.78|Simbad| 0.09| 0.26| 0.21| 0.07| 0.05| 0.11| 0.02| 0.04|  0.05| 0.23| 0.03| 0.03| 0.04|-0.02|-0.01|-0.12|-0.02|-0.02|-0.07| 0.05| 0.03| 0.01|-0.07| 0.06|-0.03| 0.02| 0.13|023.70361|+00.94477
