#recno|HD|Teff|logg|[Fe/H]|UVel|VVel|WVel|Rm|Zmax|ecc|logt9|Simbad|[C/Fe]|[N/Fe]|[O/Fe]|[O/Fe]n|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]|[S/Fe]|[K/Fe]|[Ca/Fe]|[Sc/Fe]|[Ti/Fe]|[V/Fe]|[Cr/Fe]|[Mn/Fe]|[Co/Fe]|[Ni/Fe]|[Cu/Fe]|[Zn/Fe]|[Sr/Fe]|[Yr/Fe]|[Ba/Fe]|[Zr/Fe]|[Ce/Fe]|[Nd/Fe]|[Eu/Fe]|_RA|_DE
# | |K|[cm/s2]|[Sun]|km/s|km/s|km/s|kpc|kpc| |[Gyr]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|deg|deg
#--------|------|----|-----|-----|------|-----|-----|-----|------|------|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|---------|---------
      54| 76272|5989| 4.23|-0.42|   0.5|  4.6|-11.7| 8.56| 0.089| 0.010| 0.92|Simbad| 0.18|     | 0.33|     | 0.06| 0.09| 0.09| 0.07|  0.12| 0.26| 0.04| 0.08| 0.06| 0.02|-0.02|-0.15| 0.00|-0.01|-0.11| 0.12| 0.00|-0.04|     |-0.05|-0.07|-0.01|     |134.34330|+54.84618
      55| 76349|6004| 4.17|-0.44|  15.1| -7.1| 27.6| 8.18| 0.224| 0.060| 0.90|Simbad| 0.13|     | 0.28|     | 0.07| 0.08| 0.06| 0.05|  0.10| 0.26| 0.00| 0.03| 0.02|-0.06|-0.02|-0.14|-0.05|-0.02|-0.08| 0.09|-0.05|-0.08|-0.09|-0.04|-0.10|     |     |134.16430|+33.25776
      56| 77134|5966| 4.51|-0.29| -36.7|-23.4|  5.3| 7.72| 0.040| 0.160|     |Simbad| 0.11|     | 0.21| 0.11|-0.04| 0.06| 0.00| 0.03|  0.12| 0.08| 0.00|-0.06| 0.00|-0.05|-0.04|-0.18|-0.06|-0.06|-0.15|-0.04| 0.06| 0.09|     | 0.13| 0.13|     |     |135.09026|-09.12353
      57| 77408|6210| 4.15|-0.23| 110.2| -4.2|-20.4| 9.11| 0.191| 0.330| 0.57|Simbad| 0.00|     | 0.14|     | 0.01| 0.11| 0.11| 0.02| -0.02| 0.28| 0.02|-0.02|-0.02|-0.03| 0.00|-0.19|-0.04|-0.04|-0.15|-0.05|-0.55|     |     | 0.05| 0.01|     |     |135.81559|+32.88143
      58| 80218|6091| 4.19|-0.28|  -9.4|-12.2|-26.5| 8.00| 0.213| 0.070| 0.75|Simbad| 0.21| 0.44| 0.38| 0.23| 0.01| 0.11| 0.06| 0.09|  0.08| 0.33| 0.04| 0.04| 0.04|-0.06|-0.04|-0.20|-0.02|-0.03|-0.06| 0.08| 0.33| 0.26| 0.16| 0.00|-0.07| 0.04| 0.05|139.74511|+17.70535
      59| 85902|5721| 4.44|-0.53|  37.4| -1.2|  9.3| 8.45| 0.073| 0.120|     |Simbad| 0.25|     | 0.36|     | 0.07| 0.06| 0.10| 0.03|  0.25| 0.11| 0.03| 0.04|-0.01|-0.04|-0.02|-0.06|-0.04|-0.03|-0.05| 0.21|-0.03| 0.00|-0.06|-0.04| 0.11| 0.08|     |148.98644|+38.08170
      60| 86560|5846| 4.21|-0.41| -87.3|-16.3|-20.4| 8.35| 0.178| 0.280| 1.10|Simbad| 0.24|     | 0.33|-0.06| 0.03| 0.09| 0.08| 0.04|  0.17|     | 0.03| 0.07| 0.01|-0.01|-0.01|-0.18|-0.03|-0.02|-0.05| 0.11|-0.12|-0.09|     |-0.11|-0.13| 0.06|     |150.23070|+53.12443
      61| 86884|5873| 3.89|-0.28|  34.2|-52.0|-22.4| 6.93| 0.179| 0.260| 0.59|Simbad| 0.10|     | 0.27| 0.03| 0.05| 0.08| 0.11| 0.04|  0.04| 0.30| 0.02|     | 0.04|-0.02|-0.01|-0.13|-0.02|-0.02|-0.07| 0.06| 0.06|-0.01| 0.08| 0.01|-0.02| 0.00| 0.12|150.79949|+58.09780
      62| 87838|6019| 4.29|-0.43|  81.1| -9.1|-17.0| 8.52| 0.147| 0.250| 0.86|Simbad|-0.04|     | 0.22|     | 0.04| 0.14| 0.07| 0.08|  0.02| 0.24| 0.02| 0.05| 0.05|-0.04| 0.00|-0.19| 0.02|-0.02|-0.08| 0.07|-0.05|-0.08| 0.01|-0.05|-0.08|-0.01| 0.21|151.89086|-06.43920
      63| 88446|5875| 4.08|-0.35|  33.0|-95.8|  8.9| 5.95| 0.067| 0.450| 0.94|Simbad| 0.34|     | 0.41|     | 0.06| 0.15| 0.12| 0.09|  0.14| 0.32| 0.07| 0.12| 0.10| 0.00|-0.04|-0.22| 0.01|-0.01|-0.06| 0.10| 0.57| 0.58| 0.65| 0.66| 0.58| 0.69| 0.24|153.07949|+17.29918
      64| 89010|5611| 4.00|-0.06|  -2.6| 14.6|-36.9| 8.97| 0.329| 0.050| 0.87|Simbad| 0.23| 0.44| 0.29|     | 0.07| 0.04| 0.13| 0.08|  0.18| 0.03|-0.05| 0.02|-0.04|-0.07|-0.03|-0.08| 0.03| 0.02| 0.04| 0.13|-0.10| 0.02| 0.07|-0.07| 0.04| 0.01| 0.15|154.13454|+23.50310
      65| 90878|6285| 3.85|-0.24|   4.0| -8.3|  2.9| 8.11| 0.021| 0.050| 0.36|Simbad| 0.02|     | 0.39|     | 0.10| 0.06| 0.02| 0.05|  0.01| 0.47| 0.03|-0.12| 0.07| 0.14| 0.03|-0.13| 0.04|-0.06|-0.18|-0.01|-0.52|     |     | 0.22| 0.10|     |     |157.49404|+27.82564
      66| 91638|6160| 4.29|-0.25| -24.6|-10.7| -9.7| 8.07| 0.074| 0.090| 0.57|Simbad| 0.01|     | 0.22|     | 0.02| 0.09| 0.01| 0.01| -0.02| 0.31|-0.04| 0.03| 0.03|-0.04|-0.05|-0.12|-0.05|-0.03|-0.12| 0.05| 0.03|-0.01|-0.12| 0.00|-0.03|     | 0.13|158.70924|-03.89969
      67| 94012|6064| 4.41|-0.47| -24.3|-40.8| -6.1| 7.18| 0.046| 0.200| 0.65|Simbad| 0.19|     | 0.33| 0.17| 0.08| 0.05| 0.08| 0.04|  0.16| 0.26| 0.07| 0.10| 0.04|-0.03|-0.03|-0.13| 0.01|-0.02|-0.09| 0.09|-0.06| 0.01|-0.02| 0.03| 0.11|-0.07|     |162.80764|+09.22445
      68| 94835|5814| 4.43| 0.05|   4.8|-54.0| -5.5| 6.81| 0.041| 0.250| 0.35|Simbad| 0.17| 0.32| 0.19|     | 0.00| 0.01| 0.06| 0.07|  0.16| 0.02|-0.05| 0.12|-0.05|-0.08|-0.03|-0.05| 0.00| 0.02| 0.00| 0.10| 0.00| 0.15| 0.05| 0.04| 0.08| 0.02|     |164.28984|+21.80486
      69| 97037|5797| 4.27|-0.14|   7.8|-13.8|-33.8| 7.96| 0.281| 0.070| 0.82|Simbad| 0.07| 0.18| 0.17|     |-0.02| 0.06| 0.08| 0.02|  0.10| 0.11|-0.01| 0.06| 0.00|-0.04|-0.02|-0.09|-0.02|-0.02|-0.03| 0.09|-0.14|-0.02|     |-0.09|-0.02| 0.03| 0.09|167.55560|-07.38940
      70| 99126|6101| 4.14|-0.15|  -4.6|  2.2|-33.2| 8.50| 0.276| 0.010| 0.64|Simbad| 0.12| 0.30| 0.22|     |-0.01| 0.11| 0.12| 0.05|  0.05|     |-0.04|-0.09| 0.01|-0.13| 0.00|-0.13|-0.04| 0.00|-0.13| 0.01|     | 0.00|-0.08| 0.00| 0.01|     | 0.12|171.09065|-05.90998
      71| 99233|5741| 4.35|-0.62|  13.3| 26.0|  6.6| 9.42| 0.054| 0.100|     |Simbad| 0.21|     | 0.38|     |-0.01| 0.10| 0.15| 0.08|  0.12| 0.16| 0.05| 0.07| 0.09|-0.01|-0.03|-0.18| 0.00|-0.02|-0.09|-0.03|-0.10|-0.13| 0.01|-0.12|-0.06|-0.05|     |171.38243|+42.63290
      72| 99984|6084| 3.64|-0.35|  -3.9| 16.6|-31.9| 9.04| 0.279| 0.060| 0.35|Simbad| 0.10|     | 0.32|-0.13| 0.06| 0.05| 0.13| 0.05|  0.10| 0.50| 0.06|-0.05| 0.08| 0.06| 0.04|-0.14|-0.08|-0.02|-0.11|-0.01| 0.11| 0.04|-0.02| 0.12|-0.08| 0.10|     |172.62971|+43.17324
      73|100067|6179| 4.37|-0.31|  69.2| 16.4| 13.9| 9.37| 0.123| 0.220| 0.65|Simbad| 0.05| 0.17| 0.20|     | 0.05| 0.07| 0.06| 0.04| -0.04| 0.26| 0.00| 0.05| 0.04|-0.02|-0.03|-0.21|-0.04|-0.03|-0.15| 0.08| 0.04| 0.00| 0.07| 0.05|-0.01|     | 0.18|172.75439|+32.31664
      74|100446|5996| 4.25|-0.45| -22.2|-48.0|  6.0| 6.99| 0.045| 0.230| 0.90|Simbad| 0.18|     | 0.29| 0.19| 0.09| 0.11| 0.13| 0.02|  0.08| 0.29| 0.07| 0.03| 0.04|-0.02|-0.06|-0.15|-0.01|-0.02|-0.06| 0.08|     | 0.03|-0.04| 0.08|-0.02| 0.10|     |173.52943|+65.24253
      75|101472|6043| 4.41|-0.15|  -7.2|  9.6| -4.0| 8.75| 0.030| 0.040|-0.98|Simbad| 0.16|     | 0.26|     |-0.12|-0.02|-0.04| 0.00|  0.10| 0.16|-0.04|-0.05|-0.02|-0.06| 0.03|-0.13|-0.10|-0.06|-0.21|-0.02| 0.13| 0.12| 0.08| 0.23| 0.03|     |-0.02|175.15245|-08.40565
      76|101676|6071| 4.10|-0.46| -31.8| -0.1|-46.9| 8.51| 0.444| 0.100| 0.81|Simbad| 0.22|     | 0.34| 0.08| 0.09| 0.17| 0.15| 0.09|  0.08| 0.37| 0.04| 0.08| 0.06| 0.01|-0.01|-0.17| 0.03| 0.00|-0.05| 0.08| 0.01| 0.00| 0.18| 0.03| 0.08| 0.07| 0.09|175.51651|+12.28491
      77|101716|5879| 3.70|-0.18|   1.4|-24.1|-21.8| 7.62| 0.171| 0.120| 0.42|Simbad| 0.19|     | 0.38| 0.12| 0.05| 0.13| 0.10| 0.07|  0.19| 0.40| 0.04|-0.01| 0.01|-0.07| 0.00|-0.11|-0.02|-0.02|-0.07| 0.05| 0.07| 0.09|     | 0.12| 0.12|     |-0.03|175.64410|+43.78944
      78|102080|6006| 4.22|-0.36| -46.1|-32.7|  2.7| 7.49| 0.020| 0.210| 0.81|Simbad| 0.14|     | 0.22| 0.29| 0.05| 0.05| 0.10| 0.04|  0.09| 0.28| 0.03| 0.02| 0.02| 0.05|-0.02|-0.11|-0.02| 0.01|-0.05| 0.08| 0.07|-0.04|-0.08|-0.05|-0.09| 0.02| 0.04|176.24329|+27.40714
      79|102618|5935| 4.13|-0.31|   6.1|  2.2|-41.1| 8.51| 0.359| 0.020| 0.84|Simbad| 0.18|     | 0.34| 0.12| 0.04| 0.05| 0.08| 0.05|  0.12| 0.33| 0.03| 0.03| 0.02|-0.10|-0.02|-0.14|-0.03|-0.02|-0.06| 0.15|-0.03|-0.05|-0.02|-0.02|-0.08|     |     |177.21367|+18.82308
      80|103891|5978| 3.75|-0.25|  17.5|-11.5| 14.1| 8.03| 0.109| 0.080| 0.41|Simbad| 0.04|     | 0.19| 0.05| 0.07| 0.06| 0.08| 0.04|  0.06| 0.41| 0.05|-0.01| 0.05| 0.00| 0.03|-0.14|-0.05|-0.01|-0.09| 0.00| 0.09|-0.01| 0.08| 0.00|-0.03| 0.09| 0.07|179.43876|-08.54871
      81|106510|5818| 4.40|-0.46|  -0.5|  7.5| 46.5| 8.72| 0.427| 0.025| 0.85|Simbad| 0.14|     | 0.30|     | 0.03| 0.10| 0.10| 0.07|  0.19| 0.12| 0.03| 0.12| 0.06|-0.02|-0.01|-0.15| 0.01|-0.01|-0.03| 0.09|-0.11| 0.00|     |-0.09| 0.07| 0.16| 0.09|183.75609|+30.14151
      82|107038|5876| 3.88|-0.39| -12.0|-11.8|-15.5| 8.01| 0.119| 0.073| 0.58|Simbad| 0.11|     | 0.18| 0.09| 0.08| 0.09| 0.08| 0.06|  0.05| 0.33| 0.05| 0.01| 0.05| 0.98|-0.03|-0.15|-0.05|-0.01|-0.07| 0.02|-0.05|-0.08|-0.14|-0.04|-0.09|-0.02| 0.06|184.63383|-08.90442
      83|108134|5755| 4.22|-0.38| -52.5| -2.6|-29.7| 8.50| 0.261| 0.160| 1.07|Simbad| 0.23|     | 0.32|     | 0.03| 0.03| 0.13| 0.06|  0.21| 0.11| 0.05| 0.05|-0.01|-0.06|-0.04|-0.11| 0.00|-0.02|-0.08| 0.03|-0.07|-0.10|-0.03|-0.15|-0.09|-0.04|-0.06|186.27140|+60.69735
      84|109154|5944| 3.77|-0.42| -38.5|  6.6| 16.9| 8.74| 0.139| 0.120| 0.51|Simbad| 0.23|     | 0.43| 0.09| 0.11| 0.07|-0.04| 0.10|  0.13| 0.39| 0.08| 0.03| 0.08| 0.03|-0.04|-0.20|-0.06| 0.00|-0.11| 0.02| 0.38| 0.09| 0.29| 0.06|-0.03| 0.09| 0.15|187.97837|+68.51473
      85|109303|5903| 4.01|-0.44|  20.7|-22.7| 33.7| 7.70| 0.283| 0.130| 0.84|Simbad| 0.32|     | 0.55| 0.09| 0.11| 0.07| 0.11| 0.08|  0.14| 0.34| 0.04| 0.11| 0.01|-0.07|-0.05|-0.20|-0.06|-0.03|-0.14| 0.07| 0.05| 0.11| 0.19| 0.20|-0.07| 0.12| 0.23|188.32929|+49.30190
      86|110989|5978| 3.87|-0.48| -49.3|-23.8| -0.5| 7.77| 0.003| 0.190| 0.59|Simbad| 0.22|     | 0.59| 0.18| 0.16| 0.33| 0.31| 0.23|  0.20| 0.50| 0.18| 0.08| 0.26| 0.04|-0.02|-0.28| 0.15| 0.04|-0.06| 0.24| 0.10|-0.11|-0.01|-0.28|-0.18|     |     |191.50962|+02.59301
      87|112756|5993| 4.40|-0.35|  18.7| 17.6| -8.3| 9.08| 0.067| 0.080| 0.65|Simbad| 0.12| 0.58| 0.22|     | 0.00| 0.10| 0.04| 0.04| -0.01| 0.15| 0.01| 0.05| 0.06|-0.03|-0.04|-0.17|-0.04|-0.06|-0.15| 0.02| 0.02| 0.07|     | 0.08| 0.09| 0.23| 0.24|194.72964|+05.10646
      88|112887|6422| 3.88|-0.32| -17.0|  7.3|  0.3| 8.68| 0.002| 0.055| 0.36|Simbad|-0.02|     | 0.34|     | 0.10| 0.11| 0.01| 0.06| -0.02|     | 0.11| 0.03| 0.15| 0.08|-0.01|-0.15| 0.08|-0.04|-0.20| 0.02|     | 0.12| 0.07| 0.30| 0.19| 0.09| 0.14|194.88729|+28.06566
      89|118687|5994| 4.44|-0.45| -17.2|-25.6| 36.6| 7.61| 0.311| 0.130| 0.65|Simbad| 0.25|     | 0.34|     | 0.08| 0.08| 0.12| 0.07|  0.16| 0.25| 0.01| 0.12| 0.02|-0.05|-0.03|-0.14| 0.00|-0.01|-0.08| 0.03| 0.09| 0.21| 0.11| 0.20| 0.15|     |     |204.39517|+41.43483
      90|121560|6081| 4.40|-0.38|  18.9|-14.7|  5.8| 7.92| 0.044| 0.095| 0.65|Simbad| 0.07|     | 0.25| 0.15| 0.04| 0.04| 0.04| 0.00|  0.04| 0.22| 0.04| 0.06| 0.00|-0.04|-0.06|-0.17|-0.06|-0.04|-0.10| 0.06| 0.04| 0.14|-0.02| 0.01| 0.05| 0.09|     |208.95831|+14.05650
      91|124819|6079| 4.17|-0.28| -14.0|  2.8| -2.0| 8.50| 0.015| 0.043| 0.74|Simbad| 0.13|     | 0.36|     | 0.03|-0.03| 0.05| 0.06|  0.11| 0.17| 0.04|     |-0.01|-0.05|-0.03|-0.16|-0.04|-0.05|     | 0.08|     |-0.13|     |-0.09|-0.10|     |     |213.52240|+54.63746
      92|126053|5597| 4.44|-0.41| -31.8|-10.1|-32.8| 8.14| 0.280| 0.110|     |Simbad| 0.18|     | 0.25|     | 0.00| 0.04| 0.14| 0.07|  0.12| 0.06| 0.04| 0.15| 0.07|-0.01|-0.02|-0.09| 0.01|-0.01| 0.01| 0.16|-0.13|-0.04|-0.15|-0.12|-0.02| 0.01| 0.32|215.81369|+01.24157
      93|127667|6038| 4.22|-0.39|  42.0|-37.9| 20.4| 7.33| 0.163| 0.220| 0.79|Simbad| 0.10|     | 0.26| 0.15| 0.07| 0.08| 0.00| 0.05|  0.01| 0.27| 0.00|-0.02|-0.01| 0.00|-0.04|-0.12|-0.02|-0.01|-0.11| 0.04|-0.01|-0.08| 0.00|-0.03| 0.06| 0.14|     |218.01885|+18.83607
      94|130253|5749| 3.79|-0.23| -56.8|-18.5|-38.0| 8.01| 0.345| 0.200| 0.58|Simbad| 0.18|     | 0.29|-0.01| 0.08| 0.08| 0.17| 0.07|  0.18| 0.19| 0.08| 0.00| 0.01|-0.06|-0.02|-0.14|-0.01| 0.01|-0.07|-0.05|-0.07|-0.05|-0.03|-0.12|-0.08| 0.04|-0.06|221.50986|+36.89124
      95|131039|6164| 3.88|-0.23| -25.9|-30.3|  5.2| 7.47| 0.039| 0.160| 0.43|Simbad| 0.12|     | 0.41|     | 0.04|     | 0.13| 0.09|  0.07|     | 0.05|-0.05|-0.05| 0.13|-0.03|-0.19|-0.02|-0.04|-0.22|     |     | 0.09|     | 0.12| 0.00|     |     |222.27740|+56.89598
      96|131599|6091| 4.33|-0.44|  -7.4|  6.2|  0.3| 8.62| 0.002| 0.030| 0.77|Simbad| 0.24|     | 0.37|     | 0.07| 0.06| 0.09| 0.04|  0.20| 0.25| 0.04| 0.05| 0.01|-0.06|-0.02|-0.19|-0.01|-0.03|-0.05| 0.06| 0.01| 0.03| 0.08| 0.00| 0.04|-0.07|     |223.31575|+40.81669
      97|133641|6032| 3.91|-0.42| -23.7|-37.2| 40.5| 7.30| 0.354| 0.190| 0.62|Simbad| 0.20|     | 0.36|     | 0.14| 0.06| 0.13| 0.08|  0.10|     | 0.12|-0.08| 0.07| 0.20| 0.04|-0.11|-0.06|-0.04|-0.18| 0.02| 0.14|-0.05|-0.26|-0.07| 0.00|-0.11| 0.06|226.18810|+25.46026
      98|136925|5615| 4.25|-0.38|  45.0|-48.6| -0.1| 7.05| 0.001| 0.260|     |Simbad| 0.33|     | 0.49|     | 0.11| 0.21| 0.30| 0.20|  0.28| 0.20| 0.13| 0.22| 0.19| 0.07|-0.01|-0.20| 0.11| 0.05| 0.07| 0.27|-0.09|-0.02|     |-0.20| 0.01| 0.24|     |230.71695|+13.36643
      99|139457|5953| 4.06|-0.49| -97.3|-24.6| -9.1| 8.20| 0.077| 0.320| 0.86|Simbad| 0.28|     | 0.38|     | 0.08| 0.08| 0.11| 0.08|  0.16| 0.42| 0.07| 0.06| 0.08| 0.09|-0.02|-0.16|-0.05|-0.02|-0.09| 0.05|-0.05|-0.03|-0.04|-0.06| 0.02| 0.04| 0.07|234.49672|+10.23988
     100|140324|5822| 4.06|-0.36| -30.8|  0.6| 34.8| 8.50| 0.305| 0.090| 0.86|Simbad| 0.23|     | 0.35|     | 0.04| 0.12| 0.11| 0.08|  0.16| 0.24| 0.01| 0.10| 0.04| 0.06| 0.00|-0.15| 0.00|-0.01|-0.04| 0.11|     | 0.29|     | 0.18| 0.29|     |     |235.72688|+04.10201
     101|140750|5597| 3.98|-0.37| -37.0|-29.8| -5.9| 7.53| 0.045| 0.180|     |Simbad| 0.39|     | 0.51| 0.33| 0.06|-0.05| 0.16| 0.11|  0.35| 0.17| 0.04| 0.13|-0.02|-0.09|-0.02|-0.14| 0.01| 0.01|-0.04| 0.18|-0.08| 0.04| 0.00|-0.05| 0.01| 0.03| 0.19|236.31313|+04.70822
     102|145937|5813| 4.07|-0.60| -65.3|  8.4| 10.8| 9.00| 0.091| 0.200|     |Simbad| 0.23|     | 0.49|     | 0.08| 0.11| 0.16| 0.08|  0.17| 0.36| 0.11| 0.06| 0.07| 0.01| 0.00|-0.16| 0.02|-0.02|-0.12| 0.04|-0.03|-0.13|-0.15|-0.22|-0.19| 0.00|     |243.47470|-06.90862
     103|146946|5691| 4.30|-0.37|  34.1| 21.9|-28.6| 9.34| 0.259| 0.130|     |Simbad| 0.30|     | 0.30| 0.05| 0.09| 0.05| 0.15| 0.04|  0.24| 0.25|     |-0.07| 0.13| 0.17|-0.02|-0.07|-0.06|-0.05|-0.11|-0.01| 0.01|     |     | 0.00| 0.03|     |     |244.44152|+31.80438
     104|148049|5955| 4.18|-0.36| -11.3| -9.1|-24.2| 8.10| 0.193| 0.060| 0.85|Simbad| 0.19|     | 0.28| 0.00| 0.07| 0.09| 0.09| 0.05|  0.16| 0.35| 0.05| 0.02| 0.04| 0.03|-0.07|-0.14| 0.00|-0.02|-0.07| 0.08|     |-0.06|-0.04|-0.04|-0.11|-0.06|     |245.77953|+50.34421
     105|149576|6380| 4.12|-0.17|  47.9|-42.4|  3.6|10.50| 0.458| 0.190| 0.45|Simbad| 0.12|     | 0.33|     | 0.05|     | 0.04| 0.03|  0.05|     | 0.06|-0.09|-0.08|     |-0.04|-0.16|-0.12|-0.07|-0.20|     |     | 0.18|     |     | 0.08|     |     |248.38411|+46.55346
     106|152449|6096| 4.18|-0.05|   7.3|-15.0|  6.1| 7.90| 0.045| 0.080| 0.57|Simbad| 0.06|     | 0.21|     | 0.00| 0.01| 0.02| 0.02|  0.12| 0.18|-0.01|-0.02|-0.08|-0.09|-0.03|-0.13|-0.07|-0.03|-0.20|-0.02| 0.06| 0.02|-0.15|-0.02|-0.07|-0.12|     |253.37129|-01.13048
     107|152986|6074| 4.25|-0.17|   5.9|  9.1| 19.3| 8.73| 0.154| 0.030| 0.68|Simbad| 0.18|     | 0.23|     | 0.08| 0.03| 0.02| 0.05|  0.10|     |-0.01| 0.00|-0.02| 0.00|-0.02|-0.14|-0.04|-0.03|-0.08| 0.05| 0.08| 0.08| 0.04| 0.05| 0.04| 0.00|-0.01|254.22362|-02.04860
     108|153240|6135| 4.31|-0.09|   8.6|-15.0|  3.4| 7.90| 0.025| 0.081| 0.44|Simbad| 0.11|     | 0.24|     |     |     | 0.02| 0.04|  0.18|     | 0.06|-0.09|     | 0.14| 0.08|-0.12|-0.05|-0.04|-0.23|     |     | 0.08|     | 0.10|-0.04|     |     |254.57895|-04.34350
     109|153627|5827| 4.22|-0.38| -25.2|  2.2|-16.1| 8.52| 0.128| 0.080| 0.97|Simbad| 0.26|     | 0.34|     | 0.07| 0.11| 0.12| 0.08|  0.19|     | 0.02| 0.09| 0.02|-0.07|-0.04|-0.16|-0.01| 0.00|-0.02| 0.15|-0.02| 0.03| 0.02|-0.04| 0.02| 0.09|     |255.06821|+10.82281
     110|153668|6029| 4.20|-0.22|  16.9| -4.2| 28.9| 8.28| 0.237| 0.060| 0.72|Simbad| 0.16| 0.12| 0.26|     | 0.06|-0.03| 0.05| 0.05|  0.15| 0.26| 0.01| 0.04| 0.00|-0.08|-0.02|-0.14|-0.04|-0.03|-0.07| 0.05| 0.03| 0.03|-0.04| 0.01| 0.01|     |     |254.60468|+48.00095
     111|155646|6201| 3.80|-0.07| -75.0| 11.5| 14.2| 9.23| 0.125| 0.230| 0.33|Simbad|-0.03|     | 0.34|     | 0.00| 0.07| 0.04| 0.04|  0.02| 0.37| 0.02| 0.02| 0.03|-0.05|-0.01|-0.15|-0.04|-0.03|-0.18|-0.03|     | 0.10| 0.07| 0.29| 0.11| 0.01|     |258.22644|+00.35203
     112|156635|6136| 4.28|-0.10|   0.3|-22.5| 10.7| 7.66| 0.081| 0.110| 0.65|Simbad| 0.33| 0.51| 0.26|     | 0.10| 0.00| 0.03| 0.07|  0.12| 0.21| 0.04| 0.03| 0.00|-0.01|-0.03|-0.10|-0.01| 0.01| 0.00| 0.06|     | 0.07|-0.02| 0.06|-0.02|     |     |259.71015|-02.81058
     113|157466|5932| 4.41|-0.41| -49.8| 20.9| 11.4| 9.38| 0.097| 0.170| 0.46|Simbad| 0.18|     | 0.24|     |-0.01| 0.02| 0.07| 0.02|  0.05| 0.08| 0.00| 0.00|-0.04|-0.06|-0.06|-0.20|-0.02|-0.08|-0.18|-0.01|-0.04|-0.04|-0.04| 0.01| 0.04|     |     |260.61521|+24.87945
     114|157467|6016| 3.72| 0.11|   9.7|-16.9|  5.2| 7.84| 0.039| 0.090|     |Simbad| 0.04| 0.03| 0.19|     | 0.06| 0.08| 0.22| 0.10|  0.13| 0.25|-0.05|-0.19|-0.04|-0.07|     |-0.04|-0.03| 0.02|-0.06| 0.01|     |-0.12|     |-0.17|-0.26|     |     |260.86261|-03.12209
     115|159333|5863| 3.79|-0.27|  -2.2|-30.7| -7.2| 7.42| 0.054| 0.150| 0.48|Simbad| 0.26|     | 0.39|     | 0.11| 0.03| 0.11| 0.09|  0.21| 0.26| 0.04| 0.00| 0.00|-0.09|-0.01|-0.11|-0.02| 0.00|-0.01| 0.04| 0.00| 0.01| 0.00| 0.03|-0.05| 0.01|     |263.47006|+08.10378
     116|160078|6015| 4.05|-0.14| -50.6| -6.3|-16.7| 8.35| 0.137| 0.160| 0.59|Simbad| 0.24| 0.29| 0.50|-0.13|     | 0.02| 0.07| 0.11|  0.20| 0.42| 0.04|-0.11|-0.05|-0.07| 0.02|-0.16|-0.07|-0.02|-0.19| 0.01|     | 0.04| 0.01| 0.08|-0.03|     | 0.05|263.53828|+60.08937
     117|163363|6038| 3.79| 0.00| -72.8|  7.7|-13.8| 9.05| 0.120| 0.220| 0.38|Simbad| 0.05|     | 0.17|     | 0.09| 0.15| 0.08| 0.01|  0.04|     | 0.02|-0.22|-0.02|-0.02|-0.03|-0.07|-0.01|-0.01|     |     |-0.02|-0.16|     |-0.14|-0.21|     |     |268.81451|+15.28040
     118|167588|5829| 3.93|-0.37| -51.2|-12.2| -9.9| 8.15| 0.079| 0.170| 0.69|Simbad| 0.19|     | 0.29|     | 0.05| 0.08| 0.13| 0.04|  0.11| 0.28| 0.00| 0.08| 0.06| 0.00| 0.01|-0.20|-0.01|-0.02|-0.07| 0.01|-0.06|-0.08|     |-0.04| 0.06|     |     |273.68333|+29.20731
     119|169359|5809| 4.12|-0.31| -16.5|  9.5|-31.6| 8.78| 0.271| 0.060| 0.93|Simbad| 0.24|     | 0.30|     | 0.00| 0.09| 0.08| 0.08|  0.14| 0.19|-0.01| 0.10| 0.01|-0.03|-0.04|-0.13|-0.02|-0.03|-0.06| 0.06|-0.07|-0.02| 0.00|-0.03| 0.04| 0.03|     |275.94609|+14.90773
     120|171620|6019| 4.18|-0.46|  56.7| 10.2|-31.3| 9.02| 0.288| 0.180| 0.88|Simbad| 0.26|     | 0.30| 0.26| 0.12| 0.06| 0.12| 0.07|  0.08|     | 0.06|-0.01| 0.00|-0.01|-0.05|-0.18|-0.05|-0.01|-0.05| 0.03|-0.04|-0.09|-0.15| 0.01|-0.02|-0.01|     |278.62789|+34.41564
     121|171886|6290| 4.27|-0.33|  27.8|-45.1| -9.3| 7.08| 0.071| 0.220| 0.55|Simbad| 0.07|     | 0.33|     | 0.00|     | 0.02| 0.05|  0.00|     | 0.06| 0.02|-0.01| 0.02|     |-0.16| 0.01|-0.06|-0.16|     |     |     |     | 0.14| 0.05|     |     |278.81039|+41.58155
