# Rest wavelength;Transition; Element; Excitation Potential; Oscillator Strength; Vanderwaal Broadening; Measured Wavelength; Measured FWHM; Measured Trough; Measured Equivalent Width; Measured chi-sq; Measured Line Velocity; Detection Sigma; Abundance; Delta Abundance; Reduced Equivalent Width; Acceptable; Uncertain
6125.02; 14.0; Si I; 5.61; -1.506; 0.0; 6124.98125435; 0.10978616264; 0.956351792149; 12.6926609001; 7753.50225235; -1.89643915994; 1.43160605923; 6.52; 0.0; -5.68; True; False
6127.44; 40.0; Zr I; 0.15; -1.06; 0.0; 0.0; 0.0; 0.0; 0.0; nan; nan; nan; nan; nan; 0.0; False; False
6134.55; 40.0; Zr I; 0.0; -1.28; 0.0; 6134.52884665; 0.0918341006677; 0.980251407837; 3.95011104989; 16514.5015314; -1.03375757833; 0.449467712029; nan; nan; -6.19117340539; True; False
6143.2; 40.0; Zr I; 0.07; -1.1; 0.0; 6143.18907427; 0.0960155760543; 0.973002106798; 6.24395834155; 20899.4402252; -0.533184251312; 0.6201776776; nan; nan; -5.99293465771; True; False
6145.01; 14.0; Si I; 5.62; -1.362; 0.0; 6144.99698712; 0.119751555615; 0.936154372827; 18.8791342101; 38809.535475; -0.634852059557; 2.11985505235; 6.59; 0.07; -5.51; True; False
6145.42; 26.0; Fe I; 3.37; -3.6; 0.0; 0.0; 0.0; 0.0; 0.0; nan; nan; nan; nan; nan; 0.0; False; False
6149.26; 26.1; Fe II; 3.89; -2.724; 0.0; 6149.22773032; 0.117378662428; 0.912814028859; 25.789653146; 21965.3840935; -1.57323929326; 2.92703663825; 6.26; -0.02; -5.38; True; False
6151.62; 26.0; Fe I; 2.17; -3.299; 0.0; 6151.60298003; 0.113882957865; 0.765436323247; 67.1571994568; 13931.509708; -0.829451864156; 2.47290655996; 6.25; -0.04; -4.96; True; False
6154.23; 11.0; Na I; 2.1; -1.53; 0.0; 6154.19780465; 0.11227664902; 0.964584524706; 9.8782844165; 7236.84782654; -1.56834786604; 0.352899758882; 4.87; 0.0; -5.79; True; False
6155.13; 14.0; Si I; 5.62; -0.786; 0.0; 6155.12118025; 0.121026703507; 0.85291126451; 44.1675631428; 38777.8268002; -0.429576445011; 1.73641177358; 6.56; 0.04; -5.14; True; False
6157.73; 26.0; Fe I; 4.08; -1.32; 0.0; 6157.72194085; 0.118593797435; 0.804049622129; 57.3945208543; 24923.3755888; -0.392364761129; 2.38882563364; 6.49; 0.2; -5.03; True; False
6159.38; 26.0; Fe I; 4.61; -1.97; 0.0; 0.0; 0.0; 0.0; 0.0; nan; nan; nan; nan; nan; 0.0; False; False
6160.75; 11.0; Na I; 2.1; -1.23; 0.0; 6160.74137724; 0.104109928043; 0.936793021737; 12.5082483943; 42.0; -0.419598356801; 0.54557599032; 4.68; -0.19; -5.69; True; False
6165.36; 26.0; Fe I; 4.14; -1.49; 0.0; 6165.34680301; 0.111023695653; 0.88857676122; 30.6757961547; 26407.5115242; -0.641708739936; 1.45678908989; 6.24; -0.05; -5.3; True; False
6166.44; 20.0; Ca I; 2.52; -1.142; 0.0; 6166.42274274; 0.119334726518; 0.760500647859; 71.4580461595; 18357.0482102; -0.838994960769; 3.45992311598; 5.47; 0.015; -4.94; True; False
6169.04; 20.0; Ca I; 2.52; -0.797; 0.0; 6169.02185161; 0.11256582718; 0.686963847684; 88.4901230025; 22045.8514161; -0.881946892591; 4.38622017008; 5.44; -0.015; -4.84; True; False
6169.56; 20.0; Ca I; 2.53; -0.478; 0.0; 6169.54628359; 0.118472553292; 0.636928429901; 108.062111051; 17938.2012215; -0.666512052828; 5.43940742591; 5.5; 0.045; -4.76; True; False
6173.34; 26.0; Fe I; 2.22; -2.88; 0.0; 6173.32091382; 0.119595543957; 0.703386283385; 89.3811843176; 25605.9170064; -0.926874415137; 4.73953927189; 6.3; 0.01; -4.84; True; False
6175.37; 28.0; Ni I; 4.09; -0.535; 0.0; 6175.34917668; 0.114277816065; 0.894335597543; 30.3867609468; 54510.1697811; -1.01090212063; 1.41443755586; 4.99; 0.04; -5.31; True; False
6177.24; 28.0; Ni I; 1.83; -3.51; 0.0; 6177.23641153; 0.0869745832563; 0.928357890838; 15.6930984607; 32078.5266961; -0.174154713676; 0.857331137003; 4.8; -0.15; -5.59; True; False
6180.2; 26.0; Fe I; 2.73; -2.637; 0.0; 6180.18547934; 0.116744325613; 0.779384001684; 64.5008467544; 32092.6594687; -0.704377486221; 3.62124221709; 6.25; -0.04; -4.98; True; False
6189.0; 27.0; Co I; 1.71; -2.45; 0.0; 6188.98149624; 0.129481293457; 0.933968840415; 21.0304569748; 124475.788632; -0.896316886422; 1.22285407012; 3.85; 0.1; -5.47; True; False
6200.31; 26.0; Fe I; 2.61; -2.437; 0.0; 6200.29783215; 0.119008935456; 0.709512632675; 86.788889125; 27832.6349294; -0.588331190224; 4.92980939328; 6.31; 0.02; -4.85; True; False
6204.6; 28.0; Ni I; 4.09; -1.14; 0.0; 6204.58377358; 0.107144581936; 0.965982152238; 9.47066115975; 47089.2466757; -0.784026613464; 0.522239682709; 4.95; 0.0; -5.81; True; False
6219.28; 26.0; Fe I; 2.2; -2.433; 0.0; 6219.26259558; 0.122945821393; 0.630359964567; 112.846316269; 35395.9865605; -0.838960353696; 12.0616186531; 6.29; 0.0; -4.74; True; False
6229.23; 26.0; Fe I; 2.84; -2.846; 0.0; 6229.21298797; 0.122977234269; 0.857662319594; 43.7373844001; 32471.0489523; -0.818735783456; 4.91926807555; 6.24; -0.05; -5.15; True; False
6232.64; 26.0; Fe I; 3.65; -1.283; 0.0; 6232.6192254; 0.119709677659; 0.740060252043; 77.7571124407; 14800.7036174; -0.999269812766; 8.87295990376; 6.29; 0.0; -4.9; True; False
6246.32; 26.0; Fe I; 3.6; -0.894; 0.0; 6246.3005906; 0.119445857028; 0.658817150681; 101.745403467; 19851.671065; -0.931558266621; 11.7604595407; 6.3; 0.01; -4.79; True; False
6247.56; 26.1; Fe II; 3.89; -2.329; 0.0; 6247.53631463; 0.123480279251; 0.858119284785; 43.3874116046; 8939.57743641; -1.1365590871; 5.11423935969; 6.28; 0.0; -5.16; True; False
6265.13; 26.0; Fe I; 2.17; -2.55; 0.0; 6265.11567125; 0.120994812737; 0.644401289157; 106.886428611; 17998.8867637; -0.685646030657; nan; 6.25; -0.04; -4.77; True; False
6270.22; 26.0; Fe I; 2.86; -2.5; 0.0; 6270.18689244; 0.144524444557; 0.725284019944; 98.110270949; 19910.3316827; -1.58295064917; 4.20374655731; 6.89; 0.6; -4.80556830387; False; False
6271.28; 26.0; Fe I; 3.33; -2.728; 0.0; 0.0; 0.0; 0.0; 0.0; nan; nan; nan; nan; nan; 0.0; False; False
6297.79; 26.0; Fe I; 2.22; -2.74; 0.0; 6297.77932705; 0.121046294826; 0.684329985765; 95.9256853257; 18697.1814553; -0.508063369539; 5.59607727222; 6.28; -0.01; -4.82; True; False
6300.3; 8.0; O I; 0.0; -9.717; 0.0; 6300.28092701; 0.156770905803; 0.906831507355; 34.223212737; 42.0; -0.907568649812; 1.96539655387; 7.98; 0.05; -5.27; True; False
