#Table: J/A+A/511/L10/./table3.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------
          |m|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |_|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |N|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |a|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |m|    |    |    [|   |   [N| [Mg| [Si| [Ca| [Ti|   [C|   [N|  U(|  V(|  W(|
Name      |e|Teff|logg|Fe/H]|ksi|a/Fe]|/Fe]|/Fe]|/Fe]|/Fe]|r/Fe]|i/Fe]|LSR)|LSR)|LSR)|Class
----------|-|----|----|-----|---|-----|----|----|----|----|-----|-----|----|----|----|------------
G46-31    | |5901|4.23|-0.83|1.4|-0.13|0.15|0.13|0.20|0.11|-0.03|-0.12|  23|-310|  56|low-alpha
G63-26    | |6043|4.18|-1.56|1.8|-0.08|0.35|0.49|0.37|0.28|-0.01| 0.06|  90|-332|  43|(high-alpha)
G66-22    | |5236|4.41|-0.86|0.9|-0.38|0.08|0.09|0.22|0.10| 0.03|-0.14|-268|-191|  16|low-alpha
G82-05    | |5277|4.45|-0.75|0.9|-0.41|0.06|0.05|0.18|0.08| 0.02|-0.16|-357|-180|  53|low-alpha
G112-43   | |6074|4.03|-1.25|1.3|-0.11|0.21|0.15|0.29|0.29| 0.00|-0.02| 145|-119|-293|low-alpha
G112-44   | |5819|4.25|-1.29|1.2|-0.12|0.22|0.20|0.26|0.22|-0.01|-0.02| 138|-109|-293|low-alpha
G114-42   | |5643|4.38|-1.10|1.3|-0.18|0.18|0.22|0.24|0.13|-0.02|-0.09| 377|-189| -80|low-alpha
G121-12   | |5928|4.23|-0.93|1.4|-0.30|0.03|0.10|0.19|0.08|-0.04|-0.19|-350|-202|  99|low-alpha
G188-22   | |5974|4.18|-1.32|1.5|-0.04|0.39|0.37|0.37|0.28|-0.04|-0.01| 193| -99|  71|high-alpha
G159-50   | |5624|4.37|-0.93|1.1| 0.02|0.38|0.31|0.32|0.24| 0.02| 0.00|-202|-192|  67|high-alpha
