# RA         Dec           u             uerr            g              gerr             r               rerr            i               ierr            z               zerr      v      verr
10:07:43.78  +15:49:32.9  26.293385	0.421956	22.472002	0.122987	20.985212	0.046073	20.369211	0.040431	20.049419	0.090343   299.2  2.5
10:07:47.19  +16:05:45.5  20.987513	0.082505	20.134775	0.021157	19.76955	0.017882	19.676928	0.021211	19.541288	0.059495   294.3  2.4
10:07:35.92  +16:11:25.7  24.987194	1.373848	23.791548	0.395461	22.083683	0.128128	22.002941	0.18383	        21.585369	0.388405   242.2  7.8
10:06:25.70  +15:54:22.1  22.535933	0.288623	21.587378	0.061693	21.134563	0.049342	20.949863	0.058329	21.242861	0.23793    244.3  5.6
10:07:11.80  +16:06:30.4  24.0049	1.280913	22.801916	0.171471	22.159657	0.149741	21.951799	0.168487	21.375481	0.341425   247.1  15.9
10:07:07.80  +16:07:21.5  21.195698	0.135964	20.643459	0.029573	20.341938	0.031466	20.238726	0.036486	19.975286	0.100164   247.7  2.8
10:07:35.24  +15:57:15.3  23.42992	0.574182	22.535524	0.139789	21.135363	0.049339	20.411036	0.036584	19.934864	0.081472   255.1  3.0
10:06:28.41  +15:56:28.8  18.801184	0.019896	17.852139	0.0062426	17.560524	0.006059	17.431067	0.006756	17.400879	0.013445   347.1  2.9
10:07:36.92  +15:59:58.9  22.418537	0.266503	21.994511	0.091283	21.870932	0.094419	21.609116	0.102907	20.802814	0.177637   373.0  6.0
10:06:51.74  +16:17:59.2  22.255814	0.269571	21.407433	0.046177	20.922722	0.042458	20.953039	0.048771	20.708916	0.150456   394.9  8.9
