#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
3.4708,-74.6881,44,-9,-20,-2,8.8,83,-45
3.5867,-21.1969,55,46,-46,10,-13.6,-74,-234
3.5842,-27.5314,49,24,-27,-34,34.8,-14,-152
3.5612,-55.0694,46,9,-11,-12,17.4,-4,-30
3.6167,-14.4317,82,51,-26,-8,2.0,-78,-126
3.5925,-28.9344,53,37,-6,-16,21.0,-108,-89
3.6521,1.2967,85,-1,-14,11,-15.8,15,-12
3.7079,23.7933,111,0,10,-1,7.9,-8,8
3.8317,46.8992,56,-24,12,0,20.5,55,31
3.8396,28.5869,92,-13,-15,-43,16.7,56,-86
3.8179,-16.7561,127,-11,-22,-5,-0.2,35,-23
3.7692,-68.53,44,-20,13,5,-18.4,49,54
3.9054,23.465,151,40,-16,-23,-8.5,-33,-58
4.1008,65.9542,76,-16,-22,-15,-12.1,74,-30
3.9458,-66.9239,86,42,-17,-41,56.6,-57,3
4.0925,-19.3994,80,35,-43,-23,16.2,-19,-151
4.1446,15.8369,101,-22,-11,3,-4.1,50,10
4.1854,36.4914,90,-43,-8,13,4.5,93,53
4.0525,-79.8511,18,-34,-17,3,-6.1,434,-58
4.1967,-46.5739,111,-46,-53,38,-35.6,114,-73
4.2242,-52.6511,23,-41,3,-3,-11.4,313,181
4.3521,8.8764,65,-37,23,-15,32.6,75,76
4.3187,-43.8525,37,-56,-38,-19,11.2,396,-16
4.2012,-78.78,110,-30,-15,14,-12.5,61,-25
4.3696,0.3211,88,-31,38,1,20.6,20,107
4.3862,-19.0508,49,-4,-3,3,-3.5,21,-2
4.4579,16.3308,46,-41,-21,-16,8.4,222,-28
4.3521,-66.5669,89,-30,-17,-4,0.4,82,-2
4.495,-13.4556,26,-43,-16,-33,27.8,400,-1
4.3937,-69.8783,95,12,1,-8,10.4,-22,6
4.5896,49.5097,82,21,-30,5,-36.0,-11,-9
4.5867,30.9561,25,-4,-26,-13,-11.6,144,-172
4.6037,22.88,140,13,-34,-40,-2.8,16,-80
4.6225,-46.5319,66,26,5,-30,33.7,-67,11
4.455,-79.2322,165,20,-16,5,16.7,-13,-22
4.6742,-8.0528,23,-31,-38,-1,-10.5,419,-145
4.6087,-63.4772,41,-9,-20,-1,6.6,90,-59
4.6979,-10.9492,132,10,-18,11,-16.4,-2,-26
4.675,-29.9567,60,-30,-16,25,-29.3,109,-3
4.8029,13.5769,75,16,-31,-20,-7.8,10,-111
4.8192,0.5206,86,3,-1,-2,0.3,-4,-8
4.87,-17.6786,88,-18,9,-13,14.4,32,34
4.8392,-40.1211,53,18,-64,8,4.6,58,-258
4.9017,-7.2239,46,7,-23,-23,12.4,36,-135
4.9233,-30.6583,209,-47,6,-32,25.1,42,30
5.0017,38.2272,25,18,10,-34,15.1,-142,-277
5.0175,-64.8747,9,-76,-4,-46,9.1,1708,1165
4.9017,-69.1028,69,7,-11,-6,13.7,0,-18
4.9537,-60.9119,61,-34,-20,-9,3.6,139,7
5.1183,40.9219,121,23,-7,-1,-14.7,-28,-16
5.1371,45.5089,109,-21,-29,-9,-13.1,64,-18
5.0771,-32.7692,52,-48,-49,7,-12.7,260,-82
5.0458,-55.9939,69,-4,-6,-8,8.2,22,0
5.2379,67.6672,32,2,-14,10,-12.2,27,78
5.1592,12.3108,80,8,6,3,-0.3,-27,7
5.2254,32.9778,72,6,-11,-19,-1.7,6,-65
5.2179,-19.9311,111,20,-20,-21,17.5,-9,-57
5.28,37.9683,49,-12,-3,-13,8.2,58,-39
5.2246,-29.6897,79,52,-6,12,-5.7,-116,-84
5.2237,-39.2397,107,30,-5,-1,8.1,-46,-36
5.0704,-77.2225,52,12,4,-6,6.7,-48,19
5.3046,-3.3117,79,-22,16,3,6.3,28,64
5.23,-65.1133,99,22,-25,-20,36.0,-9,-29
5.3975,-16.2075,116,18,2,13,-12.1,-32,-9
5.4887,16.8767,62,-2,-42,7,-31.9,72,-63
5.4625,-22.6428,134,36,-22,13,-13.6,-35,-56
5.4683,-23.0081,75,-6,-68,-9,0.5,113,-159
5.5817,53.6008,281,41,-19,-16,-33.4,-18,-18
5.5187,-26.7092,61,-112,-46,-7,-6.4,416,54
5.5983,-27.0325,27,0,-60,-2,-1.5,235,-407
5.6796,-9.6228,82,-10,-4,-24,21.8,35,-13
5.7508,22.375,41,-7,-63,-17,-30.7,203,-221
5.7154,-12.2092,20,-35,-14,0,-2.7,394,61
5.7,-39.2622,76,-25,-28,-15,12.9,101,-26
5.6446,-73.0322,44,20,-27,-19,36.8,-8,-46
5.8025,-13.1681,135,33,6,-8,7.9,-48,-22
5.7696,-65.1211,46,38,-16,-21,39.3,-105,-52
6.0217,44.2647,145,13,-8,2,-13.6,-11,-4
6.0604,53.8222,91,12,-47,-16,-44.0,35,-49
5.9979,-17.8103,63,-34,-7,6,-7.3,107,39
5.9279,-62.425,100,-109,-15,-21,-15.3,218,83
5.8171,-76.7242,114,-17,2,2,-10.0,25,9
6.0721,1.5561,61,0,-25,-25,10.0,52,-106
6.1596,16.4078,202,-16,-5,-12,10.3,18,-5
6.1079,-27.0267,18,-52,-22,-9,2.9,668,84
6.0496,-54.5664,105,1,-26,19,-7.5,21,-60
6.0842,-56.65,96,-31,-15,-15,8.4,79,17
6.2862,48.0472,44,-52,-27,-6,2.9,282,4
6.2083,-11.7108,200,-1,-10,-21,17.6,9,-14
6.1867,-51.0436,35,-57,-83,-4,13.2,546,-255
