#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
43.7883,-7.9958,34,-26,-24,2,14.5,201,-17
43.4629,-44.6056,68,-37,-21,-7,20.0,102,60
43.4167,-51.5075,97,19,12,-32,20.2,-73,3
44.1087,18.0231,35,-26,-52,-8,10.5,277,-212
44.0571,8.3814,44,-21,-19,-22,27.5,70,-88
44.0725,5.9986,108,-15,-5,-16,21.4,9,-12
44.2525,10.1619,39,-4,1,-27,20.9,-61,-74
43.3962,-64.3392,60,-26,2,29,-27.6,96,25
43.4012,-64.3419,56,-26,8,32,-33.3,93,28
44.2896,3.6786,187,-23,-22,-18,26.6,23,-17
44.3121,1.8872,50,-5,-34,-2,2.7,105,-101
44.2929,0.4478,76,-3,-7,6,-3.0,25,-3
44.0821,-28.9503,106,-4,-1,-5,6.3,2,4
43.5046,-64.8997,68,-40,-14,6,-1.8,109,73
44.5217,20.6686,32,-41,-19,-2,27.0,235,-32
44.1408,-39.4461,58,-2,-59,-4,29.9,142,-122
44.3046,-24.975,26,-17,-18,-43,49.5,15,-33
44.3112,-24.9694,22,-19,-19,-43,50.4,32,-35
44.2179,-36.2972,97,4,-8,-21,21.0,-15,-13
43.7271,-64.0436,107,17,-2,-12,12.4,-28,-17
44.51,-15.8381,84,-78,-3,29,14.1,155,137
44.7929,19.9897,92,-26,-17,-7,19.3,53,-25
45.0754,42.1403,264,87,-11,-88,-54.5,-68,-58
44.5671,-28.3686,68,-74,-70,25,26.0,314,24
45.0888,36.3881,89,18,-5,-16,-11.9,-35,-38
45.0708,31.1247,97,8,-31,2,-19.8,36,-40
44.9079,-0.6272,152,18,-14,-8,-6.2,-7,-32
44.8937,-4.1161,71,-76,-55,-9,55.0,225,-13
45.0213,10.6558,76,-23,-53,5,4.5,140,-77
44.4579,-50.1528,246,-33,-24,9,6.9,34,10
44.9004,-25.2739,32,-35,-17,-10,27.0,180,84
45.15,5.9858,32,-101,-80,-12,70.9,699,-157
44.7837,-40.7233,69,8,-18,-1,7.6,22,-53
44.7458,-43.7481,39,15,-38,-14,28.5,52,-166
45.2225,15.0311,71,52,-10,-2,-40.2,-73,-71
45.2954,19.4025,147,-21,-13,-21,24.9,15,-26
45.1063,-8.1322,71,-100,-45,-5,65.9,253,65
44.9483,-30.1725,113,35,-7,13,-20.2,-18,-58
44.7129,-52.0958,101,-27,-40,14,11.5,103,-4
46.04,61.7058,23,-70,-79,-28,-2.2,722,-694
45.9525,60.3122,92,46,-23,-13,-50.6,-39,-8
45.7175,47.1103,46,-88,38,-22,96.7,66,-62
45.3442,6.2489,66,-8,-27,-20,16.5,41,-89
45.6083,26.6092,21,-19,-23,-6,9.5,233,-168
45.0821,-37.4544,47,-9,-4,-10,12.1,15,27
45.1812,-27.6417,93,48,-24,-9,-2.0,-36,-118
44.8537,-54.2544,56,12,7,-15,8.4,-70,-4
46.3012,65.5517,66,6,-2,-11,-7.2,-25,-24
45.6142,22.3733,72,-39,-22,-5,27.0,100,-32
45.3337,-17.23,87,-31,24,-29,35.1,-29,78
45.2679,-33.1097,69,-25,-22,10,7.0,103,15
45.5383,-6.4944,32,-3,-25,-13,13.9,80,-141
45.8983,36.4419,43,-35,-19,2,19.0,165,-47
45.4067,-28.0914,30,10,-81,-17,38.0,279,-439
46.1037,50.0322,36,66,5,10,-51.5,-209,144
45.5104,-18.2075,104,23,1,-10,-2.6,-38,-35
45.2204,-49.7583,69,-12,8,5,-7.8,12,40
45.8692,23.0614,34,-24,-7,0,16.9,111,-1
45.6358,-15.2725,48,-37,-13,-12,31.6,106,50
46.7054,67.4103,90,16,2,-9,-11.1,-33,-1
45.7571,-2.0864,53,-41,-14,-11,35.5,109,22
46.2488,46.5847,65,6,-32,-15,-20.0,36,-91
45.8671,6.2267,76,24,-14,0,-18.7,-12,-57
47.7671,78.3767,118,-2,-4,4,-0.6,10,3
45.9617,6.1331,31,-40,-15,3,24.7,232,51
45.4704,-47.5589,73,6,8,-14,7.3,-45,9
45.9121,-5.6661,35,5,-68,26,-20.5,333,-264
46.5287,53.0511,55,-14,-11,-14,5.5,30,-78
46.2371,34.77,104,-10,-53,-108,22.5,-24,-239
45.8829,-10.975,49,32,-12,10,-24.6,-25,-110
46.3462,32.0967,72,8,-18,7,-16.9,32,-17
46.3333,29.5403,103,-37,-54,-8,12.7,109,-76
45.6787,-49.8647,112,-42,-47,-7,34.2,97,24
46.2612,2.9411,78,-10,-4,-7,11.2,13,-5
46.2071,-12.1714,104,19,-37,4,-8.7,33,-76
46.6846,42.5875,143,2,-49,-16,-22.7,35,-58
45.9592,-51.4094,69,-38,-27,-14,28.2,100,68
47.1071,57.0128,32,-19,-17,-4,3.7,130,-108
48.0812,75.0653,121,-77,8,-14,52.0,51,-90
46.8833,39.0867,102,8,1,-16,-2.0,-27,-27
46.6062,3.2644,128,28,-14,-5,-16.6,-15,-42
46.9142,36.6175,43,-55,-45,-22,32.2,242,-219
46.5162,-13.4347,76,-15,-4,-8,15.1,20,13
45.9033,-59.7378,42,20,-6,-15,17.3,-72,-64
46.1379,-51.3219,57,-30,-18,-11,20.4,89,71
46.3258,-40.9842,83,-14,-18,-14,23.3,34,7
47.0663,44.2056,100,-6,-40,-18,-12.2,43,-79
46.6175,-8.5894,114,33,-23,-7,-11.4,-12,-71
46.0133,-59.9686,99,25,-39,-19,41.8,5,-59
47.2667,49.6131,11,-77,-18,23,49.4,1263,-92
46.7,-5.0508,141,-22,1,-27,34.7,-2,3
46.9604,25.5519,62,27,-27,-9,-27.1,-6,-99
46.6737,-13.3189,90,-10,-31,12,0.5,76,-31
46.2287,-57.1661,53,10,-11,-21,23.5,-34,-23
48.3646,74.2961,78,30,-45,-18,-55.9,12,-21
47.7096,63.7875,79,-12,-33,-17,-15.1,54,-80
47.1063,26.3308,39,156,-124,-68,-139.3,-209,-830
47.3954,48.6244,118,40,-69,4,-71.9,47,-40
46.9317,0.8611,60,-28,-20,-54,58.4,6,-95
46.8271,-13.7617,31,21,-28,-16,6.3,-8,-261
48.1629,71.5556,49,-3,2,6,5.0,15,16
46.82,-20.6486,83,22,-8,16,-21.6,3,-46
47.1692,25.5917,77,-17,-5,-14,18.5,15,-29
47.1046,10.7958,88,35,5,-7,-21.0,-63,-31
47.1846,15.3347,41,25,-42,-1,-27.5,70,-195
46.2088,-65.1844,133,-10,17,-21,2.8,-25,38
47.7692,55.7331,65,-26,-36,-5,-1.8,117,-86
48.1958,67.4003,65,-15,-45,-12,-22.1,103,-95
47.2937,7.4603,77,-16,4,-17,23.6,-5,0
47.0021,-39.305,92,68,-45,24,-14.5,10,-191
46.8954,-47.0394,56,24,-37,-22,35.7,1,-127
47.5412,18.3456,57,2,-47,27,-27.7,164,-59
47.2183,-24.8875,30,-49,-21,-17,40.6,227,136
47.4846,6.7047,101,-17,-55,12,-0.4,109,-57
47.11,-37.8522,54,-32,-2,-49,50.7,-22,115
47.4867,3.0608,124,-4,-50,1,-0.2,62,-59
47.4646,1.4842,115,-14,-25,-7,14.2,38,-29
47.6154,15.9903,94,-23,21,0,22.6,-2,49
45.4929,-78.7781,115,-16,-22,12,2.9,54,0
48.0471,46.3858,110,18,-6,-22,-14.6,-33,-35
47.3188,-33.9308,117,50,-15,-12,1.8,-43,-87
47.1675,-48.0164,77,-11,-26,12,5.2,82,-20
47.3667,-37.8611,163,60,-34,2,-0.8,-12,-88
48.1267,43.8606,41,-29,-19,12,11.5,175,-21
48.0396,37.2175,42,26,-11,-2,-26.2,-38,-39
47.6804,-6.5258,69,-26,-16,-5,21.4,67,2
47.9183,8.9369,75,1,-10,-25,14.1,-19,-62
48.4587,51.7847,81,-42,-18,7,23.0,99,-34
46.3421,-75.6953,143,22,-23,-19,35.1,-10,-15
47.5504,-43.7208,114,-8,-41,-18,37.6,43,-23
48.1371,18.9433,104,-8,-10,-10,9.3,12,-25
47.8779,-13.5242,82,31,-25,-17,0.9,-23,-110
48.2612,32.8964,42,-42,-21,-1,27.2,183,-63
47.5162,-50.8322,85,-31,-21,17,-0.6,98,27
48.44,36.14,38,-23,-11,1,14.5,111,-33
48.1933,-1.1958,22,-20,-19,-7,19.0,194,-70
46.9079,-72.3217,43,-11,2,19,-16.5,70,-10
48.0187,-28.9875,14,-37,17,31,-19.4,371,612
47.3475,-64.8544,110,14,-11,-7,15.2,-8,-23
47.9687,-39.0231,42,-3,-12,14,-5.6,85,-31
47.5363,-62.3575,83,52,-20,-12,27.8,-55,-113
48.5196,18.3036,41,26,-33,-23,-16.4,-22,-231
52.4633,84.0386,85,-12,-30,-8,-18.1,54,-44
50.2842,77.0672,84,6,2,-9,-5.1,-23,-8
49.0321,51.5667,56,-9,-8,-18,4.4,3,-80
48.5117,0.7392,48,-28,-14,-13,28.4,76,-14
48.1071,-44.4197,44,-12,-22,-4,17.0,92,-6
48.3908,-24.8761,88,28,-56,0,6.1,52,-140
48.35,-28.9744,93,13,-34,19,-8.8,57,-70
48.6967,8.9806,22,6,-61,9,-17.4,401,-403
48.9462,32.8567,62,-10,11,-2,13.9,-10,20
48.2262,-47.155,38,10,1,-20,15.4,-90,-17
48.6367,-9.6867,101,-18,-15,-5,17.1,37,-4
49.0071,35.045,56,61,0,-16,-46.2,-154,-45
48.8437,-1.1786,95,-69,-78,27,29.4,228,-28
49.8967,67.2375,48,28,-16,-14,-33.2,-52,-17
49.0129,11.6283,99,-82,-58,17,45.1,194,-10
48.8721,-18.1747,104,10,-13,-14,10.0,-9,-38
49.2563,25.5867,77,-20,-12,-8,16.5,39,-31
47.5804,-74.2969,47,-57,8,-28,-3.5,53,280
48.9725,-14.7989,47,-14,-38,-31,40.6,77,-118
49.4333,38.6392,72,-36,-26,3,18.0,112,-44
49.4167,31.1269,27,2,6,-15,5.9,-102,-57
49.1692,-3.53,50,-9,-21,0,7.2,78,-46
50.2096,67.7561,137,-54,-29,-19,15.8,56,-77
49.1487,-9.1544,35,-1,6,6,-5.3,-2,45
48.7762,-45.6647,24,-6,16,-15,4.3,-132,144
48.7175,-50.5519,95,-10,-2,17,-12.1,34,6
49.6329,38.4586,59,-53,-20,-7,37.9,131,-74
49.3596,7.6556,49,-44,-24,0,31.3,167,-6
49.91,53.7103,83,-27,-30,-17,5.4,63,-90
49.3863,7.69,50,-44,-26,0,31.5,170,-9
49.5829,18.1714,52,83,-22,16,-80.8,-83,-105
51.0183,74.1708,53,-32,-53,-10,-18.5,182,-152
49.6129,15.1772,57,15,-57,-50,5.7,13,-286
49.6717,18.4728,64,-9,-14,-5,7.1,39,-36
49.1854,-41.2706,78,-3,-10,-11,14.4,7,-3
50.03,47.2814,48,-29,-19,-6,14.8,108,-92
49.4612,-26.3522,101,-17,-26,-9,23.9,44,-12
48.7958,-64.4436,112,38,-19,-15,28.8,-30,-58
50.5204,62.7411,106,-17,-14,-7,2.9,27,-36
49.8708,19.7203,88,-46,-23,-1,33.6,92,-17
49.7575,-2.8431,25,-25,-30,-5,22.5,255,-102
49.84,3.37,9,-21,-4,-5,18.7,270,94
49.6713,-18.5597,37,-10,-24,-3,14.2,110,-59
50.1279,35.2681,78,-6,13,-11,14.2,-30,-1
49.6829,-25.4289,79,-11,-21,-24,31.8,19,-23
50.4862,52.6217,77,-49,-41,12,15.1,162,-62
52.0133,78.4786,85,-4,-21,-1,-12.4,38,-18
50.4688,49.0708,46,-43,-21,7,23.3,181,-64
50.1904,23.1839,154,2,-5,-9,1.3,-4,-14
50.0087,-1.5919,120,-3,11,-23,17.7,-32,0
50.8312,61.2861,85,-21,-9,8,10.7,52,-13
50.1404,12.3464,66,-61,-19,-4,48.0,135,10
49.6612,-42.6419,98,7,14,-13,1.8,-43,8
50.1542,9.0333,51,-37,-56,23,8.5,286,-63
48.1304,-77.915,114,-35,-13,0,-1.6,51,46
50.2554,19.4761,102,-31,-34,-15,25.8,64,-57
49.9058,-25.5789,193,22,-6,-2,-5.9,-9,-22
49.8238,-35.0042,102,5,-16,-13,16.2,2,-27
49.8479,-36.5647,81,-49,-25,2,23.4,112,66
49.4421,-62.5753,12,-70,-47,16,12.1,1338,650
50.2225,1.1647,67,-60,-40,-22,58.6,142,-38
49.9746,-30.2258,143,-14,-9,9,1.8,27,8
49.9121,-34.0236,52,-16,-20,-5,17.7,76,4
50.0121,-28.7836,36,-37,-62,-2,39.6,348,-67
50.0146,-28.8539,36,-37,-62,-2,39.5,349,-66
49.9817,-43.0697,6,-78,-92,-29,87.2,3038,728
49.4204,-63.0772,118,78,-21,-61,68.0,-107,-82
49.5533,-62.5061,12,-70,-46,16,11.6,1331,647
50.6654,41.9261,137,-30,-15,-16,22.2,25,-39
50.1158,-24.1144,115,-15,-34,-12,28.2,45,-24
49.8746,-45.1047,91,-60,-9,-25,34.5,56,116
50.9471,54.5922,74,-24,-36,22,-2.8,139,-15
51.4787,69.1533,52,-15,-14,-1,0.9,65,-52
50.4325,8.7564,61,17,-16,-18,-3.0,-27,-98
50.1883,-26.6064,49,-19,-11,-15,24.4,40,23
49.4342,-68.1597,119,-13,11,-2,-9.2,-3,26
50.8683,33.3319,113,-10,-36,-26,3.5,28,-81
50.4917,-12.3314,110,6,8,-16,8.0,-33,-5
50.0487,-52.0317,34,21,-5,-12,11.3,-88,-107
50.3871,-32.4175,115,-39,-28,-2,26.5,69,25
49.7517,-65.8881,105,33,-28,-4,27.1,-2,-68
50.8237,-7.7939,37,-4,-34,-45,41.3,0,-219
50.8171,-11.3469,107,-54,-41,-5,43.1,103,4
48.99,-77.3883,29,-9,-23,-9,19.4,114,62
51.0596,17.5494,81,-28,-13,-29,36.2,18,-56
50.3492,-52.855,45,-39,-19,-12,22.3,123,132
51.5075,51.4183,61,57,-4,10,-50.2,-71,74
50.5696,-41.3153,62,-41,-10,-10,21.7,76,102
50.8542,-14.8758,51,-16,13,5,2.5,11,86
50.7783,-29.3653,146,-16,-12,5,6.8,27,7
50.6587,-44.1317,119,8,-8,25,-17.6,27,-27
52.2254,69.2828,69,14,-1,6,-8.9,-9,35
50.3508,-61.4881,54,17,-8,-11,15.4,-36,-48
51.1029,-15.6536,52,-28,-61,0,29.4,221,-100
51.0158,-26.0367,113,2,-26,-14,20.2,15,-38
49.7404,-73.9861,78,34,-10,9,11.1,-18,-93
50.8967,-40.0764,17,-8,-7,-10,13.4,41,42
50.7196,-51.3122,111,-21,-22,-38,45.3,9,35
51.5875,35.3406,75,7,9,-8,-0.1,-40,-1
51.2942,-6.7356,70,-8,-2,-9,12.3,1,-1
51.2525,-14.1158,117,-37,-19,-2,27.1,54,18
51.6471,28.715,50,-29,-14,-23,29.1,46,-101
52.1225,57.6717,91,-56,10,-5,50.5,42,-45
51.3125,-15.0392,69,55,-44,-89,49.8,-147,-276
51.5362,12.4817,73,40,7,-1,-31.0,-72,-24
51.3025,-21.0725,79,-42,-8,-34,50.6,21,49
51.0717,-45.0967,134,-46,-47,0,33.8,86,24
51.8587,38.0422,106,2,-37,-31,-9.5,13,-94
51.8721,34.8064,71,17,-25,-13,-20.3,3,-76
51.3954,-38.3125,87,-47,-51,0,37.2,140,24
51.5462,-30.6178,31,-48,-8,5,17.1,216,227
53.0058,67.5917,139,-28,-30,-15,-2.5,38,-54
52.0542,7.3022,74,38,-20,0,-30.5,-15,-83
52.0362,-2.4794,103,-20,-22,-3,17.5,47,-15
52.0875,-6.5308,45,-57,-90,-19,63.7,358,-194
52.6875,42.2022,77,-30,-20,11,14.6,93,-19
52.2042,-10.17,68,-40,-9,-12,35.7,58,44
52.9721,56.4403,107,-27,-19,-2,10.6,48,-39
51.2196,-68.3344,97,-19,-37,-19,35.5,52,37
51.9321,-43.8558,66,-16,-7,-1,7.6,40,32
52.7667,39.6444,121,-67,-43,8,37.9,114,-46
52.9487,50.4142,101,29,-27,17,-40.5,29,15
52.0833,-36.0131,99,-20,-11,30,-13.5,74,19
52.7879,39.1475,119,-28,-18,-4,18.2,41,-30
52.325,-10.5547,81,-4,9,-13,10.6,-30,12
52.6267,20.1031,46,-36,-28,-1,25.0,162,-59
52.2554,-24.8956,88,2,1,-10,6.8,-16,-5
51.8017,-58.3236,32,-30,-46,-13,39.1,251,95
52.3867,-16.9986,149,3,4,-10,5.2,-14,-2
51.4008,-69.3364,39,-7,-7,-15,14.1,1,66
52.3958,-23.4756,110,-39,-18,15,11.9,75,36
54.2271,74.6283,62,39,-9,-22,-38.3,-86,13
53.1092,46.0567,36,43,-25,-9,-47.5,-53,-75
52.8142,20.7681,50,25,-16,-44,-3.7,-113,-195
52.8058,19.7828,84,-14,-1,11,6.4,34,24
52.6983,5.1525,214,29,3,-6,-17.8,-19,-13
53.4217,57.8686,72,62,-41,10,-74.0,8,36
52.9267,23.6494,105,-61,9,7,51.3,55,41
53.0825,38.0619,22,-11,9,-13,16.3,-75,-50
52.6667,-19.4356,42,4,1,5,-6.6,-1,-6
53.3371,47.95,94,-60,-20,16,38.9,114,-24
53.1662,35.6592,49,-41,-18,-1,29.6,133,-59
52.9283,8.7675,74,-7,33,19,-4.2,-22,106
53.4483,52.2881,81,-27,-34,-4,3.8,87,-73
52.4475,-47.3925,69,-35,-11,-5,15.2,65,79
52.5562,-41.3697,34,20,-23,-13,18.2,-11,-173
53.7542,60.0414,56,-9,19,3,18.8,-25,28
53.3004,33.3586,90,-3,-10,0,-0.8,20,-16
52.8563,-16.7789,123,-79,-46,-34,83.5,84,22
54.1083,67.9519,59,0,-17,14,-8.5,70,19
52.7096,-37.3722,40,-1,-17,-86,79.1,-195,-22
52.6746,-40.1189,86,52,-14,-1,-4.6,-40,-126
53.2396,16.5983,55,15,-15,-15,-6.6,-23,-93
53.1079,-4.3608,53,-26,-45,-5,26.6,157,-86
53.0637,-7.09,98,26,-3,-11,-8.6,-36,-47
53.0992,-8.6036,65,56,-46,-17,-16.2,-22,-235
52.3442,-62.9375,21,-50,-23,-3,12.9,383,374
52.7704,-46.6144,86,10,-36,7,14.2,56,-65
53.6871,38.8056,72,-13,-25,-3,1.7,62,-57
53.0546,-31.5703,157,-25,-15,-2,17.4,28,14
53.0938,-33.5011,117,-2,-59,60,-20.9,135,-59
51.9046,-73.4394,65,-42,-15,-14,9.3,75,129
53.8992,42.8875,54,-107,-5,-26,95.5,149,-155
53.755,32.0167,70,-5,-22,3,-3.7,57,-37
52.9912,-49.8867,101,41,-22,-21,25.5,-36,-85
53.8596,35.4797,37,47,-18,6,-49.9,-42,-31
52.7188,-62.0078,47,-6,-8,-2,7.0,33,18
53.705,16.1272,120,29,-4,-38,-5.6,-59,-60
53.4383,-15.1278,50,23,-14,-21,6.3,-58,-130
53.0075,-52.4736,51,-9,-65,-14,52.0,162,-61
54.0392,42.3394,45,-67,-14,-17,55.2,143,-146
53.9075,31.6803,84,-32,-9,9,22.3,67,3
54.0567,41.7228,61,-27,-22,-15,17.4,63,-99
53.7042,6.4175,144,21,2,-9,-10.6,-24,-17
53.7642,11.0458,75,-3,2,-9,8.2,-15,-7
50.3546,-82.4778,109,-14,-52,-6,36.7,73,21
53.2658,-46.7222,54,-7,-16,-6,15.6,41,-3
53.7921,5.7139,60,-31,-9,-30,42.8,11,-34
53.6587,-12.2978,64,-12,-31,-18,27.7,53,-67
53.4862,-31.08,42,5,27,25,-33.6,-29,68
53.2717,-46.7794,83,-26,-2,3,2.5,39,55
53.8037,-0.7389,51,6,-38,5,-5.2,104,-120
54.0825,28.9611,72,-29,-7,-24,32.1,12,-59
54.0129,16.4672,45,68,-9,-60,-27.5,-287,-289
54.1013,20.0675,93,-45,-37,-7,34.6,95,-51
53.1825,-60.5742,73,-38,-22,13,2.6,116,61
54.995,64.2853,91,11,-17,-13,-20.9,-5,-28
52.5646,-72.9811,99,-24,-6,-23,13.0,6,66
54.995,63.8703,44,-39,-20,-5,16.7,132,-143
54.2958,25.9911,37,-57,-48,-29,49.0,236,-271
54.3662,31.12,55,54,14,-4,-42.5,-140,19
54.9046,59.37,60,-30,21,-5,36.1,-11,-23
52.7721,-72.3733,79,30,-21,-7,26.9,-13,-68
54.1967,0.5875,29,19,-14,-5,-9.9,-21,-162
54.1967,0.5875,29,23,-14,-2,-15.0,-21,-162
54.0537,-18.55,124,32,-35,12,-16.2,26,-75
53.9604,-26.7872,152,-7,-21,-4,14.4,20,-12
54.3358,15.0953,68,-12,-7,-30,25.3,-23,-63
54.2179,0.4017,14,2,-16,-42,27.8,-233,-482
53.3937,-62.6403,98,-43,-22,-9,17.6,63,75
55.8004,73.3997,152,-83,-42,-9,25.3,82,-95
54.1987,-14.0992,85,40,-37,-14,-4.2,-6,-140
53.6942,-53.7414,166,24,-3,1,-0.2,-11,-29
54.7379,42.5381,42,49,-9,-36,-40.5,-190,-131
53.2483,-67.4194,49,22,4,-3,3.2,-66,-73
54.4683,5.6411,65,2,11,-1,-0.7,-29,21
54.2421,-28.1314,49,63,-14,6,-26.1,-73,-246
54.2142,-33.7806,53,-28,-33,-40,57.5,46,12
53.9271,-53.2058,90,-5,-31,17,7.1,77,-29
53.6883,-62.4567,41,-20,0,4,-4.1,60,80
54.0421,-51.2158,59,50,-21,4,5.7,-27,-192
54.3387,-34.6494,143,-37,-49,8,30.0,80,3
55.0304,34.1167,46,11,10,-4,-5.6,-64,19
54.8896,18.3847,37,-8,-46,-3,1.2,187,-192
62.5067,86.6261,41,-17,-30,4,-11.3,143,-87
54.2225,-49.9578,42,-9,-20,-1,14.4,87,-1
55.3567,50.8214,92,64,-7,15,-58.7,-35,59
54.5138,-32.7411,183,11,-1,-4,-0.3,-8,-11
55.2338,41.1886,81,96,-14,39,-98.3,-28,89
56.4888,73.0347,65,-8,36,7,31.6,-52,38
54.8479,-20.5889,103,-7,-7,-3,8.7,12,-2
53.5554,-72.8456,86,-43,-18,10,-4.3,94,70
54.6096,-46.2433,79,13,-38,-17,33.5,25,-70
55.6733,51.1731,70,-97,-44,-11,59.3,199,-180
55.0917,-3.2169,24,-110,-85,-45,120.3,692,-213
55.0446,-9.0389,109,-32,-21,-5,28.7,50,4
54.9725,-28.5114,62,18,-26,-26,24.5,-21,-110
55.3675,12.6078,65,-6,-27,-10,8.4,46,-79
54.5108,-59.7758,72,-18,-6,-5,7.1,27,45
55.615,32.9392,73,29,-40,-9,-36.7,24,-97
55.0121,-34.5497,94,44,-29,6,-5.8,6,-119
54.5425,-59.7761,71,-17,-5,-4,5.4,27,43
55.5662,22.7864,53,-16,-13,-18,19.4,21,-76
56.5037,67.2014,55,-29,-22,-9,5.4,82,-114
55.3071,-11.8022,92,-44,-20,3,30.3,80,33
55.4225,-2.8475,60,35,6,14,-35.2,-40,-26
55.6713,21.2814,127,-2,2,2,1.2,2,5
55.9483,42.6033,43,-69,-67,-1,31.3,363,-259
55.6533,17.2933,26,13,12,-3,-8.1,-125,32
56.3371,60.3508,77,20,4,-14,-14.7,-55,-2
55.7771,25.6847,68,57,-8,10,-56.1,-43,-17
54.9779,-51.6869,117,9,-13,-6,12.0,3,-22
54.9292,-52.9158,35,29,14,-15,0.5,-191,-96
55.5171,-17.1458,83,-21,-27,-17,32.9,42,-21
55.4967,-24.6522,41,-14,-29,11,8.9,165,-34
55.5233,-31.6078,98,21,-4,-17,7.0,-37,-42
55.5246,-31.615,115,-21,-32,-8,29.6,47,-5
55.1675,-53.7381,80,-15,-49,-7,38.4,92,-8
55.6658,-20.5453,57,-14,-1,-12,17.1,1,26
56.1875,27.9208,29,-53,-17,-19,49.6,164,-155
55.9763,3.4461,40,-51,-13,-12,47.7,129,35
55.4558,-48.2392,96,34,-20,-10,15.5,-18,-81
55.5408,-45.9578,39,-4,-14,-41,40.8,-73,16
56.1646,10.1778,49,-4,-66,-9,5.7,171,-231
55.5354,-49.4267,129,-11,-19,-10,21.0,18,7
56.2454,8.3194,129,-11,-24,-11,14.6,23,-33
56.7942,51.7061,56,-11,-22,-6,-2.4,58,-77
56.4254,24.9058,85,-9,-17,-12,8.6,20,-48
56.2612,2.6211,81,25,-14,1,-19.2,-3,-54
56.1775,-10.7764,56,-15,-21,-29,35.4,12,-57
56.72,41.8592,65,60,-4,9,-56.0,-58,44
55.7696,-50.6431,37,-92,1,-26,28.5,143,501
56.5525,23.1283,85,5,-22,-5,-6.7,22,-50
57.125,57.7675,49,-20,-2,12,15.6,73,3
56.0379,-38.2817,16,-34,-14,-14,29.1,210,291
56.8196,41.5967,98,-5,-20,19,-6.8,58,3
57.0958,52.0378,38,-5,-16,-4,-3.8,56,-73
57.1558,51.8231,62,39,-13,-22,-39.4,-74,-43
56.1892,-38.8178,44,-20,-17,-49,53.3,-46,52
56.3504,-27.8622,22,-40,-25,-6,33.4,296,146
57.0012,40.5306,52,4,-9,14,-10.2,53,23
57.0046,38.3442,53,34,1,-2,-29.4,-65,9
56.8212,23.7267,65,13,0,-8,-8.4,-35,-25
57.2254,50.84,71,-1,-28,-18,-12.3,24,-89
56.9542,32.1953,56,6,-4,-9,-3.7,-20,-35
56.1967,-45.9261,113,-51,-38,-15,43.7,71,57
56.5546,-24.3908,85,-22,-11,-8,21.4,29,20
57.2612,44.3433,76,-36,-18,-3,24.5,70,-57
57.0296,24.1419,154,-4,-24,-18,5.6,8,-40
56.7117,-23.2497,18,36,-23,-22,7.3,-160,-529
56.5396,-41.2061,82,-28,-29,-9,30.1,66,26
57.6771,54.7842,99,23,2,-7,-18.4,-33,8
57.2371,23.8569,75,-15,-24,-8,12.3,48,-59
57.7317,55.3483,76,-2,-30,-7,-15.1,45,-62
57.2504,21.3419,141,-19,14,-13,24.5,-14,8
57.2337,16.4594,67,-10,-14,-42,27.8,-40,-106
56.8329,-29.9017,39,-7,-28,14,4.9,165,-56
50.1579,-86.1381,124,25,-32,-16,43.0,0,-14
57.1579,-4.4211,53,-24,-16,-17,31.9,41,-22
57.1625,-6.8156,44,-11,5,-16,17.9,-43,21
56.4229,-60.7378,84,-29,6,1,-6.4,24,69
57.3625,11.1442,115,-8,-3,-30,22.5,-25,-33
54.3575,-81.0181,57,-16,3,11,-14.3,44,22
57.5142,22.5914,37,-16,-25,7,6.9,156,-62
56.9929,-33.5961,59,-12,-52,-33,56.0,67,-73
56.7979,-50.6369,113,-25,6,32,-25.9,50,35
57.4108,-2.3283,55,7,4,-16,4.7,-58,-28
57.5954,17.4761,46,11,-59,-14,-9.9,115,-254
57.2983,-17.9714,38,7,7,-12,2.5,-81,-16
57.7446,29.655,91,1,-29,-24,-1.0,9,-87
57.5367,6.6206,33,-5,-11,1,3.9,62,-38
56.195,-70.0264,55,29,-22,-8,27.1,-11,-97
56.2563,-70.0239,52,28,-22,-8,27.3,-10,-98
57.195,-40.3992,52,-32,-30,-17,38.6,92,57
56.1975,-71.7033,114,18,4,-12,8.1,-33,-17
57.6733,-4.6222,73,28,-72,-38,16.8,34,-242
57.4783,-25.5028,95,-45,-5,-26,44.0,14,62
60.8796,81.5767,95,-15,6,-18,6.3,-23,-47
59.1258,71.8214,60,7,8,-12,-1.9,-56,-7
57.6462,-11.9956,74,-19,2,-27,31.0,-29,14
58.0367,29.6117,31,-12,-8,-25,16.5,-38,-152
58.4317,53.2728,63,6,-9,-22,-9.2,-36,-68
58.0229,22.6714,27,-14,-48,-16,10.6,208,-341
58.0471,25.1631,40,49,-16,-21,-39.7,-122,-164
57.1971,-53.1822,51,7,8,-7,-0.6,-54,-6
57.495,-42.8872,69,-32,-20,-35,46.7,15,68
57.0046,-64.8364,42,-44,-55,20,20.8,336,99
58.2471,26.6783,88,-35,-62,-15,22.6,109,-126
57.3492,-53.2431,170,31,-16,-10,15.5,-11,-39
58.0325,-3.5967,80,4,-6,-18,10.3,-24,-38
58.7129,52.4197,65,-151,27,-17,143.2,106,-150
58.2917,17.3269,41,-41,-19,-2,35.0,145,-30
58.4071,28.1481,111,-39,-35,24,18.8,103,-11
58.1283,-5.0539,77,-23,3,-8,21.3,8,31
