#oid vrad verr R
878 13.6975 7.071 0.84
3 41.1261 3.834 0.94
310 62.7382 6.834 0.67
325 2.2522 1.988 0.96
429 -46.6274 3.446 0.95
748 21.1402 6.086 0.85
374 29.8844 6.289 0.81
761 49.066 10.429 0.82
661 311.0134 4.44 0.89
225 -25.2397 3.577 0.94
465 42.9959 3.83 0.93
751 40.5953 5.278 0.86
50 -8.2164 5.292 0.89
1022 55.559 8.692 0.86
436 11.908 5.578 0.93
979 103.3285 5.978 0.93
298 151.3033 13.658 0.85
600 75.2086 9.732 0.74
590 136.7049 11.8 0.78
798 256.8249 8.984 0.65
1023 28.4032 6.181 0.92
196 -9.0885 3.885 0.93
709 16.1068 20.329 0.5
694 -173.8316 43.234 0.39
309 30.1087 4.888 0.93
233 49.181 2.594 0.95
539 38.3855 10.188 0.77
1027 52.0819 13.559 0.58
815 90.4048 34.94 0.57
201 -8.4296 3.437 0.94
18 -8.4801 7.651 0.91
24 -29.4876 3.84 0.94
537 -0.7943 8.035 0.88
945 30.2463 6.029 0.85
719 22.0234 9.72 0.73
304 -3.3928 2.084 0.95
283 26.7186 3.453 0.95
531 142.0811 7.152 0.81
862 24.7389 8.978 0.81
721 105.9394 4.852 0.94
41 63.1697 3.478 0.94
47 12.4014 5.268 0.88
297 10.4683 4.052 0.93
54 54.9039 1.977 0.94
995 -20.7206 4.095 0.92
546 -2.337 3.79 0.92
316 17.0889 3.003 0.95
306 -19.3457 1.712 0.96
312 -0.7938 2.295 0.95
87 -10.8735 3.309 0.94
340 -10.4149 6.265 0.91
322 50.7955 4.878 0.87
98 67.2429 5.882 0.77
725 61.337 10.094 0.81
324 -19.7235 3.033 0.95
562 -8.2282 8.681 0.8
344 6.2844 3.851 0.92
865 30.1025 8.906 0.72
728 -38.997 6.82 0.88
350 90.2003 8.022 0.74
143 217.3646 5.202 0.84
333 -3.7152 2.611 0.95
161 74.756 5.655 0.89
338 2.7917 3.134 0.95
175 108.6799 3.562 0.96
183 0.1905 6.142 0.88
192 123.8113 5.339 0.9
200 37.7473 2.489 0.92
38 20.0246 3.435 0.91
752 19.3432 8.462 0.76
377 -3.6097 3.19 0.94
68 19.6974 3.594 0.92
755 27.3194 5.427 0.9
651 95.0397 3.024 0.94
102 32.3123 6.952 0.94
392 -1.8197 6.409 0.87
757 62.6983 15.605 0.79
121 2.0926 6.257 0.9
131 64.0211 3.045 0.95
652 -7.1689 3.436 0.95
1005 0.6046 4.405 0.89
160 177.7165 3.484 0.92
172 -26.7587 3.298 0.96
184 158.1072 2.739 0.94
658 15.092 2.943 0.95
802 40.6739 14.375 0.79
437 19.7137 2.836 0.95
439 9.1496 5.674 0.91
703 124.7831 10.419 0.83
42 45.6193 2.96 0.96
443 40.0933 4.589 0.9
803 15.6636 3.172 0.93
55 50.7874 3.62 0.94
458 -5.21 2.699 0.95
708 59.6244 14.997 0.78
804 28.2489 6.467 0.87
85 -24.8431 2.89 0.95
711 21.557 14.178 0.71
486 -28.9967 5.3 0.91
491 -9.7556 62.654 0.61
509 144.7136 4.324 0.9
120 -55.5167 2.679 0.93
807 9.5637 5.165 0.94
519 -30.5843 3.089 0.95
718 48.7268 12.682 0.55
808 159.0926 7.198 0.89
136 40.7792 4.711 0.93
810 42.5937 8.26 0.87
813 106.5014 14.184 0.67
814 6.3204 6.402 0.91
165 43.7386 4.596 0.92
173 -22.1032 3.533 0.95
819 284.1643 17.773 0.61
918 39.1335 121.94 0.51
194 57.0687 3.024 0.95
684 -3.8667 6.72 0.79
