#oid vrad verr R
56 36.249 2.029 0.95
275 3.4921 2.73 0.95
138 38.3969 3.359 0.95
20 24.037 13.038 0.82
27 -39.6082 3.147 0.94
58 46.2198 4.55 0.91
92 16.4169 3.511 0.92
152 -30.5958 3.433 0.93
154 14.9709 5.239 0.92
59 30.8891 3.121 0.95
179 91.9004 7.254 0.76
476 7.9707 3.581 0.96
62 60.3918 6.764 0.8
67 45.517 3.439 0.95
93 57.0327 9.432 0.79
96 60.9768 2.93 0.94
99 9.6683 5.221 0.9
111 26.8681 3.566 0.96
163 60.3426 3.212 0.94
115 271.7777 11.437 0.77
71 -35.3643 5.053 0.91
170 29.1733 2.898 0.94
406 29.3224 3.787 0.93
177 -3.3705 6.089 0.89
769 16.4965 10.201 0.82
441 -43.6148 2.584 0.96
492 215.5222 3.989 0.92
444 -14.9529 16.776 0.61
191 25.4552 4.867 0.91
498 19.6945 3.033 0.94
503 -3.6497 4.008 0.92
513 45.1138 4.419 0.89
520 -22.0666 2.179 0.95
522 101.7721 12.747 0.59
524 55.2801 10.012 0.7
101 -17.4062 9.456 0.88
533 41.8045 7.426 0.89
534 87.8097 3.636 0.93
545 56.4713 10.913 0.72
555 27.311 3.885 0.95
559 1.3746 3.734 0.89
140 87.1585 6.144 0.9
579 37.6935 2.69 0.95
581 22.6003 3.484 0.93
582 0.4855 7.944 0.81
706 -1.2556 11.0 0.66
180 20.2718 6.563 0.82
591 101.5995 6.836 0.86
756 42.1154 14.809 0.71
300 4.1723 2.355 0.96
615 -7.1973 3.658 0.93
623 -15.1316 3.282 0.92
626 28.5288 3.437 0.95
13 17.1965 3.802 0.93
787 225.513 7.569 0.67
641 20.8884 19.771 0.76
647 15.7155 5.324 0.93
650 -19.6235 3.977 0.95
657 61.7998 8.138 0.84
817 172.7722 7.5 0.82
668 38.3565 5.109 0.88
677 169.5594 6.816 0.8
19 19.4573 1.695 0.95
695 -80.3221 23.121 0.37
696 57.7938 27.346 0.5
699 321.5338 17.191 0.45
864 74.9999 6.132 0.85
729 99.3986 13.466 0.68
1029 -8.0947 5.384 0.89
754 34.0281 5.74 0.89
735 56.3607 7.751 0.73
305 14.2074 3.53 0.94
795 32.6703 11.358 0.83
826 276.2563 5.626 0.89
834 42.2008 5.45 0.78
852 0.3438 4.162 0.9
879 6.4444 3.423 0.95
904 -20.998 14.194 0.55
930 -1.4931 4.849 0.9
933 24.5704 5.751 0.85
950 96.6706 5.963 0.79
965 3.8564 5.717 0.93
899 7.5772 7.886 0.77
1010 92.384 6.767 0.83
927 118.5142 8.171 0.77
1019 175.195 23.559 0.42
1036 93.4446 10.449 0.84
43 -30.7967 3.36 0.95
103 14.4422 4.291 0.92
40 -42.8368 3.211 0.95
613 65.7981 4.515 0.91
867 82.3302 8.871 0.88
1018 63.2811 5.293 0.82
535 -42.2029 11.657 0.82
307 26.2862 3.02 0.96
83 -25.0718 3.238 0.94
112 6.1328 3.065 0.94
1021 92.1197 4.458 0.92
91 -0.3315 2.917 0.94
25 5.5715 2.548 0.95
938 304.2174 7.41 0.85
733 159.4975 6.501 0.91
447 73.5195 10.798 0.84
247 134.7724 5.568 0.85
187 0.5347 2.541 0.96
1037 12.7574 12.362 0.77
960 -26.5701 4.374 0.91
968 62.804 5.618 0.92
560 164.6904 8.272 0.82
197 40.1322 7.225 0.87
9 -4.2624 3.359 0.95
48 19.8777 2.361 0.95
182 -22.4058 1.98 0.95
79 2.41 3.912 0.93
571 209.1801 9.328 0.72
114 20.8649 2.67 0.95
320 145.22 7.863 0.61
670 -18.9722 2.636 0.93
204 -1.2037 3.411 0.93
158 98.4594 10.761 0.69
321 23.4309 3.037 0.95
166 -0.3952 2.09 0.95
176 12.7854 3.945 0.94
203 8.9799 5.956 0.88
323 -38.815 6.51 0.86
251 153.7909 3.426 0.9
220 161.879 4.006 0.94
1011 7.7986 4.767 0.82
389 -37.0333 2.41 0.95
237 168.7254 3.991 0.91
76 248.1994 8.08 0.73
391 44.9201 3.151 0.95
1006 216.5013 77.307 0.54
400 41.2103 3.375 0.91
518 13.5463 2.864 0.95
1016 22.4024 10.156 0.67
420 -45.039 12.941 0.57
353 4.3378 4.258 0.92
576 46.7374 3.771 0.94
648 36.1982 7.067 0.86
214 -24.6106 4.94 0.92
215 17.9273 3.967 0.93
692 13.898 3.023 0.94
222 24.7748 5.468 0.91
360 38.0164 2.105 0.94
228 219.051 4.724 0.84
235 23.1343 2.646 0.94
241 76.2176 3.167 0.94
365 64.8351 8.22 0.82
6 13.6403 2.283 0.95
252 6.7213 6.072 0.89
891 32.5812 11.367 0.73
775 187.856 14.429 0.63
914 32.9739 10.795 0.72
931 54.772 8.49 0.83
697 175.8528 10.209 0.86
855 -30.4823 10.999 0.85
379 3.6962 7.051 0.83
554 -44.5829 4.6 0.88
1028 -4.448 10.364 0.77
1038 120.8185 13.962 0.71
51 0.8342 2.854 0.95
116 -1.9192 2.507 0.94
119 -8.4289 2.972 0.96
415 41.6503 4.439 0.92
598 70.9517 4.938 0.91
375 43.5104 2.642 0.95
937 38.1709 6.818 0.78
384 -47.0631 9.683 0.76
607 -19.3227 2.86 0.94
911 58.0115 3.548 0.92
127 25.1892 5.61 0.92
967 -3.1831 4.607 0.92
371 -24.7299 3.685 0.93
394 17.8008 5.57 0.89
776 17.3871 3.701 0.93
398 8.5993 6.389 0.82
407 46.1785 4.009 0.94
424 240.6272 14.06 0.65
426 1.7415 5.375 0.91
189 -36.8515 6.653 0.9
617 67.6467 6.795 0.87
231 152.8403 3.669 0.92
296 39.4533 4.956 0.93
467 34.4378 6.276 0.88
107 -3.7294 3.074 0.95
676 1.4598 2.956 0.95
438 71.1569 4.686 0.93
471 -13.3302 4.283 0.93
259 -5.6793 3.366 0.95
349 73.752 8.143 0.79
620 36.1997 4.19 0.91
853 2.8158 4.671 0.91
872 72.1719 7.733 0.76
2 69.7379 4.215 0.91
915 70.5648 6.919 0.67
1026 10.7627 6.712 0.81
440 49.0387 14.097 0.66
57 0.9398 3.35 0.94
122 28.9133 3.831 0.93
129 19.6893 3.107 0.94
153 5.9068 5.558 0.93
157 15.4088 2.844 0.93
125 132.829 2.158 0.95
186 48.6724 3.289 0.94
188 61.604 3.406 0.92
