# oid   ra              dec                verr     vgsr                  ew        b                    l                    u           g           r_cone       i            z            err_u         err_g         err_r         err_i         err_z         dered_u     dered_g     dered_r      dered_i      dered_z     
  21    162.752083333   -0.259966666667    6.284    -128.37660052490233   0.7398    50.16035324369173    251.3966055061632    19.196144   17.708755   17.168913    16.992437    16.92019     0.02920953    0.0057606576  0.005124732   0.005756017   0.011269705   18.955723   17.531855   17.04061     16.89515     16.851212   
  22    162.743541667   -0.277936111111    5.347    -52.08269807128907    0.572     50.141524963420224   251.40660511901172   19.24385    17.49854    16.854103    16.623095    16.533579    0.029083805   0.00533491    0.004718617   0.005199985   0.009210169   18.999846   17.319004   16.723888    16.524357    16.463572   
  23    162.978041667   -0.385413888889    3.037    -86.80260013427736    0.8296    50.227185361141125   251.78656937963606   19.372568   16.901348   15.775807    15.289783    15.106399    0.032275118   0.004855849   0.0042184796  0.004335058   0.0056300447  19.090252   16.693623   15.625148    15.175542    15.025401   
  24    162.252083333   -0.0576361111111   3.84     -166.84400068054197   0.6       49.954440632387595   250.6201088338613    18.29783    16.574852   15.900414    15.647853    15.494406    0.013266484   0.004129149   0.0038196363  0.0038694376  0.006035101   18.085724   16.418787   15.787223    15.562023    15.433551   
  25    162.335416667   -0.105913888889    2.548    -131.8257003479004    0.7216    49.97878770891293    250.76500519728253   18.092474   16.209492   15.487547    15.243722    15.09055     0.011592112   0.0038186926  0.0035825681  0.00385649    0.0054366165  17.87726    16.051138   15.372696    15.156634    15.028804   
  26    162.255208333   -0.0780166666667   3.806    -28.23030323486327    0.3093    49.94217124225204    250.64585837217234   19.958868   17.906134   17.091537    16.757376    16.53692     0.03386093    0.005755284   0.0047372216  0.0049075107  0.009142473   19.746555   17.749916   16.978235    16.671461    16.476007   
  27    162.930208333   -0.445913888889    3.147    -177.23929994506835   0.2175    50.150427177152835   251.7982057132369    18.147327   16.701046   16.111921    15.877228    15.761525    0.012302095   0.0042195446  0.004255921   0.0042572063  0.0059695025  17.851725   16.483545   15.95417     15.75761     15.676715   
  28    162.339333333   -0.144780555556    6.417    -140.93310001239774   0.2647    49.95386305202117    250.81176347598276   19.365711   17.987787   17.448658    17.25476     17.110447    0.023426697   0.005873618   0.0052745687  0.005833161   0.012128609   19.149412   17.828636   17.33323     17.167234    17.04839    
  29    162.818291667   -0.431333333333    3.365    -94.62339879150392    0.4458    50.08330657142576    251.65673103596959   18.24832    16.78666    16.169243    15.932179    15.808152    0.013265899   0.0041810554  0.004033799   0.0040399735  0.006071706   17.96555    16.5786     16.018341    15.817756    15.727024   
  30    162.696833333   -0.370308333333    6.012    -113.89520111694337   0.4171    50.04271673379866    251.45466359265964   19.338663   17.9254     17.396652    17.204985    17.118248    0.031329546   0.0061264494  0.005520316   0.006053957   0.012776984   19.076262   17.732328   17.25662     17.098803    17.042963   
  31    162.836333333   -0.471594444444    3.026    -142.58859994335174   0.8437    50.06683642158129    251.72050305946345   18.770004   16.746185   15.984925    15.7506485   15.638767    0.01756938    0.0042272285  0.004050016   0.0041245385  0.005740851   18.476751   16.530413   15.828429    15.631982    15.554631   
  32    162.656625      -0.370044444444    3.869    -103.31519849243165   0.5834    50.01490619258687    251.40947486152317   18.470125   16.53828    15.785863    15.531557    15.399852    0.019000666   0.0043320456  0.003889073   0.0044303164  0.0060578906  18.212585   16.348785   15.648425    15.427342    15.325962   
  33    162.848833333   -0.51895           5.851    -86.86000025634766    0.8395    50.04137862139568    251.78566383947674   20.146877   17.980814   17.125172    16.822134    16.693956    0.041937977   0.0058530285  0.0049795453  0.0050121     0.009032605   19.836052   17.752111   16.959297    16.696358    16.604778   
  34    162.804458333   -0.495088888889    3.933    -135.6911002029419    0.8046    50.02781091019875    251.71015216430297   18.438189   16.903864   16.28571     16.067421    15.9839945   0.0153923     0.0043809186  0.004174643   0.0043021827  0.006576111   18.14489    16.688057   16.129189    15.948736    15.899845   
  35    162.463291667   -0.258027777778    3.338    -136.23099984283448   0.5466    49.96004294089792    251.07254795287795   18.860357   17.147028   16.52572     16.315504    16.164434    0.024485294   0.0048701544  0.0043787532  0.0047768927  0.008045305   18.630545   16.977934   16.40308     16.22251     16.0985     
  36    162.160333333   -0.0629111111111   1.968    -137.33110010757446   0.5449    49.886034818136366   250.52477510521572   18.741745   16.763083   15.886707    15.557932    15.362836    0.016712485   0.0043628067  0.0038816282  0.003802169   0.0057026767  18.5343     16.610447   15.776003    15.473989    15.303319   
  37    162.828875      -0.568261111111    3.457    -92.88299935913085    0.8611    49.992012986309305   251.81647402167738   19.099201   17.334558   16.635513    16.394827    16.280485    0.021960855   0.0048629697  0.0044645686  0.0045766174  0.0075281495  18.772585   17.094236   16.461212    16.26266     16.186777   
  38    162.742458333   -0.516994444444    3.435    -118.07220014038089   0.7312    49.96899281221744    251.66434152872995   19.228731   17.655592   16.99044     16.752106    16.623875    0.02297601    0.005257752   0.0047213184  0.004914814   0.008737474   18.93401    17.438738   16.83316     16.632845    16.539318   
  39    162.782083333   -0.574586111111    2.949    -123.39049971923828   0.9325    49.955003348618284   251.77080910969067   19.233469   17.070522   16.204554    15.913927    15.774863    0.023610678   0.0065327496  0.0063816616  0.0066641886  0.008443504   18.910099   16.83259    16.031984    15.783073    15.682086   
  40    162.536291667   -0.377102777778    3.211    -180.77949839477537   0.7485    49.92592681762933    251.28302791069785   17.911295   16.083776   15.33295     15.0959      14.964013    0.014275193   0.0040599625  0.0037672175  0.0042114025  0.0054016663  17.675938   15.910602   15.20735     15.000661    14.896487   
  41    162.509416667   -0.368152777778    3.478    -74.79110239257813    0.7334    49.913567170694485   251.24343017397862   18.640001   17.046162   16.392803    16.1567      16.05885     0.021416312   0.004724397   0.004304488   0.0046625156  0.007522      18.410553   16.877337   16.270357    16.063852    15.99302    
  42    162.703541667   -0.555458333333    2.96     -92.64480162353516    0.9605    49.914315818623805   251.66235988091807   19.692492   17.223282   16.092072    15.702955    15.473289    0.030774038   0.0046848063  0.0039134542  0.0042223874  0.0053760707  19.37995    16.993317   15.925282    15.576484    15.383618   
  43    162.328625      -0.215127777778    3.36     -168.5267003814697    0.7524    49.896273253378425   250.87667361695515   19.208237   17.214804   16.373526    16.059805    15.879481    0.032091755   0.009774284   0.008665124   0.008918626   0.013221151   18.991432   17.05528    16.257826    15.972073    15.817279   
  44    162.349708333   -0.253661111111    4.156    -134.50480000686645   0.7842    49.88358221777948    250.94191968145526   18.84771    16.925732   16.221048    15.957418    15.831981    0.022448732   0.0042134323  0.00412228    0.0043221493  0.0067655025  18.628284   16.76428    16.10395     15.868627    15.769027   
  45    162.500666667   -0.436105555556    3.349    -172.3250996307373    0.6357    49.85879021557987    251.3073080992757    17.94219    16.101578   15.3545475   15.072792    14.906023    0.011320017   0.0037803506  0.0034345568  0.0039747274  0.0048183864  17.71338    15.933221   15.232442    14.980203    14.840376   
  46    162.6675        -0.632602777778    4.998    -70.39799643554687    0.6641    49.83375334096019    251.705165346956     18.676842   16.95577    16.33611     16.08686     15.9322405   0.023108134   0.0047090924  0.004286495   0.0045853546  0.0068170177  18.350842   16.715902   16.162136    15.954944    15.838709   
  47    162.490208333   -0.450347222222    5.268    -125.8245997177124    0.948     49.84131341044651    251.31113832805158   20.118435   17.97761    17.178072    16.941984    16.794188    0.041327424   0.005808941   0.004833306   0.0052151093  0.009515214   19.8899     17.809454   17.056112    16.849504    16.728619   
  48    162.252041667   -0.181552777778    2.361    -117.85519950561525   0.8711    49.86636908192485    250.75546705344362   18.196146   16.230827   15.554156    15.326744    15.209287    0.012456658   0.0039252946  0.0036911108  0.003770913   0.005509487   17.984207   16.074884   15.441053    15.240982    15.14848    
  49    162.562541667   -0.570558333333    3.065    -111.56019987487792   0.7375    49.80547314828597    251.52138537158282   19.648155   17.509178   16.606384    16.259361    16.039267    0.030369066   0.005118493   0.004149473   0.00457581    0.006850376   19.386515   17.316666   16.466759    16.153486    15.9642     
  50    162.642458333   -0.693258333333    5.292    -146.96619994583128   0.7691    49.77269580316318    251.7424200829331    19.381054   17.846127   17.301844    17.109354    17.012976    0.035620417   0.0060182638  0.005376064   0.005517982   0.011118127   19.071745   17.61854    17.13678     16.98419     16.924232   
  51    162.617333333   -0.681555555556    2.854    -137.91420005493163   0.6792    49.76368525428948    251.70181451445876   19.625416   17.361284   16.414202    16.096386    15.902843    0.043836158   0.005194659   0.004317114   0.0044916593  0.0067794845  19.329926   17.143866   16.256512    15.976814    15.818066   
  52    162.368416667   -0.362652777778    6.225    -130.9893004714966    0.5299    49.81893807154945    251.08108284637845   20.007542   18.01458    17.24359     16.968887    16.77449     0.04963188    0.006246271   0.005204999   0.005339407   0.010567117   19.78237    17.8489     17.123425    16.87777     16.709887   
  53    162.489625      -0.563263888889    4.496    -94.25899926757812    0.5387    49.759943003076856   251.432434031606     18.65302    17.23132    16.630081    16.40296     16.28925     0.017337417   0.004640587   0.004142206   0.004665008   0.0076308143  18.42287    17.061977   16.50726     16.309828    16.223217   
