# oid ra            dec              verr   vgsr               ew      b                  l                  u         g         r         i         z         err_u       err_g        err_r        err_i        err_z        dered_u   dered_g   dered_r   dered_i   dered_z   EW_8542 EW_8662 [Fe/H]_cat           [Fe/H]_iso [Fe/H]_adopted upperlim
  169 161.875541667 -0.0234861111111 3.449  83.61969353027345  0.1228  49.71262579717678  250.1695368412608  18.84404  17.398256 16.74928  16.503798 16.323593 0.01855743  0.0048638373 0.004501898  0.004736978  0.008312731  18.64626  17.252731 16.643734 16.423765 16.26685  1.667   1.353   -1.623872519131136   -1.68 -1.62 0
# 514 161.875541667 -0.0234861111111 3.228  83.41919768066407  0.1989  49.71262579717678  250.1695368412608  18.84404  17.398256 16.74928  16.503798 16.323593 0.01855743  0.0048638373 0.004501898  0.004736978  0.008312731  18.64626  17.252731 16.643734 16.423765 16.26685  1.271   1.816   -1.5873952341512318  -1.68 -1.59 0
# 232 161.8235      0.418813888889   3.045  79.237505859375    0.2148  49.98657482694903  249.62497164645816 18.062841 16.246904 15.479513 15.149781 14.953528 0.012328747 0.0039872914 0.0037912773 0.003980284  0.0052044583 17.843739 16.085691 15.362588 15.06112  14.890667 1.754   1.522   -1.7728635009279885  -1.80 -1.77 0
  284 162.132791667 0.0599083333333  2.882  107.22819658203125 0.2518  49.95357332976182  250.3598067034772  18.68695  17.174839 16.557877 16.293425 16.142979 0.020052014 0.0043879296 0.004163194  0.004551584  0.008588465  18.483059 17.024818 16.449068 16.210918 16.08448  2.244   1.783   -1.1579664202470945  -2.10 -1.16 0
  798 161.812375    -3.25108055556  8.984  109.51589707031252 -0.18984000205993654 47.341471918808224 253.47876613257912 20.01923  18.785736 18.209398 17.986425 17.849482 0.040022098 0.009159811  0.0075224633 0.008368161  0.019231504  19.845861 18.658173 18.116879 17.916271 17.799742 1.515 0.8767 -1.85       -1.43 -1.43 0
  932 161.871125    -2.03961111111  29.815 93.1531068359375   -0.3981500053405762  48.26660859775711  252.31090881006116 19.210722 18.050243 17.529612 17.298325 17.138088 0.023440067 0.0059991363 0.0056077735 0.005887588  0.013590011  18.958752 17.864845 17.395145 17.196363 17.065796 0.4974 0.6087 -2.82      -2.28 -2.82 1 
  570 161.8235      0.418813888889   3.299  79.2034959716797   0.2119  49.98657482694903  249.62497164645816 18.062841 16.246904 15.479513 15.149781 14.953528 0.012328747 0.0039872914 0.0037912773 0.003980284  0.0052044583 17.843739 16.085691 15.362588 15.06112  14.890667 1.371   1.769   -1.8431244243810447  -1.80 -1.84 0
# 571 161.591375    0.722719444444   9.328  73.31139694824219  0.2725  50.03232068960486  249.03420378311822 18.947472 17.681667 17.137865 16.91759  16.79868  0.018852392 0.0053715114 0.0050692665 0.005367962  0.009914146  18.727224 17.519611 17.020329 16.828465 16.735489 1.132   1.251   -1.93                -2.28 -1.93 1
#691 162.897625    0.0128861111111  8.66   66.70809475097658  0.1279  50.45739358381923  251.2619142189945  19.478094 18.096529 17.488182 17.198172 17.058632 0.03817208  0.0065988796 0.0058780643 0.006223849  0.013739522  19.257854 17.934479 17.37065  17.10905  16.995443 1.312   1.852   -1.38                -2.10 -2.10 0
#  675 162.305708333 0.0677277777778  5.408  65.31516582031239  0.2516  50.08118366405678  250.54184441657267 19.139616 17.98359  17.486116 17.25263  17.182806 0.031121034 0.0062848367 0.005683604  0.0060280985 0.014125513  18.929472 17.828966 17.373972 17.167595 17.122515 1.443   1.133   -1.74                -2.28 -1.74 1
