# g       r     
  12.495  11.065
  11.436  10.19 
  10.836  9.663 
  10.372  9.255 
  9.984   8.915 
  9.557   8.537 
  9.139   8.18  
  8.644   7.762 
  8.046   7.274 
  7.741   7.026 
  7.404   6.751 
  7.122   6.521 
  6.779   6.239 
  6.484   5.998 
  6.216   5.777 
  6.17    5.739 
  6.087   5.67  
  5.86    5.475 
  5.643   5.291 
  5.438   5.112 
  5.23    4.929 
  4.991   4.716 
  4.926   4.657 
  4.834   4.575 
  4.674   4.427 
  4.49    4.257 
  4.312   4.091 
  4.256   4.038 
  4.242   4.025 
  4.168   3.954 
  4.102   3.89  
  3.837   3.624 
  3.678   3.449 
  3.557   3.3   
  3.485   3.189 
  3.468   3.12  
  3.473   3.065 
  3.436   2.987 
  3.34    2.868 
  3.223   2.737 
  3.074   2.576 
  2.927   2.422 
  2.781   2.268 
  2.627   2.107 
  2.471   1.944 
  2.331   1.798 
  2.184   1.642 
  2.048   1.498 
  1.909   1.351 
  1.766   1.2   
  1.622   1.046 
  1.484   0.897 
  1.349   0.752 
  1.215   0.609 
  1.082   0.464 
  0.946   0.315 
  0.821   0.18  
  0.76    0.114 
  0.864   0.231 
  0.704   0.054 
  0.55    -0.116
  0.418   -0.263
  0.282   -0.416
  0.151   -0.564
  0.02    -0.713
  -0.109  -0.862
  -0.225  -0.995
  -0.347  -1.139
  -0.463  -1.275
  -0.577  -1.41 
  -0.698  -1.553
  -0.797  -1.674
  -0.906  -1.809
  -1.019  -1.948
  -1.118  -2.073
  -1.204  -2.184
  -1.305  -2.318
  -1.4    -2.447
  -1.467  -2.542
  -1.55   -2.659
  -1.627  -2.767
  -1.716  -2.89 
  -1.787  -3.0  
  -1.803  -3.024
