# oid ra            dec              verr   vgsr                ew                   b                  l                  u         g         r         i         z         err_u       err_g        err_r        err_i        err_z        dered_u   dered_g   dered_r   dered_i   dered_z  
  74  162.203791667 -0.329908333333  11.173 -181.24939884643555 -0.2117300033569336  49.726892780155524 250.86373186147512 19.136824 17.961826 17.439323 17.185455 17.06845  0.026523404 0.005938234  0.005396509  0.0057827276 0.013757295  18.928062 17.808222 17.327917 17.100979 17.008556
  420 162.203791667 -0.329908333333  12.941 -183.14894140625006 -0.22940999984741212 49.726892780155524 250.86373186147512 19.136824 17.961826 17.439323 17.185455 17.06845  0.026523404 0.005938234  0.005396509  0.0057827276 0.013757295  18.928062 17.808222 17.327917 17.100979 17.008556
  771 162.214041667 -3.34384722222   20.627 -98.7288989440918   -0.3062700080871582  47.543583684190565 254.00896021216    19.76274  18.519024 17.973831 17.736235 17.627981 0.033567667 0.0077416557 0.006630551  0.007239786  0.016456816  19.537132 18.353025 17.853436 17.644941 17.563253
  661 162.329208333 0.180433333333   4.44   174.4414100097656   -0.1444000005722046  50.17764682784022  250.44380580177952 18.837187 17.203087 16.554733 16.260723 16.124811 0.025291983 0.0049933046 0.0043574297 0.004578915  0.008149711  18.62903  17.049927 16.44365  16.17649  16.06509 
  762 162.348666667 -3.225375        7.026  23.15910756835936   -0.17026000022888182 47.72163299841375  254.03857246398007 19.143164 17.954477 17.447844 17.229582 17.161568 0.021859918 0.006087151  0.005272343  0.0058256523 0.012076671  18.921986 17.791737 17.32981  17.140081 17.09811 
  732 162.425541667 -2.677975        7.205  141.976394140625    -0.17204999923706055 48.17781183589617  253.57251090244762 20.250069 18.561348 17.876995 17.61501  17.498075 0.056788515 0.007888523  0.006414739  0.0067879013 0.016805144  20.047586 18.412363 17.768938 17.533073 17.439981
  718 162.545416667 -2.62865         12.682 -95.83110033569338  -0.22682000160217286 48.29507642770829  253.65501292116556 19.312489 18.218163 17.720644 17.494434 17.431072 0.028399743 0.0068985573 0.0061407015 0.0064974166 0.01660883   19.110739 18.069717 17.61298  17.412796 17.37319 
  992 162.545458333 -1.89684444444   8.606  3.204995117187508   -0.18605999946594237 48.832483178436874 252.90441550938442 19.658714 18.411896 17.909904 17.682072 17.582794 0.030025858 0.0072076344 0.006342906  0.0068779876 0.01783978   19.449324 18.257828 17.798162 17.597342 17.522718
  405 162.5935      -0.826413888889  7.257  14.810993041992191  -0.17256999969482423 49.642796187234225 251.83059019748737 19.197485 17.853905 17.291079 17.084826 16.978018 0.03256837  0.0062014544 0.005493422  0.0056052394 0.011000129  18.922506 17.651579 17.144335 16.973555 16.899124
  672 162.64075     0.205305555556   5.834  97.46570402832032   -0.15834000110626223 50.4147620010769   250.76250295301264 19.616999 17.988712 17.34382  17.05558  16.903847 0.042206857 0.0062815347 0.005490711  0.0056504114 0.012361762  19.390844 17.822311 17.223133 16.964066 16.838963
  687 162.647333333 0.0584           4.151  5.440194262695314   -0.14151000022888183 50.31478586418126  250.93155655264064 19.244802 17.549562 16.88916  16.595928 16.44661  0.03433614  0.005427971  0.004805437  0.0049812    0.009511994  19.034027 17.394476 16.776678 16.510637 16.386137
  740 162.664416667 -3.07523611111   19.412 60.65159609374999   -0.2941200065612793  48.04441804659435  254.2371635703275  19.647514 18.357294 17.83283  17.63539  17.502941 0.04202381  0.007341462  0.0065947003 0.0068811667 0.01672835   19.453133 18.21427  17.729097 17.556732 17.447172
  338 162.730666667 0.0979111111111  3.134  -133.4763000011921  -0.13134000062942505 50.401364171469474 250.9812473547733  18.330975 16.594881 15.976142 15.74688  15.653713 0.018433738 0.004407088  0.004029848  0.0044087437 0.006860278  18.114042 16.435265 15.860374 15.659097 15.591475
  6   162.775916667 -0.0754472222222 2.283  -123.09000004882813 -0.12282999992370607 50.30918939145979  251.22206183332068 18.63375  16.436943 15.577834 15.30371  15.157571 0.015298442 0.004039305  0.0039248765 0.0041406886 0.0053784754 18.398544 16.26388  15.452314 15.208532 15.090089
  685 162.832208333 0.087625         4.966  82.56259316406249   -0.14966000080108643 50.46514525674971  251.10639501604282 19.614782 17.967968 17.275541 16.978504 16.835443 0.040570743 0.0062070806 0.00527733   0.00563787   0.01154341   19.399393 17.809486 17.160597 16.891346 16.773647
  691 162.897625    0.0128861111111  8.66   66.70809475097658   -0.1865999984741211  50.45739358381923  251.2619142189945  19.478094 18.096529 17.488182 17.198172 17.058632 0.03817208  0.0065988796 0.0058780643 0.006223849  0.013739522  19.257854 17.934479 17.37065  17.10905  16.995443
