# g       r     
  12.153  10.857
  11.093  9.982 
  10.442  9.415 
  10.0    9.027 
  9.618   8.69  
  9.274   8.387 
  8.841   8.005 
  8.381   7.609 
  7.817   7.138 
  7.194   6.629 
  7.076   6.531 
  6.749   6.261 
  6.458   6.019 
  6.198   5.8   
  6.011   5.641 
  5.865   5.516 
  5.646   5.326 
  5.433   5.139 
  5.213   4.945 
  4.952   4.711 
  4.784   4.558 
  4.693   4.475 
  4.467   4.269 
  4.143   3.972 
  4.058   3.893 
  3.98    3.819 
  3.967   3.807 
  3.907   3.749 
  3.618   3.461 
  3.44    3.259 
  3.306   3.082 
  3.235   2.938 
  3.222   2.855 
  3.154   2.749 
  3.06    2.63  
  2.925   2.479 
  2.793   2.337 
  2.656   2.193 
  2.516   2.047 
  2.37    1.895 
  2.231   1.751 
  2.084   1.598 
  1.937   1.445 
  1.792   1.293 
  1.652   1.146 
  1.512   0.999 
  1.374   0.852 
  1.248   0.72  
  1.119   0.583 
  1.002   0.457 
  0.879   0.326 
  0.766   0.205 
  0.655   0.085 
  0.552   -0.026
  0.449   -0.137
  0.365   -0.228
  0.283   -0.316
  0.278   -0.321
  0.325   -0.268
  0.171   -0.436
  0.022   -0.601
  -0.125  -0.764
  -0.264  -0.919
  -0.414  -1.087
  -0.551  -1.242
  -0.689  -1.399
  -0.829  -1.561
  -0.981  -1.74 
  -1.115  -1.898
  -1.245  -2.054
  -1.378  -2.216
  -1.521  -2.396
  -1.648  -2.557
  -1.771  -2.716
  -1.898  -2.886
  -2.012  -3.041
  -2.03   -3.067
