# Dist    Mv    CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy       Vr       UU        VV        g-i                     WW        [Fe/H]   l           b      Av      Mbol    Vgsr          g                   
  0.286   6.9   5    6.5    3.656   4.57   5     0.74   1.171   1.079     1.2     2.751   14.27    1.564     0.6137300024032593    -4.337    54.13    35.18     -71.06    1.2412000706195832      23.29     -0.07    251.19999   49.3   0.081   5.73    -84.869995    14.88373046016693   
  0.286   6.9   5    6.4    3.656   4.6    3     0.74   1.175   1.091     1.202   2.754   14.235   -0.678    0.6162499699592591    0.102     -3.22    -7.78     0.53      1.2441620324850082      -5.98     -0.04    251.19999   49.3   0.081   5.795   -142.22       14.851249626636505  
  0.286   6.2   5    6.2    3.687   4.58   4     0.83   0.971   0.69      0.98    2.348   13.594   -1.928    0.4877300099134445    0.797     6.36     -28.73    -3.03     0.9153800282478333      -2.04     -0.37    251.19999   49.3   0.081   5.29    -132.64       14.081729872584344  
  0.286   5.8   5    6.1    3.707   4.51   3     0.85   0.902   0.587     0.912   2.147   13.192   -3.794    0.44426000630855556   -0.078    5.36     -44.19    -18.02    0.8146720007061958      -19.85    -0.05    251.19999   49.3   0.081   4.955   -133.64       13.636260395407676  
  0.286   4.5   5    5.0    3.76    4.35   6     1.03   0.662   0.132     0.732   1.618   11.782   -5.551    0.2930600003004074    0.685     -17.56   -64.59    -2.68     0.5480919901132584      -43.25    -0.03    251.19999   49.3   0.081   3.847   -156.56       12.075059588313103  
  0.286   4.3   5    5.0    3.78    4.42   2     1.16   0.605   0.097     0.656   1.463   11.745   -3.622    0.2571500120162964    0.028     18.5     -45.67    -24.44    0.43553602683544157     -8.16     0.13     251.19999   49.3   0.081   3.71    -120.5        12.002149897575379  
  0.286   4.2   5    4.8    3.79    4.39   2     1.17   0.557   0.039     0.617   1.37    11.636   -0.453    0.22690998828411102   -1.034    -6.78    3.05      -7.82     0.3777769759893418      -14.47    0.0      251.19999   49.3   0.081   3.642   -145.78       11.862909667849541  
  0.286   3.1   5    4.2    3.84    4.27   2     1.45   0.395   -0.012    0.436   0.882   10.527   -1.895    0.12485000675916672   0.577     0.55     -25.69    -1.52     0.10971598446369168     -7.63     -0.06    251.19999   49.3   0.081   2.701   -138.45       10.65185043400526   
  0.316   9.0   5    7.0    3.587   4.75   7     0.59   1.43    1.208     1.797   3.646   16.598   1.162     0.7768999669551849    3.368     -5.68    -8.6      45.45     2.1253570748567583      27.13     -0.34    251.19999   49.3   0.081   7.566   -144.68       17.37489953970909   
  0.316   8.6   5    7.0    3.598   4.7    4     0.61   1.388   1.303     1.705   3.464   16.157   -1.178    0.7504400072097779    -0.064    12.75    -17.15    -13.36    1.9891050635576248      1.19      0.09     251.19999   49.3   0.081   7.198   -126.25       16.907439595222474  
  0.316   8.2   5    6.9    3.61    4.65   6     0.64   1.337   1.172     1.591   3.329   15.723   -1.141    0.7183100078105926    -1.706    24.92    -7.28     -38.87    1.820270942091942       -0.8      -0.36    251.19999   49.3   0.081   6.83    -114.08       16.4413095805645    
  0.316   7.5   5    6.5    3.633   4.63   7     0.71   1.205   0.982     1.35    2.912   15.118   0.459     0.6351500270366669    -1.782    -1.78    19.18     -16.74    1.4633500353097917      -10.66    -0.67    251.19999   49.3   0.081   6.225   -140.78       15.753150057554246  
  0.316   6.6   5    6.3    3.669   4.6    7     0.79   1.025   0.7       1.062   2.541   14.175   -1.497    0.5217499849796295    1.133     -6.68    -25.84    10.57     1.0368220536708832      -7.37     -0.87    251.19999   49.3   0.081   5.56    -145.68       14.696750175714493  
  0.316   3.6   5    4.8    3.78    4.11   6     1.16   0.616   0.138     0.657   1.456   11.106   -2.209    0.26407999789714814   -1.09     29.8     -26.34    -39.4     0.4370170077681542      -0.08     0.24     251.19999   49.3   0.081   3.01    -109.2        11.370079944491387  
  0.316   3.5   5    4.8    3.78    4.06   6     1.16   0.576   0.031     0.656   1.471   10.994   1.705     0.2388799843788147    -2.972    -52.36   54.28     6.39      0.43553602683544157     -48.82    -0.14    251.19999   49.3   0.081   2.91    -191.36       11.232880419254302  
  0.316   3.7   5    4.5    3.81    4.33   2     1.28   0.496   0.013     0.543   1.157   11.371   -1.553    0.18847999489307404   1.479     0.58     -30.6     9.69      0.26818297457695006     0.17      0.04     251.19999   49.3   0.081   3.206   -138.42       11.559480284810066  
  0.316   8.8   5    6.84   3.611   4.82   8     0.5    1.286   0.966     1.633   3.135   16.307   -3.943    0.6861800084114075    -6.954    123.94   -25.42    -169.36   1.8824730240106584      18.54     -1.04    251.19999   49.3   0.081   7.951   -15.059998    16.993179214954377  
  0.316   6.0   5    5.58   3.737   4.63   8     0.73   0.685   0.054     0.822   1.861   13.657   -0.325    0.30755000150203704   -2.336    74.78    -2.83     -73.3     0.6813820395469665      38.17     -0.87    251.19999   49.3   0.081   5.812   -64.22        13.964549589514732  
  0.346   8.9   5    7.0    3.59    4.72   6     0.6    1.425   1.25      1.764   3.752   16.747   1.729     0.773749969959259     -1.124    -24.24   38.08     9.04      2.0764840861558915      -14.06    -0.11    251.19999   49.3   0.081   7.466   -163.24       17.520749710559844  
  0.346   6.9   5    6.5    3.656   4.59   7     0.76   1.136   0.966     1.189   2.733   14.595   0.606     0.591680023431778     1.067     -13.03   2.65      23.64     1.2249090155363083      2.8       -0.37    251.19999   49.3   0.081   5.73    -152.03       15.186680290460586  
  0.346   6.4   5    6.3    3.678   4.55   6     0.79   1.061   0.921     1.031   2.473   14.267   0.017     0.544429993391037     -2.286    18.79    14.52     -39.18    0.9909110268354417      -3.09     0.0      251.19999   49.3   0.081   5.36    -120.21       14.811430191755296  
  0.346   5.2   5    5.6    3.74    4.5    3     0.98   0.746   0.276     0.816   1.831   12.905   -1.989    0.345979994893074     0.933     3.96     -35.9     0.02      0.6724959774017334      -4.72     -0.04    251.19999   49.3   0.081   4.483   -135.04       13.250979727864266  
  0.346   4.0   5    4.7    3.79    4.34   4     1.17   0.548   0.018     0.618   1.373   11.861   -0.576    0.22123998618125917   -0.398    23.93    -9.86     -22.15    0.37925795692205433     10.79     -0.09    251.19999   49.3   0.081   3.442   -115.07       12.082240047216416  
  0.346   3.5   5    4.7    3.79    4.15   4     1.28   0.544   0.016     0.618   1.371   11.281   -2.54     0.21872001862525942   -1.214    -4.6     -24.63    -23.13    0.37925795692205433     -31.73    -0.13    251.19999   49.3   0.081   2.942   -143.6        11.49972015595436   
  0.346   2.9   5    4.2    3.84    4.21   2     1.48   0.407   0.028     0.431   0.864   10.73    -1.396    0.1324100033044815    0.041     7.33     -21.26    -10.23    0.10231099152565004     -4.55     0.16     251.19999   49.3   0.081   2.501   -131.67       10.86240954554081   
  0.346   7.8   5    6.58   3.647   4.74   8     0.59   1.131   0.838     1.234   2.774   15.51    -3.807    0.5885300264358521    0.095     36.07    -61.22    -38.02    1.2915539519786836      -0.35     -0.9     251.19999   49.3   0.081   7.224   -102.93       16.098530255317687  
