oid_1,ra,dec,snr,v_rad,v_helio,v_gsr,v_err,prior_teff,param_teff,param_logg,param_feh,param_alpha,chi_sq,oid_2,vrad,verr,R,absverr,delta_vgsr,vgsr
33,162.848833333,-0.51895,35.244754915,59.6287,59.6231,-78.3363,3.873,4326.86,4750.01,4.64186544246,-1.14234411582,0.242275369564,3.33961,33,51.105,5.851,0.88,5.85099983215332,-137.96500025634765,-86.86000025634766
34,162.804458333,-0.495088888889,46.7433790118,9.4847,9.4838,-128.463,2.573,4674.97,4968.94,3.49996635384,-0.893752287608,0.35020795402,2.93269,34,2.2566,3.933,0.93,3.933000087738037,-137.9477002029419,-135.6911002029419
35,162.463291667,-0.258027777778,46.4914595442,6.6923,6.6917,-130.994,2.474,5138.14,4988.84,4.4774317987,-0.477193549173,3.83456314533E-4,3.32424,35,1.4553,3.338,0.94,3.3380000591278076,-137.68629984283447,-136.23099984283448
36,162.160333333,-0.0629111111111,79.0358264665,5.9597,5.9591,-131.534,1.688,4489.34,4510.68,4.99999921547,-0.957974469545,2.25016667984E-4,2.67371,36,0.1626,1.968,0.96,1.968000054359436,-137.49370010757445,-137.33110010757446
37,162.828875,-0.568261111111,43.4093152715,50.8345,50.8298,-87.3029,2.404,5234.08,4948.25,4.29220675148,-0.792438661415,0.317392045538,1.82123,37,45.2544,3.457,0.93,3.4570000171661377,-138.13739935913085,-92.88299935913085
38,162.742458333,-0.516994444444,35.326011139,30.2178,30.215,-107.879,3.011,4527.72,4879.31,4.49996673192,-1.50010820529,0.372849089066,2.87978,38,20.0246,3.435,0.91,3.434999942779541,-138.09680014038088,-118.07220014038089
39,162.782083333,-0.574586111111,57.0192945517,20.3769,20.375,-117.838,1.939,4704.5,4750.36,4.99995222898,-0.590427533537,2.95314042986E-6,2.84387,39,14.8244,2.949,0.95,2.9489998817443848,-138.21489971923828,-123.39049971923828
40,162.536291667,-0.377102777778,77.7902955267,-38.4443,-38.4408,-176.387,2.141,4671.89,4999.47,4.97645681771,-0.928675635265,0.158120551917,2.91431,40,-42.8368,3.211,0.95,3.2109999656677246,-137.9426983947754,-180.77949839477537
41,162.509416667,-0.368152777778,47.5312230338,67.7637,67.7574,-70.1971,2.096,5540.77,5000.0,5.0,-1.53101575971,0.4,2.40062,41,63.1697,3.478,0.94,3.4779999256134033,-137.96080239257813,-74.79110239257813
42,162.703541667,-0.555458333333,64.461349854,50.6901,50.6854,-87.574,2.113,4099.0,4454.71,4.99996365867,-0.499916224901,0.00863290414133,2.73285,42,45.6193,2.96,0.96,2.9600000381469727,-138.26410162353517,-92.64480162353516
43,162.328625,-0.215127777778,54.6039205073,-26.15,-26.1476,-163.88,2.11,4720.57,4623.73,4.49999661902,-1.09476371336,0.189562689787,1.35251,43,-30.7967,3.36,0.95,3.359999895095825,-137.73000038146972,-168.5267003814697
44,162.349708333,-0.253661111111,53.3191489112,7.7328,7.7321,-130.088,3.29,4744.56,5038.09,4.99997467108,-0.530717015596,9.73901925234E-8,2.929,44,3.316,4.156,0.93,4.156000137329102,-137.82080000686645,-134.50480000686645
45,162.500666667,-0.436105555556,78.864586773,-31.0403,-31.0374,-169.206,5.916,4464.41,5158.27,4.99996287788,-0.507934075104,1.38006849248E-4,9.89666,45,-34.1594,3.349,0.94,3.3489999771118164,-138.1656996307373,-172.3250996307373
46,162.6675,-0.632602777778,50.6925607735,74.8801,74.8731,-63.6634,2.763,5294.88,5136.04,3.99998587604,-0.676086687792,0.21767658336,2.61622,46,68.1455,4.998,0.92,4.998000144958496,-138.54349643554687,-70.39799643554687
47,162.490208333,-0.450347222222,30.3405988886,14.221,14.2197,-124.005,3.951,5761.3,4820.71,4.99999985861,-0.772861236985,3.1249782421E-4,6.58629,47,12.4014,5.268,0.88,5.26800012588501,-138.2259997177124,-125.8245997177124
48,162.252041667,-0.181552777778,74.740909904,24.8009,24.7986,-112.932,2.027,5326.94,4999.56,3.99924514804,-0.71308737017,0.259019322519,3.44324,48,19.8777,2.361,0.95,2.3610000610351562,-137.73289950561525,-117.85519950561525
49,162.562541667,-0.570558333333,46.0832376784,30.2787,30.2759,-108.213,1.942,4075.87,4500.04,4.99984978497,-0.898402877234,1.73310850591E-4,2.12499,49,26.9315,3.065,0.95,3.065000057220459,-138.49169987487792,-111.56019987487792
50,162.642458333,-0.693258333333,30.7527717644,-3.1282,-3.1279,-141.878,3.819,5196.78,5432.65,4.47871915694,-1.00010762353,0.295481271475,3.19782,50,-8.2164,5.292,0.89,5.291999816894531,-138.74979994583128,-146.96619994583128
51,162.617333333,-0.681555555556,51.4976912787,6.1124,6.1118,-132.636,2.15,4436.18,4565.87,4.99999956294,-0.722226776676,5.67552805275E-5,2.21147,51,0.8342,2.854,0.95,2.8540000915527344,-138.74840005493164,-137.91420005493163
52,162.368416667,-0.362652777778,32.8846667331,8.2981,8.2973,-129.824,4.114,4459.25,4273.82,5.0,-2.0,0.4,3.07629,52,7.1328,6.225,0.89,6.224999904632568,-138.1221004714966,-130.9893004714966
53,162.489625,-0.563263888889,44.214976788,46.4805,46.4762,-92.0863,6.29,4469.65,5225.74,4.59119077772,-1.20420181445,0.327035480558,5.50551,53,44.3078,4.496,0.9,4.495999813079834,-138.56679926757812,-94.25899926757812
54,162.644666667,-0.818641666667,60.7577667923,60.1466,60.1411,-78.9784,2.019,4669.33,4578.3,4.99990959571,-1.04580848949,0.16171948098,11.4088,54,54.9039,1.977,0.94,1.9769999980926514,-139.12499881591796,-84.22109881591797
55,162.477708333,-0.589833333333,47.6498407576,55.2064,55.2013,-83.4559,2.338,5170.69,4503.56,5.0,-2.0,0.4,2.63712,55,50.7874,3.62,0.94,3.619999885559082,-138.66230182495116,-87.87490182495117
56,162.565583333,-0.741894444444,68.5292051108,40.3606,40.3569,-98.6381,2.14,4383.5,4582.02,4.6760252142,-0.642209701836,0.131231533298,2.3809,56,36.249,2.029,0.95,2.0290000438690186,-138.99869951782227,-102.74969951782228
57,162.475708333,-0.614186111111,51.343015344,4.5742,4.5738,-134.159,2.488,5755.2,4936.44,4.85591954114,-1.23118292739,0.117686918323,3.41331,57,0.9398,3.35,0.94,3.3499999046325684,-138.73320015335082,-137.79340015335083
58,162.55275,-0.767208333333,44.1762632681,52.0538,52.049,-87.038,3.389,4926.18,4476.57,4.99982900762,-1.30300171015,2.2706485204E-6,4.82055,58,46.2198,4.55,0.91,4.550000190734863,-139.09179867553712,-92.87199867553713
59,162.323958333,-0.416886111111,53.2060548936,36.489,36.4857,-101.856,2.209,5114.92,4500.12,4.71766727788,-1.32605091889,0.226149258184,2.94931,59,30.8891,3.121,0.95,3.121000051498413,-138.34499841308593,-107.45589841308593
60,162.297583333,-0.298288888889,48.5134573288,7.3137,7.313,-130.708,2.845,5271.48,4988.52,4.49990364559,-1.49925432568,0.398908150404,2.7918,60,1.326,3.98,0.94,3.9800000190734863,-138.0217001991272,-136.6957001991272
61,162.338041667,-0.483030555556,70.4546341183,56.3266,56.3214,-82.199,2.954,4729.5,4500.0,5.0,-2.0,0.4,4.20664,61,55.6852,3.442,0.95,3.441999912261963,-138.52559912109376,-82.84039912109375
62,162.230333333,-0.299713888889,35.1070367351,64.8376,64.8317,-73.2806,10.249,4857.74,5000.0,5.0,-1.575,0.4,13.7999,62,60.3918,6.764,0.8,6.763999938964844,-138.1182007080078,-77.7264007080078
63,162.201125,-0.199425,43.1902133735,27.131,27.1285,-110.721,2.457,4634.38,4573.96,3.67071203048,-1.92176034397,0.38396455389,1.83875,63,18.4456,3.437,0.93,3.437000036239624,-137.85200051879883,-119.40640051879883
64,162.272125,-0.414797222222,36.728661395,18.5577,18.556,-119.846,2.691,4736.71,4550.95,4.50324737568,-1.50371649169,0.397402095848,2.51638,64,15.1743,3.403,0.92,3.4030001163482666,-138.40369920349121,-123.22939920349121
65,162.4055,-0.770216666667,29.6259271018,148.404,148.391,9.10302,3.769,9320.87,4928.0,4.49999887721,-1.83499479174,0.399939378548,2.25064,65,141.3217,5.124,0.87,5.124000072479248,-139.3009869580078,2.0207130419921953
66,162.259,-0.442169444444,24.0667641565,49.6377,49.6332,-88.8677,5.454,3573.54,4913.18,2.49999006663,-0.354144704105,0.260953647796,4.05385,66,53.0607,7.848,0.8,7.8480000495910645,-138.50539912719728,-85.44469912719728
67,162.375541667,-0.782113888889,66.9087039046,49.0643,49.0598,-90.3022,2.131,4410.11,4520.71,4.77648097401,-1.00008146805,0.179112263509,2.6943,67,45.517,3.439,0.95,3.438999891281128,-139.36650053710937,-93.84950053710938
68,162.341333333,-0.728405555556,37.4558178853,19.9314,19.9296,-119.317,2.899,4696.85,4909.82,4.68328955557,-0.319026892113,0.00111406330478,3.63697,68,19.6974,3.594,0.92,3.5940001010894775,-139.24840029907227,-119.55100029907227
69,162.279208333,-0.563833333333,30.116208135,40.1954,40.1917,-98.6459,4.071,4263.95,4584.67,3.68602379075,-2.01618014623,0.399999736019,7.35418,69,38.0886,3.937,0.85,3.937000036239624,-138.8413002380371,-100.7527002380371
70,162.308375,-0.689944444444,38.2511209561,27.921,27.9184,-111.257,3.761,3946.28,4749.42,3.99982741996,-0.703921038614,0.250418697684,2.56737,70,24.4528,5.79,0.88,5.789999961853027,-139.17799952697754,-114.72519952697755
71,162.319166667,-0.755475,61.9810210682,-30.3642,-30.3614,-169.717,3.536,4374.27,4500.27,4.49242833983,-0.981719751577,0.248498657611,2.97173,71,-35.3643,5.053,0.91,5.052999973297119,-139.352799407959,-174.71709940795898
72,162.316333333,-0.810297222222,72.2294115345,11.6751,11.674,-127.849,3.154,5230.34,5065.83,4.99998996075,-0.868307136829,0.105670854681,4.39986,72,7.8752,5.245,0.92,5.244999885559082,-139.52410032653808,-131.64890032653807
73,162.128041667,-0.1309,43.5601453979,-23.7884,-23.7862,-161.525,5.212,5026.26,5250.0,5.0,-1.51435799003,0.4,4.47933,73,-29.2626,7.837,0.82,7.836999893188477,-137.7365993499756,-166.99919934997558
74,162.203791667,-0.329908333333,30.816740723,-39.0479,-39.0443,-177.281,6.806,4922.01,5663.98,4.49999533093,-2.48190493548,0.385438603826,3.27538,74,-43.0163,11.173,0.66,11.17300033569336,-138.23309884643555,-181.24939884643555
75,162.279541667,-0.915844444444,60.6701205322,52.0679,52.0631,-87.8203,2.72,5041.15,4856.26,4.2875512766,-0.787598614057,0.220644238708,2.74686,75,48.5072,4.138,0.94,4.138000011444092,-139.88820161132813,-91.38100161132813
76,162.195375,-0.541061111111,26.4724138735,245.574,245.552,106.674,5.299,4735.72,5750.0,5.0,-2.0,0.4,2.24681,76,248.1994,8.08,0.73,8.079999923706055,-138.90000512695312,109.29939487304688
77,162.22975,-0.7879,68.1269226363,2.995,2.9948,-136.573,2.403,4330.56,4599.47,4.99999946429,-0.516819051088,6.10834119413E-5,3.2703,77,-2.1126,2.695,0.94,2.694999933242798,-139.5679998855591,-141.68059988555908
78,162.192416667,-0.304125,65.6178976811,-2.2903,-2.2901,-140.465,4.42,4146.53,4451.11,3.99995721408,-1.16147223288,0.272709644298,33.123,78,-6.7796,4.514,0.94,4.513999938964844,-138.17470010757447,-144.95430010757445
79,162.173416667,-0.466455555556,46.7404396767,6.7834,6.7828,-131.901,4.772,4548.13,4985.08,4.99964026347,-0.418705643379,8.70754400146E-4,5.30823,79,2.41,3.912,0.93,3.9119999408721924,-138.68440005874635,-136.27440005874635
80,162.202208333,-0.826302777778,54.4496232734,-48.4816,-48.4771,-188.195,3.598,5530.94,5258.25,5.0,-1.546875,0.4,1.41877,80,-48.9259,5.085,0.93,5.085000038146973,-139.7133982849121,-188.63929828491212
81,162.136666667,-0.360572222222,34.1730734673,69.5237,69.5174,-68.8978,3.71,4318.54,5000.0,5.0,-1.50850219131,0.4,2.46804,81,66.8475,5.464,0.9,5.464000225067139,-138.42149689941408,-71.57399689941408
82,162.149458333,-0.6464,27.9696381668,83.0561,83.0486,-56.2025,3.889,4873.04,5024.6,4.22687223573,-1.4999955048,0.399993813741,2.10938,82,79.1285,6.083,0.86,6.083000183105469,-139.25859893798827,-60.130098937988265
83,162.128958333,-0.610627777778,71.9214048567,-20.9951,-20.9932,-160.164,2.456,4926.5,4917.6,4.99999958466,-0.464169094429,5.4038270275E-4,2.87198,83,-25.0718,3.238,0.94,3.23799991607666,-139.16889997863768,-164.24069997863768
84,162.13525,-0.480105555556,39.5341324913,-44.2645,-44.2605,-183.034,3.045,5355.0,4499.88,4.99999178292,-0.64586598322,2.41020405967E-5,1.9733,84,-47.2701,4.354,0.92,4.354000091552734,-138.76950033569335,-186.03960033569336
85,162.103458333,-0.0235472222222,61.2809770997,-19.5749,-19.5731,-157.022,2.263,4289.34,4590.77,4.99999667781,-0.587239185023,3.77931519979E-5,1.67643,85,-24.8431,2.89,0.95,2.890000104904175,-137.44710032653808,-162.29020032653807
86,162.124916667,-0.186233333333,68.6669757923,170.814,170.799,32.8902,1.514,4580.67,4269.59,1.03916427973,-2.31744741282,0.249602463089,1.60087,86,166.9497,1.973,0.96,1.9730000495910645,-137.92379536132813,29.025904638671875
87,162.0965,-0.762186111111,50.0589776675,-9.048,-9.0472,-148.711,1.93,4833.7,4750.14,2.5000244582,-2.23831778302,0.366779465738,1.00171,87,-10.8735,3.309,0.94,3.309000015258789,-139.66299966430665,-150.53649966430666
88,162.098166667,-0.102644444444,61.4775429019,12.2409,12.2398,-125.453,1.963,0.0,4798.83,4.99999790067,-0.695100685013,0.00211311642007,1.84483,88,8.2348,3.214,0.95,3.2139999866485596,-137.69390003967285,-129.45910003967285
89,162.066625,-0.552872222222,52.2843996548,18.5116,18.5099,-120.569,8.256,4716.7,5093.46,4.99896241193,-0.500059955151,3.12729573645E-5,39.404,89,13.9169,5.133,0.9,5.132999897003174,-139.08060049438478,-125.16370049438478
90,162.054333333,-0.466711111111,44.5569320132,5.6634,5.6629,-133.175,5.913,3987.79,4965.09,4.49960080478,-0.999662586414,0.281206700329,8.56155,90,0.3843,3.216,0.93,3.2160000801086426,-138.83840017318727,-138.45410017318727
91,162.0565,-0.360261111111,60.903504139,4.2309,4.2306,-134.287,2.337,4560.57,4548.19,4.9999998094,-0.738231408683,1.22737860873E-4,2.49511,91,-0.3315,2.917,0.94,2.9170000553131104,-138.51789981079102,-138.84939981079103
92,162.008708333,-0.740255555556,39.3281327597,16.2779,16.2765,-123.435,3.287,4681.87,4885.75,4.73000069825,-0.475457556754,0.0186303215403,2.20118,92,16.4169,3.511,0.92,3.510999917984009,-139.71290069580078,-123.29600069580079
93,161.996333333,-0.777186111111,33.2282092747,63.2208,63.2151,-76.6218,7.439,5374.53,4901.32,4.50000075262,1.46333403996E-4,2.18861451372E-4,6.30004,93,57.0327,9.432,0.79,9.432000160217285,-139.84259849243165,-82.80989849243164
94,162.030833333,-0.450388888889,81.8780861775,-38.7274,-38.7239,-177.543,2.118,4576.07,4752.48,3.49999237621,-1.50008476695,0.300321096795,2.80133,94,-42.0477,2.931,0.95,2.930999994277954,-138.81559826660157,-180.86329826660156
95,162.001375,-0.608361111111,53.6661478022,32.0875,32.0846,-107.244,2.422,4109.47,4500.0,5.0,-1.05,0.4,3.69816,95,27.1102,4.362,0.93,4.361999988555908,-139.3315015258789,-112.22130152587891
96,162.047333333,-0.288383333333,38.3750675959,65.2079,65.202,-73.1123,1.925,4554.01,4750.0,5.0,-1.5,0.4,2.98281,96,60.9768,2.93,0.94,2.930000066757202,-138.32020100097657,-77.34340100097657
97,162.014833333,-0.516036111111,36.2394330639,43.7521,43.7482,-95.2878,12.151,4820.31,4750.0,5.0,-1.00436329842,0.4,9.71702,97,39.7733,26.689,0.72,26.68899917602539,-139.03990189819336,-99.26660189819336
98,161.904458333,-0.929308333333,32.413445817,66.7084,66.7024,-73.7036,3.973,5087.43,5000.0,5.0,-2.5,0.0,3.60822,98,67.2429,5.882,0.77,5.881999969482422,-140.4119969116211,-73.16909691162108
99,161.95875,-0.604505555556,35.2593488268,15.8433,15.8419,-123.53,3.455,5250.47,4779.77,4.97095555828,-0.559548359961,2.83404584044E-5,3.04658,99,9.6683,5.221,0.9,5.2210001945495605,-139.37329986572266,-129.70499986572267
100,161.9735,-0.504661111111,64.4827261572,1.4474,1.4472,-137.608,2.372,5043.77,4749.6,4.78231899169,-1.25897061776,0.380107104432,4.29249,100,-2.7867,3.905,0.95,3.9049999713897705,-139.05539997386933,-141.84209997386932
102,161.947083333,-0.4899,68.121344512,37.8575,37.8541,-101.191,3.72,4918.8,4749.42,4.74151348933,-0.837287050559,0.00115458151094,4.98018,102,32.3123,6.952,0.94,6.952000141143799,-139.04849816894532,-106.73619816894532
103,161.847708333,-0.802738888889,54.3151385651,17.5663,17.5647,-122.538,3.201,4289.88,4875.8,4.99998735773,-0.518979566132,1.48699495752E-4,5.14642,103,14.4422,4.291,0.92,4.290999889373779,-140.10429943847657,-125.66209943847657
104,161.820666667,-0.883933333333,76.1915423328,-24.9573,-24.955,-165.333,1.654,5326.61,5142.27,4.99999943322,-0.864848700172,0.145062678478,2.46872,104,-29.5813,3.05,0.95,3.049999952316284,-140.37569981384277,-169.95699981384277
105,161.863958333,-0.691994444444,54.3492115121,36.3524,36.3492,-103.404,1.771,4396.65,5085.96,4.86093343233,-0.539982761251,0.111244108239,2.53846,105,30.7503,3.092,0.95,3.0920000076293945,-139.75640173339843,-109.00610173339844
106,161.77675,-0.934891666667,58.3108189904,19.9854,19.9836,-120.602,2.607,5135.09,4530.08,5.0,-1.5,0.4,2.41261,106,13.449,4.008,0.94,4.007999897003174,-140.58739924621582,-127.13839924621583
107,161.934333333,-0.49135,67.760413464,0.9503,0.9503,-138.115,2.086,4900.63,5035.39,4.97791249359,-0.907189290113,0.0986735076849,2.34643,107,-3.7294,3.074,0.95,3.0739998817443848,-139.06529997825623,-142.79469997825623
108,161.746833333,-0.922691666667,35.5406493518,-13.5696,-13.5684,-154.156,3.274,4325.09,4784.14,4.99978424565,-1.06824161323,0.286966516668,1.59808,108,-19.6288,4.507,0.92,4.506999969482422,-140.58639989471436,-160.21519989471437
109,161.862208333,-0.657563888889,43.4450266073,77.7154,77.7085,-61.9445,2.144,6656.54,5250.0,5.0,-1.52192603499,0.4,1.70173,109,73.7805,3.306,0.93,3.305999994277954,-139.6599006958008,-65.87940069580078
110,161.725291667,-0.904605555556,56.1862681491,-9.3655,-9.3647,-149.926,2.092,4926.34,4913.38,4.99998933896,-1.19437495451,0.220569592798,1.62172,110,-14.8117,2.732,0.95,2.7320001125335693,-140.5604995498657,-155.3721995498657
111,162.056916667,-0.208511111111,75.7265701569,31.3241,31.3213,-106.742,1.746,5553.82,4859.02,4.49999723783,-1.10789378999,0.186242323573,2.83847,111,26.8681,3.566,0.96,3.565999984741211,-138.06610049438478,-111.19800049438479
112,161.961375,-0.183152777778,56.1939999021,11.0508,11.0498,-127.06,1.962,5218.78,4999.09,4.99812876401,-0.312117811712,6.31659108692E-4,2.42561,112,6.1328,3.065,0.94,3.065000057220459,-138.11080032348633,-131.97800032348633
113,162.081791667,-0.0239,36.8436522607,22.5198,22.5178,-114.96,2.587,3731.37,5750.0,5.0,-1.54462503735,0.4,2.08389,113,16.3267,4.614,0.91,4.613999843597412,-137.4798001861572,-121.1531001861572
114,162.092958333,-0.0366777777778,58.9910892288,27.9053,27.9028,-109.599,2.205,4669.99,4439.3,4.36906916489,-0.99047208602,0.21650646577,1.61856,114,20.8649,2.67,0.95,2.6700000762939453,-137.50430014038085,-116.63940014038084
115,161.8115,-0.475058333333,30.0868077971,274.179,274.154,134.98,5.935,5478.65,4759.49,4.89870196681,-2.39870719038,0.318967495242,2.16979,115,271.7777,11.437,0.77,11.437000274658203,-139.19898559570314,132.57871440429685
